Chargers,1.6,0.0,3.5,36.7,0.9,1.3,0.37,13.9,164.0,113.0,277,18
Jaguars,0.9,0.1,3.7,39.0,0.9,1.2,0.3,16.5,172.0,95.0,267,15
Broncos,1.4,0.0,2.5,38.7,0.8,1.0,0.29,19.1,180.0,81.0,261,14
Ravens,0.9,0.0,3.1,39.3,0.9,1.2,0.29,18.3,217.0,74.0,291,14
Titans,1.2,0.0,2.2,41.1,0.9,1.3,0.27,16.5,177.0,101.0,278,14
Steelers,0.9,0.0,2.9,38.9,0.9,1.2,0.22,15.5,185.0,82.0,267,13
Rams,1.6,0.0,2.5,43.5,0.9,1.3,0.34,18.4,237.0,108.0,345,13
Buccaneers,1.6,0.0,2.2,39.0,0.9,1.3,0.3,20.4,220.0,95.0,315,13
49ers,0.7,0.1,2.1,37.8,0.9,1.2,0.21,16.5,159.0,114.0,273,12
Dolphins,1.2,0.0,2.4,40.1,1.0,1.4,0.3,17.5,206.0,98.0,304,12
Eagles,1.3,0.1,2.5,42.5,0.8,1.0,0.28,20.3,221.0,103.0,324,12
Bears,0.7,0.0,4.0,42.5,0.9,1.3,0.21,19.0,208.0,119.0,327,12
Chiefs,1.2,0.0,2.2,38.7,0.8,1.2,0.34,17.5,198.0,108.0,306,12
Packers,1.1,0.0,2.0,43.5,0.8,1.2,0.25,19.5,282.0,85.0,367,11
Patriots,0.5,0.0,2.5,41.7,0.7,0.9,0.23,16.4,177.0,143.0,320,10
Raiders,0.8,0.0,1.8,41.5,0.8,1.1,0.21,15.4,207.0,95.0,302,10
Texans,1.4,0.0,2.0,40.1,0.7,0.9,0.26,26.5,199.0,110.0,309,9
Falcons,0.5,0.0,1.8,44.5,0.8,1.2,0.2,20.1,204.0,114.0,318,9
Bengals,1.0,0.0,1.6,43.2,0.4,0.6,0.17,18.7,236.0,108.0,344,9
Panthers,0.7,0.0,2.5,46.0,1.0,1.4,0.25,26.6,256.0,115.0,371,9
Lions,1.1,0.0,2.0,45.5,0.7,0.9,0.29,22.1,188.0,116.0,304,9
Seahawks,0.8,0.0,2.5,43.7,0.9,1.2,0.23,21.0,215.0,119.0,334,9
Saints,1.0,0.0,2.2,43.1,0.7,0.9,0.25,22.6,213.0,136.0,349,9
Colts,1.1,0.0,1.5,44.7,0.9,1.3,0.26,26.3,207.0,145.0,352,9
Vikings,0.8,0.0,2.0,43.2,0.8,1.0,0.25,23.3,241.0,107.0,348,8
Cowboys,0.5,0.0,2.1,45.0,1.1,1.4,0.22,23.1,275.0,103.0,378,8
Redskins,0.8,0.0,1.9,42.5,0.7,1.0,0.25,23.0,197.0,141.0,338,8
Cardinals,0.6,0.0,1.8,38.4,0.9,1.2,0.19,23.8,217.0,88.0,305,7
Giants,0.8,0.0,1.4,40.8,0.8,1.0,0.2,22.2,239.0,98.0,337,7
Jets,0.6,0.0,2.1,41.5,0.7,0.9,0.18,22.5,224.0,102.0,326,7
Browns,0.9,0.0,1.7,43.5,0.7,0.9,0.21,27.2,269.0,93.0,362,6
