Steelers,1.1,0.0,3.6,37.6,1.1,1.5,0.06,14.5,181.0,93.0,274,14
Vikings,1.5,0.1,2.4,41.4,1.3,1.7,0.22,15.3,219.0,127.0,346,13
Broncos,0.8,0.0,2.4,39.4,1.0,1.4,0.19,19.0,166.0,109.0,275,13
49ers,1.3,0.0,2.4,34.5,0.7,0.9,0.08,17.7,170.0,90.0,260,12
Chiefs,1.3,0.0,2.1,39.5,1.1,1.6,0.26,17.2,208.0,101.0,309,12
Rams,0.7,0.0,3.0,41.6,0.9,1.3,0.02,18.1,165.0,120.0,285,12
Seahawks,1.2,0.2,2.6,39.8,0.8,1.1,0.12,16.4,224.0,86.0,310,11
Texans,1.4,0.0,2.5,40.1,0.6,0.9,0.09,20.3,214.0,94.0,308,11
Titans,1.2,0.0,2.4,39.5,0.8,1.1,0.07,19.2,217.0,93.0,310,10
Raiders,1.5,0.0,1.6,41.0,1.3,1.8,0.22,22.1,267.0,94.0,361,10
Bears,0.5,0.1,2.4,40.4,0.6,0.8,0.26,24.2,198.0,88.0,286,10
Redskins,0.9,0.0,1.6,42.4,0.9,1.2,0.18,20.9,234.0,104.0,338,10
Dolphins,0.7,0.0,2.6,41.6,0.5,0.7,0.19,20.7,174.0,174.0,348,10
Patriots,1.1,0.0,2.1,39.5,0.8,1.2,0.04,14.9,204.0,102.0,306,10
Colts,1.0,0.0,1.8,44.3,0.8,1.1,0.11,20.0,199.0,128.0,327,10
Bills,0.9,0.0,2.4,37.7,0.6,0.9,0.07,19.2,211.0,107.0,318,9
Bengals,1.1,0.0,2.0,44.6,0.5,0.6,0.07,19.8,228.0,104.0,332,9
Cardinals,1.0,0.0,3.3,43.0,0.8,1.1,0.08,24.5,221.0,105.0,326,9
Giants,1.0,0.0,1.5,42.6,0.8,1.1,0.04,19.5,272.0,90.0,362,9
Saints,0.9,0.0,1.7,44.5,1.1,1.5,0.26,25.3,261.0,115.0,376,9
Ravens,0.6,0.0,2.2,43.4,0.8,1.1,0.03,16.4,211.0,92.0,303,9
Buccaneers,1.1,0.1,2.0,48.1,1.0,1.3,0.03,26.3,314.0,108.0,422,8
Falcons,1.0,0.0,1.8,43.0,0.8,1.1,0.18,23.6,224.0,131.0,355,8
Cowboys,0.8,0.0,2.0,45.5,0.8,1.1,0.18,22.6,216.0,106.0,322,8
Packers,0.8,0.0,2.4,39.3,0.5,0.7,0.09,21.7,253.0,81.0,334,7
Eagles,0.6,0.0,1.9,43.4,0.9,1.3,0.09,22.6,221.0,144.0,365,7
Panthers,0.7,0.1,2.6,43.7,0.7,1.0,0.27,30.5,272.0,105.0,377,7
Lions,0.4,0.0,2.1,45.0,0.6,0.8,0.09,24.7,248.0,116.0,364,6
Jaguars,0.7,0.0,2.0,41.7,0.7,1.0,0.15,27.4,197.0,113.0,310,5
Chargers,0.8,0.0,1.3,43.4,0.8,1.1,0.08,30.6,247.0,112.0,359,4
Browns,1.0,0.0,1.4,44.0,0.3,0.4,0.09,30.2,280.0,125.0,405,4
