 Seahawks,1,0,1,2,0,0,11,261,18.5
 Lions,1,0,1,2,0,0,13,278,18.1
 Giants,1,0,1,2,0,0,12,252,16.7
 Bears,1,0,1,3,0,0,12,274,16.3
 Rams,1,0,1,2,0,0,14,248,16.2
 Steelers,0,0,1,3,0,0,15,278,14.3
 Jaguars,1,0,1,2,0,0,16,287,13.9
 Patriots,1,1,1,2,0,0,14,317,13
 Jets,1,0,1,1,0,0,16,298,12.7
 Titans,0,0,1,2,0,0,16,270,12.7
 Buccaneers,1,1,1,2,0,0,20,352,12.6
 Vikings,0,1,1,2,0,0,18,321,12.6
 Packers,0,1,1,1,0,0,17,292,12.2
 Cardinals,1,0,0,2,0,0,19,346,10.9
 49ers,0,0,0,1,0,0,19,328,10.1
 Chargers,1,0,1,2,0,0,22,321,9
 Texans,1,1,1,2,0,0,28,327,8.7
 Broncos,0,0,1,2,0,0,25,346,8.5
 Bengals,1,0,0,2,0,0,21,306,8.5
 Saints,0,0,1,2,0,0,23,333,8.5
 Cowboys,0,0,1,2,0,0,22,361,8.2
 Redskins,0,0,1,2,0,0,21,314,8.1
 Colts,1,0,1,1,0,0,25,425,7.9
 Bills,0,0,1,1,0,0,21,386,7.6
 Falcons,0,0,1,1,0,0,22,342,6.8
 Browns,0,0,1,2,0,0,27,340,6.3
 Panthers,1,0,1,3,0,0,13,247,0
