Stephen Gostkowski,2,2,3,10.5
Wil Lutz,2,2,3,10
Harrison Butker,2,2,2,9.7
Jake Elliott,2,2,2,9.2
Chris Boswell,2,2,2,8.6
Greg Zuerlein,2,2,2,8.1
Matt Prater,1,2,2,8
Kai Forbath,1,2,2,7.9
Justin Tucker,1,2,2,7.4
Matt Bryant,1,2,2,7.3
Brandon McManus,1,2,1,7.3
Blair Walsh,1,2,2,7.2
Josh Lambo,1,1,2,7
Nick Rose,1,1,2,7
Nick Novak,1,1,2,6.8
Giorgio Tavecchio,1,1,2,6.2
Phil Dawson,1,1,2,6.2
Ryan Succop,1,1,1,6
Mike Nugent,1,1,2,6
Randy Bullock,1,1,1,5.7
Cody Parkey,1,1,2,5.7
Patrick Murray,1,1,1,5.6
Stephen Hauschka,1,1,1,5.5
Ka'imi Fairbairn,1,1,1,5.2
Mason Crosby,1,1,1,5.1
Aldrick Rosas,1,1,1,4.6
Connor Barth,1,1,1,4.6
Zane Gonzalez,0,1,1,3.9
Nick Folk,0,0,0,0
Marshall Koehn,0,0,0,0
Mike Meyer,0,0,0,0
Andrew Franks,0,0,0,0
Shayne Graham,0,0,0,0
Younghoe Koo,0,0,0,0
Jordan Gay,0,0,0,0
Sebastian Janikowski,0,0,0,0
John Lunsford,0,0,0,0
Zach Hocker,0,0,0,0
Jason Myers,0,0,0,0
