Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS
David Johnson,0.0,0.0,0.0,0.0,0.0,0.0,17.6,71.0,4.03,0.7,6.7,5.1,50.2,9.84,0.2,0.2,17
Le'Veon Bell,0.0,0.0,0.0,0.0,0.0,0.0,19.7,88.4,4.49,0.7,6.6,5.2,43.7,8.40,0.1,0.1,16
LeSean McCoy,0.0,0.0,0.0,0.0,0.0,0.0,17.0,83.6,4.92,0.8,4,3.1,23.1,7.45,0.1,0.0,15
Ezekiel Elliott,0.0,0.0,0.0,0.0,0.0,0.0,19.4,90.3,4.65,0.6,2.8,2.1,23.0,10.95,0.1,0.1,15
Jordan Howard,0.0,0.0,0.0,0.0,0.0,0.0,17.7,90.0,5.08,0.4,3.7,2.1,19.8,9.43,0.1,0.1,12
Devonta Freeman,0.0,0.0,0.0,0.0,0.0,0.0,13.4,64.5,4.81,0.5,4.3,3.5,33.1,9.46,0.1,0.1,12
C.J. Anderson,0.0,0.0,0.0,0.0,0.0,0.0,18.1,76.4,4.22,0.6,3.6,2.2,16.0,7.27,0.1,0.1,12
Todd Gurley,0.0,0.0,0.0,0.0,0.0,0.0,17.3,73.2,4.23,0.6,3.2,2.4,19.6,8.17,0.0,0.1,11
Dalvin Cook,0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.5,4.27,0.6,3.9,2.8,21.0,7.50,0.1,0.1,11
DeMarco Murray,0.0,0.0,0.0,0.0,0.0,0.0,15.6,65.6,4.21,0.3,4.1,2.9,22.8,7.86,0.2,0.1,10
Melvin Gordon,0.0,0.0,0.0,0.0,0.0,0.0,17.7,63.9,3.61,0.4,3.9,2.6,22.9,8.81,0.1,0.3,10
Christian McCaffrey,0.0,0.0,0.0,0.0,0.0,0.0,11.9,56.6,4.76,0.5,5.1,3.1,29.2,9.42,0.1,0.1,10
Tevin Coleman,0.0,0.0,0.0,0.0,0.0,0.0,9.1,41.9,4.60,0.4,2.6,1.9,25.3,13.32,0.2,0.0,9
Bilal Powell,0.0,0.0,0.0,0.0,0.0,0.0,10.9,51.0,4.68,0.2,5.4,4.0,31.4,7.85,0.1,0.1,9
Lamar Miller,0.0,0.0,0.0,0.0,0.0,0.0,17.6,59.1,3.36,0.5,3.2,2.4,14.9,6.21,0.1,0.1,9
Carlos Hyde,0.0,0.0,0.0,0.0,0.0,0.0,15.7,71.2,4.54,0.4,1.7,1.5,9.0,6.00,0.1,0.4,9
Leonard Fournette,0.0,0.0,0.0,0.0,0.0,0.0,14.9,65.5,4.40,0.3,3.2,1.8,13.1,7.28,0.1,0.1,9
Marshawn Lynch,0.0,0.0,0.0,0.0,0.0,0.0,12.1,45.3,3.74,0.6,3.4,1.9,11.9,6.26,0.1,0.1,9
Mark Ingram,0.0,0.0,0.0,0.0,0.0,0.0,11.9,52.3,4.39,0.3,4,3.2,20.8,6.50,0.1,0.2,9
Isaiah Crowell,0.0,0.0,0.0,0.0,0.0,0.0,14.5,56.7,3.91,0.4,3.2,2.5,19.4,7.76,0.0,0.1,8
Rob Kelley,0.0,0.0,0.0,0.0,0.0,0.0,12.9,57.4,4.45,0.4,1.7,1.1,8.2,7.45,0.1,0.1,7
Joe Mixon,0.0,0.0,0.0,0.0,0.0,0.0,10.7,40.2,3.76,0.4,3,2.0,15.8,7.90,0.1,0.1,7
Ameer Abdullah,0.0,0.0,0.0,0.0,0.0,0.0,12.4,41.1,3.31,0.3,2.5,1.8,15.1,8.39,0.2,0.2,7
Kareem Hunt,0.0,0.0,0.0,0.0,0.0,0.0,13.5,50.6,3.75,0.3,2.9,1.9,13.7,7.21,0.0,0.1,7
Mike Gillislee,0.0,0.0,0.0,0.0,0.0,0.0,10.1,45.9,4.54,0.5,0.9,0.7,5.4,7.71,0.1,0.1,7
Ty Montgomery,0.0,0.0,0.0,0.0,0.0,0.0,9.2,37.0,4.02,0.3,3.9,2.9,22.3,7.69,0.1,0.1,7
Terrance West,0.0,0.0,0.0,0.0,0.0,0.0,11.3,47.6,4.21,0.3,2.4,1.9,12.2,6.42,0.0,0.0,6
Jeremy Hill,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.6,3.41,0.5,1.7,1.3,9.6,7.38,0.0,0.1,6
Frank Gore,0.0,0.0,0.0,0.0,0.0,0.0,13.5,48.5,3.59,0.2,2.4,1.8,11.3,6.28,0.1,0.1,6
Paul Perkins,0.0,0.0,0.0,0.0,0.0,0.0,11.8,45.7,3.87,0.2,2.6,1.8,18.0,10.00,0.1,0.1,6
Derrick Henry,0.0,0.0,0.0,0.0,0.0,0.0,8.6,35.8,4.16,0.3,1.4,1.1,11.9,10.82,0.1,0.1,6
Latavius Murray,0.0,0.0,0.0,0.0,0.0,0.0,8.6,31.8,3.70,0.4,1.8,1.6,11.3,7.06,0.0,0.2,6
Jamaal Charles,0.0,0.0,0.0,0.0,0.0,0.0,7.9,33.4,4.23,0.3,2.9,1.6,14.3,8.94,0.1,0.3,5
Jonathan Stewart,0.0,0.0,0.0,0.0,0.0,0.0,10.9,47.9,4.39,0.3,1.6,0.9,7.2,8.00,0.0,0.1,5
Chris Carson,0.0,0.0,0.0,0.0,0.0,0.0,6.8,26.8,3.94,0.2,4.2,2.7,24.0,8.89,0.1,0.1,5
Tarik Cohen,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.3,5.22,0.2,3.2,2.0,15.4,7.70,0.1,0.1,5
Dion Lewis,0.0,0.0,0.0,0.0,0.0,0.0,7.2,32.7,4.54,0.2,2.1,1.3,10.5,8.08,0.1,0.2,5
James White,0.0,0.0,0.0,0.0,0.0,0.0,3.6,13.9,3.86,0.1,4.5,3.0,28.9,9.63,0.3,0.1,5
Darren Sproles,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.9,4.82,0.1,5,3.6,28.3,7.86,0.1,0.1,5
