Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Ezekiel Elliott,21,99,4.6,0,2,23,8.3,0,0,15.6
Devonta Freeman,15,66,4.2,0,3,30,9.1,0,0,13.6
Todd Gurley,18,68,3.7,0,3,30,8.7,0,0,13.4
Le'Veon Bell,19,74,3.8,0,4,31,6.5,0,0,13.4
Melvin Gordon,17,64,3.8,0,3,27,8.8,0,0,12.2
LeSean McCoy,16,75,4.7,0,4,27,6.7,0,0,12
Dalvin Cook,17,68,3.9,0,2,17,6.6,0,0,11
Chris Carson,15,64,4.1,0,1,17,9.0,0,0,11
Ty Montgomery,12,53,4.3,0,3,24,7.3,0,0,11
C.J. Anderson,16,72,4.3,0,2,16,8.1,0,0,10.8
Jay Ajayi,16,73,4.6,0,2,11,5.6,0,0,10.8
Mike Gillislee,16,56,3.4,0,0,5,6.8,0,0,9.6
Frank Gore,17,60,3.5,0,1,10,7.2,0,0,9.2
Carlos Hyde,16,68,4.2,0,1,10,5.6,0,0,9
Jordan Howard,13,66,4.9,0,2,17,8.8,0,0,9
Leonard Fournette,16,58,3.5,0,1,13,8.1,0,0,8.8
Joe Mixon,13,48,3.7,0,2,24,8.8,0,0,8.8
Isaiah Crowell,14,60,4.2,0,2,18,8.0,0,0,8.6
Christian McCaffrey,9,35,3.8,0,4,44,10.5,0,0,8.4
DeMarco Murray,14,57,3.9,0,2,17,6.8,0,0,8.2
Bilal Powell,14,57,4.0,0,3,19,6.1,0,0,8.2
Lamar Miller,14,52,3.5,0,2,16,8.3,0,0,8.2
Tevin Coleman,8,36,4.5,0,2,22,10.9,0,0,8
Tarik Cohen,6,33,5.2,0,3,32,8.4,0,0,8
Ameer Abdullah,16,55,3.4,0,2,19,7.9,0,0,7.6
Mark Ingram,11,48,4.4,0,3,27,7.9,0,0,7.6
Jonathan Stewart,14,54,3.8,0,0,6,7.7,0,0,7
Chris Johnson,13,48,3.7,0,1,9,8.2,0,0,6.8
LeGarrette Blount,9,45,4.7,0,1,6,6.1,0,0,6.8
Jacquizz Rodgers,16,59,3.6,0,1,8,6.5,0,0,6.6
Theo Riddick,4,14,3.2,0,4,32,6.9,0,0,5.6
Marshawn Lynch,12,45,3.5,0,1,8,7.2,0,0,5.6
Duke Johnson,4,18,4.5,0,3,40,10.4,0,0,5.4
Paul Perkins,10,35,3.3,0,1,14,8.6,0,0,5
Giovani Bernard,5,21,3.8,0,2,28,10.2,0,0,5
D'Onta Foreman,9,33,3.7,0,1,12,11.5,0,0,5
Jamaal Charles,10,45,4.5,0,1,8,7.2,0,0,4.6
Derrick Henry,8,36,4.2,0,1,7,6.7,0,0,4.6
Alvin Kamara,3,14,4.3,0,3,23,7.4,0,0,4.6
Wendell Smallwood,8,34,4.3,0,1,8,6.3,0,0,4.6
James White,4,13,3.2,0,3,28,8.7,0,0,4.6
Corey Clement,5,26,4.5,0,1,11,6.9,0,0,4.6
Andre Ellington,5,17,3.4,0,2,27,10.3,0,0,4.6
Terrance West,10,39,3.7,0,1,9,6.6,0,0,4.4
Javorius Allen,8,29,3.7,0,2,12,5.1,0,0,4
Mike Tolbert,6,28,4.4,0,0,5,6.2,0,0,3.8
Elijah McGuire,9,34,3.8,0,1,7,7.3,0,0,3.8
Adrian Peterson,8,34,4.1,0,0,5,6.6,0,0,3.6
Shane Vereen,4,12,3.1,0,2,22,7.7,0,0,3.4
Robert Turbin,6,21,3.1,0,1,8,5.2,0,0,3
Jamaal Williams,5,24,4.2,0,0,6,7.8,0,0,3
Jerick McKinnon,4,14,3.4,0,1,10,5.6,0,0,3
Kerwynn Williams,3,15,4.6,0,0,3,7.0,0,0,2.6
Matt Breida,5,22,4.0,0,0,4,7.2,0,0,2.4
Branden Oliver,6,25,4.0,0,1,6,6.7,0,0,2.4
DeAndre Washington,4,17,3.6,0,2,10,5.2,0,0,2.4
Charles Sims,5,16,3.2,0,1,14,8.1,0,0,2.4
Damien Williams,1,6,3.9,0,1,11,10.1,0,0,2
Orleans Darkwa,4,17,3.6,0,1,7,6.6,0,0,2
Jeremy Hill,5,18,3.4,0,0,5,6.9,0,0,2
Alex Collins,7,29,3.9,0,1,6,4.9,0,0,1.8
Kenyan Drake,3,14,3.8,0,1,7,7.3,0,0,1.4
James Conner,3,11,3.6,0,0,5,7.3,0,0,1.4
Jalen Richard,2,13,4.6,0,1,7,7.0,0,0,1.4
Alfred Morris,3,13,3.5,0,0,5,6.8,0,0,1.4
Corey Grant,3,14,4.7,0,0,4,7.3,0,0,1.4
Chris Ivory,4,14,3.2,0,0,5,9.2,0,0,1.2
Dion Lewis,3,14,3.9,0,1,6,6.3,0,0,1.2
Kyle Juszczyk,0,0,3.0,0,1,14,8.9,0,0,1
Alfred Blue,3,14,3.8,0,0,4,6.7,0,0,0.8
Benny Cunningham,0,3,4.2,0,1,12,8.1,0,0,0.8
Cameron Artis-Payne,2,8,3.8,0,0,0,8.0,0,0,0.6
Aaron Ripkowski,0,3,4.4,0,0,1,6.5,0,0,0.6
Malcolm Brown,2,8,3.1,0,1,8,7.3,0,0,0.4
Brian Hill,0,2,3.7,0,0,1,10.0,0,0,0
D.J. Foster,0,1,2.7,0,0,0,8.0,0,0,0
Keith Smith,0,0,2.0,0,0,0,6.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,3.0,0,0,0,5.0,0,0,0
Wayne Gallman,0,1,2.8,0,0,0,7.8,0,0,0
Anthony Sherman,0,0,0.0,0,0,1,5.0,0,0,0
Zach Zenner,1,4,3.5,0,0,2,8.7,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Rob Kelley,12,56,4.4,0,0,6,7.6,0,0,0
John Kuhn,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilds,0,0,0.0,0,0,0,0.0,0,0,0
Charcandrick West,5,24,4.7,0,0,6,8.2,0,0,0
C.J. Spiller,0,1,3.3,0,0,1,8.5,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Matt Jones,1,5,3.7,0,0,1,18.0,0,0,0
Derek Watt,0,0,1.0,0,0,2,20.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,3.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Fozzy Whittaker,0,1,4.0,0,0,1,7.0,0,0,0
Chris Thompson,6,33,5.4,0,3,41,10.9,0,0,0
Jay Prosch,0,0,2.5,0,0,0,6.6,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,3.4,0,0,1,11.0,0,0,0
Daniel Lasco,0,1,3.4,0,0,0,7.0,0,0,0
George Winn,0,0,0.0,0,0,0,0.0,0,0,0
Tre Madden,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Ham,0,0,0.0,0,0,0,0.0,0,0,0
Mack Brown,0,3,5.0,0,0,0,6.0,0,0,0
Latavius Murray,0,1,3.2,0,0,0,8.0,0,0,0
Devante Mays,0,2,3.3,0,0,1,10.0,0,0,0
Eddie Lacy,1,7,3.9,0,0,1,13.0,0,0,0
Taiwan Jones,0,0,4.0,0,0,0,8.0,0,0,0
Tommy Bohanon,0,0,0.0,0,0,0,0.0,0,0,0
Rod Smith,0,0,0.0,0,0,0,0.0,0,0,0
Jamize Olawale,0,1,3.7,0,0,2,13.5,0,0,0
De'Angelo Henderson,0,2,3.1,0,0,0,8.0,0,0,0
Austin Ekeler,0,1,2.8,0,0,1,11.0,0,0,0
Andy Janovich,0,0,6.0,0,0,0,7.0,0,0,0
Alex Armah,0,0,0.0,0,0,0,0.0,0,0,0
Peyton Barber,0,3,3.8,0,0,0,4.0,0,0,0
Keith Marshall,0,0,0.0,0,0,0,0.0,0,0,0
Elijhaa Penny,0,0,0.0,0,0,0,0.0,0,0,0
Joe Williams,0,0,0.0,0,0,0,0.0,0,0,0
Kareem Hunt,16,82,5.1,0,2,23,10.3,0,0,0
Akeem Hunt,0,1,6.0,0,0,0,8.0,0,0,0
Joe Banyard,0,0,0.0,0,0,0,0.0,0,0,0
Trey Edmunds,0,0,2.0,0,0,2,9.7,0,0,0
Patrick DiMarco,0,0,0.0,0,0,1,7.0,0,0,0
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,3.0,0,0,0,8.0,0,0,0
Michael Burton,0,0,4.0,0,0,0,5.0,0,0,0
Travaris Cadet,0,0,3.0,0,0,2,7.3,0,0,0
Kenjon Barner,0,1,4.3,0,0,0,6.0,0,0,0
