Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS
Alex Smith,34.3,23.3,253.0,1.8,0.6,99.6,4.2,23.4,5.57,0.2,0.0,0.0,0.0,0.00,0.0,0.2,23
Tom Brady,37.0,25.4,291.0,2.0,0.4,105.6,2.0,3.2,1.60,0.0,0.0,0.0,0.0,0.00,0.0,0.2,22
Drew Brees,39.2,28.9,282.0,1.7,0.6,101.6,2.0,2.8,1.40,0.1,0.0,0.0,0.0,0.00,0.0,0.2,20
Philip Rivers,36.9,22.5,273.0,2.0,1.0,90.5,1.2,2.1,1.75,0.0,0.0,0.0,0.0,0.00,0.0,0.2,20
Ben Roethlisberger,37.4,22.9,275.0,1.8,1.4,84.2,1.8,2.4,1.33,0.0,0.0,0.0,0.0,0.00,0.0,0.2,20
Jameis Winston,39.1,24.7,282.0,1.6,0.9,88.8,2.6,8.8,3.38,0.1,0.0,0.0,0.0,0.00,0.0,0.2,19
Matt Ryan,34.1,22.9,274.0,1.7,0.7,99.6,2.0,8.0,4.00,0.0,0.0,0.0,0.0,0.00,0.0,0.2,19
Carson Wentz,36.2,21.9,240.0,1.6,0.9,84.5,4.6,20.4,4.43,0.0,0.0,0.0,0.0,0.00,0.0,0.3,19
Blaine Gabbert,40.9,23.1,270.0,1.6,1.8,71.4,4.8,17.3,3.60,0.1,0.0,0.0,0.0,0.00,0.0,0.2,19
Matthew Stafford,37.1,25.3,291.0,1.5,0.8,96.1,2.3,9.1,3.96,0.0,0.0,0.0,0.0,0.00,0.0,0.3,18
Cam Newton,33.9,18.2,202.0,1.2,1.1,69.9,6.5,31.1,4.78,0.3,0.0,0.0,0.0,0.00,0.0,0.2,18
Kirk Cousins,35.7,23.7,270.0,1.3,1.0,89.4,2.8,10.6,3.79,0.2,0.0,0.0,0.0,0.00,0.0,0.3,18
Derek Carr,37.1,22.9,273.0,1.6,0.9,88.4,1.7,3.8,2.24,0.0,0.0,0.0,0.0,0.00,0.0,0.2,18
Russell Wilson,35.3,21.1,219.0,1.2,1.1,76.1,5.6,30.0,5.36,0.2,0.0,0.0,0.0,0.00,0.0,0.2,17
Dak Prescott,31.1,19.4,222.0,1.2,0.7,87.3,3.3,20.3,6.15,0.2,0.0,0.0,0.0,0.00,0.0,0.2,17
Brett Hundley,29.3,18.6,189.0,1.4,1.2,80.7,3.3,23.1,7.00,0.2,0.0,0.0,0.0,0.00,0.0,0.1,17
Jared Goff,33.7,19.4,233.0,1.5,1.1,80.1,1.8,3.9,2.17,0.1,0.0,0.0,0.0,0.00,0.0,0.2,17
Andy Dalton,32.7,20.3,222.0,1.4,0.9,84.9,3.3,10.2,3.09,0.1,0.0,0.0,0.0,0.00,0.0,0.3,16
Jacoby Brissett,31.9,19.6,231.0,1.1,1.1,80.6,4.0,18.6,4.65,0.2,0.0,0.0,0.0,0.00,0.0,0.2,16
Marcus Mariota,30.5,18.8,204.0,1.3,1.3,77.8,3.6,16.6,4.61,0.2,0.0,0.0,0.0,0.00,0.0,0.2,16
