Stephen Gostkowski,2,2,3,10.2
Wil Lutz,2,2,3,9.3
Jake Elliott,2,2,3,9.3
Randy Bullock,2,2,2,8.5
Harrison Butker,1,2,2,8.3
Stephen Hauschka,1,2,2,8.1
Matt Bryant,1,2,2,7.9
Graham Gano,1,2,2,7.9
Chris Boswell,1,2,2,7.7
Patrick Murray,1,1,2,7.4
Blair Walsh,1,2,2,7.4
Mike Nugent,1,1,2,7
Nick Rose,1,1,2,6.9
Kai Forbath,1,1,2,6.8
Justin Tucker,1,1,2,6.8
Giorgio Tavecchio,1,2,2,6.8
Chandler Catanzaro,1,1,1,6.4
Adam Vinatieri,1,1,1,6.2
Robbie Gould,1,1,1,5.9
Nick Novak,1,1,1,5.8
Connor Barth,1,1,1,5.8
Brandon McManus,1,1,1,5.7
Matt Prater,1,1,1,5.7
Cody Parkey,1,1,1,5.3
Ka'imi Fairbairn,1,1,1,5.2
Zane Gonzalez,0,1,1,3.4
Devon Bell,0,0,0,0
Nick Folk,0,0,0,0
Marshall Koehn,0,0,0,0
Mike Meyer,0,0,0,0
Andrew Franks,0,0,0,0
Roberto Aguayo,0,0,0,0
Shayne Graham,0,0,0,0
Younghoe Koo,0,0,0,0
John Lunsford,0,0,0,0
Zach Hocker,0,0,0,0
