Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Le'Veon Bell,20,81,4.0,0,5,39,7.6,0,0,14.8
Melvin Gordon,19,84,4.3,0,3,28,8.7,0,0,14.4
Todd Gurley,18,73,3.9,0,3,26,8.8,0,0,13.6
Devonta Freeman,13,58,4.4,0,3,32,9.9,0,0,12.6
Ty Montgomery,12,70,5.5,0,3,25,7.4,0,0,12.4
LeSean McCoy,17,74,4.3,0,3,23,6.6,0,0,11.8
Kareem Hunt,15,70,4.6,0,2,19,9.9,0,0,11.8
Jay Ajayi,15,70,4.6,0,2,12,6.4,0,0,11.4
Ezekiel Elliott,19,88,4.5,0,2,19,8.8,0,0,11.2
Jordan Howard,15,75,5.0,0,2,19,9.6,0,0,10.8
Christian McCaffrey,12,55,4.3,0,3,33,9.3,0,0,10.8
Marshawn Lynch,13,51,3.8,0,1,13,9.4,0,0,10.8
Terrance West,16,67,4.2,0,1,10,7.4,0,0,10.6
Leonard Fournette,17,68,3.9,0,1,15,7.9,0,0,10.4
Lamar Miller,18,75,4.1,0,2,16,6.8,0,0,10.2
Mike Gillislee,12,54,4.4,0,0,6,7.9,0,0,9.6
Dalvin Cook,15,56,3.6,0,2,14,5.7,0,0,8.8
C.J. Anderson,17,66,3.9,0,2,12,6.5,0,0,8.6
Tevin Coleman,8,37,4.2,0,2,26,12.8,0,0,8.4
DeMarco Murray,14,53,3.7,0,3,19,6.4,0,0,8.2
Jacquizz Rodgers,14,58,4.2,0,1,13,8.3,0,0,8.2
Carlos Hyde,15,59,3.7,0,1,10,6.0,0,0,8
Isaiah Crowell,15,56,3.6,0,2,17,7.2,0,0,7.6
Bilal Powell,9,41,4.2,0,3,25,7.1,0,0,7.6
Kerwynn Williams,10,43,4.2,0,1,8,7.0,0,0,7.4
Tarik Cohen,7,39,5.5,0,3,25,8.3,0,0,7.2
Chris Carson,8,38,4.7,0,2,18,9.3,0,0,6.8
Thomas Rawls,9,43,4.4,0,1,8,8.1,0,0,6.8
Jonathan Stewart,12,49,4.0,0,0,6,7.2,0,0,6.6
Rob Kelley,13,50,3.7,0,1,7,6.8,0,0,6.6
Javorius Allen,10,41,3.9,0,1,11,7.3,0,0,6.6
Mark Ingram,10,38,3.9,0,3,26,7.8,0,0,6.4
Matt Forte,10,40,3.9,0,1,9,9.1,0,0,6.2
Joe Mixon,9,36,3.8,0,2,14,7.3,0,0,6.2
James White,3,15,4.0,0,3,33,9.5,0,0,6.2
LeGarrette Blount,11,45,4.1,0,1,6,6.0,0,0,5.6
Derrick Henry,8,30,3.8,0,1,7,6.4,0,0,5.2
Darren Sproles,5,25,4.4,0,3,26,7.9,0,0,5
Charles Sims,5,21,3.6,0,2,21,9.3,0,0,5
Giovani Bernard,8,31,3.9,0,1,17,9.9,0,0,5
Frank Gore,11,38,3.3,0,1,9,7.0,0,0,4.6
Chris Thompson,5,18,3.6,0,3,25,7.8,0,0,4.6
Jeremy Hill,9,32,3.5,0,1,7,7.0,0,0,4.6
Andre Ellington,6,24,3.5,0,1,14,8.2,0,0,4.6
Jamaal Charles,9,35,3.9,0,1,10,7.2,0,0,4.2
Adrian Peterson,9,39,4.1,0,1,7,6.7,0,0,4
Jamaal Williams,7,39,5.3,0,1,7,7.0,0,0,4
Mike Tolbert,6,26,3.9,0,0,5,6.1,0,0,3.6
Damien Williams,3,14,3.8,0,1,15,10.2,0,0,3.6
Charcandrick West,5,24,4.2,0,0,6,7.5,0,0,3.6
Eddie Lacy,6,29,4.4,0,0,7,8.3,0,0,3.6
Duke Johnson,4,16,3.8,0,3,28,7.6,0,0,3.4
Rex Burkhead,5,20,4.0,0,0,7,9.0,0,0,3
Branden Oliver,5,20,3.7,0,0,6,7.1,0,0,3
DeAndre Washington,6,27,4.3,0,0,5,7.6,0,0,3
Alvin Kamara,4,19,4.0,0,2,17,7.4,0,0,3
Matt Breida,6,21,3.6,0,0,4,7.8,0,0,2.4
Chris Johnson,5,21,3.9,0,0,5,8.1,0,0,2.4
C.J. Prosise,2,13,5.5,0,1,14,12.2,0,0,2.4
Wendell Smallwood,6,27,4.1,0,1,6,6.3,0,0,2.4
Marlon Mack,5,18,3.5,0,1,12,8.6,0,0,2.4
Jalen Richard,3,17,4.6,0,0,5,7.1,0,0,2.2
James Conner,4,18,3.9,0,0,6,8.5,0,0,2
Robert Turbin,5,15,3.0,0,1,7,5.1,0,0,2
Dion Lewis,4,19,5.0,0,1,8,7.9,0,0,1.8
Elijah McGuire,3,12,4.1,0,0,7,8.1,0,0,1.4
Alfred Morris,3,12,3.3,0,0,4,6.4,0,0,1.4
T.J. Yeldon,5,18,3.5,0,1,9,6.9,0,0,1.4
Samaje Perine,3,12,3.8,0,0,3,7.8,0,0,1.4
Chris Ivory,2,10,3.6,0,0,4,9.0,0,0,1.2
Latavius Murray,4,12,3.0,0,0,5,6.2,0,0,1.2
Kyle Juszczyk,0,1,2.5,0,1,12,7.9,0,0,1
D'Onta Foreman,3,14,4.4,0,0,4,5.9,0,0,0.8
Darren McFadden,2,10,4.0,0,1,7,7.6,0,0,0.6
Cameron Artis-Payne,2,8,3.8,0,0,1,10.0,0,0,0.6
Aaron Ripkowski,0,4,5.7,0,0,1,8.0,0,0,0.6
Malcolm Brown,2,9,3.4,0,1,7,7.7,0,0,0.4
Kenyan Drake,1,7,3.8,0,0,5,7.7,0,0,0.4
Raheem Mostert,2,8,3.5,0,0,1,6.0,0,0,0.4
Brian Hill,0,2,3.3,0,0,1,11.0,0,0,0
Keith Smith,0,0,2.0,0,0,0,6.0,0,0,0
Cedric Peerman,0,0,0.0,0,0,0,0.0,0,0,0
Mike James,0,0,0.0,0,0,0,0.0,0,0,0
Jalston Fowler,0,0,2.0,0,0,0,8.0,0,0,0
Wayne Gallman,0,1,2.8,0,0,0,6.8,0,0,0
Anthony Sherman,0,0,0.0,0,0,0,6.0,0,0,0
Zach Zenner,1,4,3.3,0,0,3,10.7,0,0,0
Dwayne Washington,3,9,2.9,0,0,6,6.7,0,0,0
Shane Vereen,3,13,3.7,0,3,21,6.8,0,0,0
Terrell Watson,0,0,0.0,0,0,0,0.0,0,0,0
Brandon Wilds,0,0,0.0,0,0,0,0.0,0,0,0
C.J. Spiller,0,1,3.3,0,0,1,8.5,0,0,0
Orleans Darkwa,4,18,3.8,0,1,8,5.9,0,0,0
Taquan Mizzell,0,0,0.0,0,0,0,0.0,0,0,0
Derek Watt,0,0,2.0,0,0,2,26.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,3.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Fozzy Whittaker,0,2,4.4,0,0,1,8.5,0,0,0
Jay Prosch,0,0,2.5,0,0,0,5.4,0,0,0
Paul Perkins,13,51,3.7,0,2,18,9.2,0,0,0
