 Broncos,1,0,0,2,0,0,10,226,16.9
 Texans,1,0,1,2,0,0,17,289,15.9
 Ravens,1,1,1,1,0,0,12,308,15.3
 Falcons,1,0,0,2,0,0,15,264,12.6
 Redskins,0,0,1,3,0,0,19,311,12.4
 Packers,0,1,1,2,0,0,18,293,12.4
 Chiefs,1,0,1,1,0,0,17,357,12.1
 Patriots,1,0,1,2,0,0,14,317,12.1
 Buccaneers,1,1,1,2,0,0,20,359,12
 Jaguars,0,1,1,2,0,0,21,279,11.9
 Giants,1,0,1,2,0,0,20,316,11.7
 Panthers,0,0,1,3,0,0,19,301,11.2
 Eagles,1,1,1,2,0,0,22,336,11
 Bears,1,0,0,2,0,0,21,276,10.8
 Rams,1,0,1,1,0,0,22,297,10.7
 Cardinals,1,0,0,1,0,0,18,347,10.7
 Raiders,1,1,1,1,0,0,21,369,9.9
 Vikings,0,0,1,3,0,0,21,344,9.9
 Chargers,0,0,0,2,0,0,27,299,8.8
 Steelers,0,0,1,2,0,0,24,317,8.6
 49ers,0,1,1,1,0,0,25,377,8.6
 Lions,0,0,1,1,0,0,26,400,7.9
 Dolphins,0,0,0,1,0,0,26,407,7.9
 Saints,0,0,0,2,0,0,21,334,7.9
 Browns,1,0,1,2,0,0,27,363,7.8
 Jets,0,0,0,1,0,0,24,373,7
 Colts,1,0,1,1,0,0,26,344,0
