 Vikings,2,0,0,3,0,0,8,246,22.5
 Seahawks,1,0,1,2,0,0,12,273,16.3
 Ravens,1,0,1,2,0,0,15,276,14.7
 Eagles,0,1,1,2,0,0,16,279,14.5
 Falcons,1,0,1,2,0,0,17,292,14.1
 Chiefs,1,1,1,2,0,0,14,315,13.9
 Steelers,0,0,1,3,0,0,17,253,13.7
 Dolphins,1,0,1,2,0,0,18,297,13.6
 Bengals,0,0,0,3,0,0,16,292,13.1
 Buccaneers,1,0,1,2,0,0,20,351,12.2
 Saints,0,1,1,1,0,0,17,315,11.9
 Cowboys,0,1,1,2,0,0,19,338,11.2
 Patriots,1,0,1,1,0,0,17,343,11.1
 Panthers,1,0,1,3,0,0,21,325,10.9
 Broncos,0,0,0,2,0,0,23,279,10.3
 Bills,1,0,0,1,0,0,19,313,10.2
 Browns,0,0,1,1,0,0,18,302,10.1
 Texans,1,0,0,2,0,0,22,321,9.8
 Colts,1,0,1,2,0,0,24,358,9.7
 49ers,0,0,1,2,0,0,26,355,8.6
 Raiders,0,0,1,2,0,0,23,335,8.1
 Redskins,0,0,1,1,0,0,23,352,7.7
 Jets,0,0,0,1,0,0,22,373,7.5
 Lions,0,0,0,1,0,0,21,376,7.4
 Chargers,0,0,1,3,0,0,28,379,7
