Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Tyler Gaffney,0,0,0.0,0,0,0,0.0,0,0,0
Justin Davis,0,1,3.0,0,0,0,6.0,0,0,0
Michael Burton,0,0,5.0,0,0,0,5.0,0,0,0
Travaris Cadet,0,0,4.0,0,0,2,8.7,0,0,0
Devontae Booker,1,5,3.9,0,0,1,9.5,0,0,0
Derek Watt,0,0,1.0,0,0,1,13.0,0,0,0
Frank Gore,12,40,3.2,0,1,13,8.7,0,0,0
Terron Ward,0,2,4.1,0,0,1,10.0,0,0,0
Roosevelt Nix-Jones,0,0,0.0,0,0,0,4.0,0,0,0
Derrick Coleman,0,0,0.0,0,0,0,0.0,0,0,0
Kenjon Barner,0,1,4.2,0,0,0,3.0,0,0,0
Matt Dayes,0,1,3.5,0,0,0,7.0,0,0,0
Cameron Artis-Payne,1,6,3.8,0,0,1,13.0,0,0,0
Danny Vitale,0,0,4.3,0,0,0,7.0,0,0,0
Jay Prosch,0,0,3.0,0,0,0,5.8,0,0,0
Aaron Ripkowski,0,1,4.5,0,0,1,5.5,0,0,0
Joe Kerridge,0,0,0.0,0,0,0,0.0,0,0,0
Senorise Perry,0,0,0.0,0,0,0,0.0,0,0,0
Shane Smith,0,1,2.3,0,0,0,6.0,0,0,0
Robert Turbin,2,7,2.9,0,1,6,6.1,0,0,0
Derrick Henry,9,40,4.4,0,1,7,7.6,0,0,0
David Fluellen,0,2,4.2,0,0,0,5.0,0,0,0
Bishop Sankey,0,0,0.0,0,0,0,0.0,0,0,0
James Develin,0,0,3.3,0,0,1,8.5,0,0,0
Jamaal Williams,1,7,4.3,0,0,2,6.7,0,0,-0.2
Jacquizz Rodgers,2,9,3.3,0,0,5,8.3,0,0,-0.2
Charles Sims,1,4,2.8,0,1,9,8.2,0,0,-0.4
Raheem Mostert,1,5,4.0,0,0,1,6.5,0,0,-0.6
