 Bengals,1,0,1,3,0,0,11,244,21
 Steelers,1,0,1,3,0,0,12,238,20.9
 Eagles,0,1,1,2,0,0,11,248,18.2
 Ravens,1,1,1,2,0,0,13,254,16.8
 Jaguars,1,1,1,3,0,0,15,279,16.3
 Panthers,1,1,1,3,0,0,17,268,15.3
 Seahawks,1,1,1,3,0,0,14,279,15.3
 Vikings,0,0,1,3,0,0,19,283,13.9
 Raiders,1,1,1,2,0,0,20,340,12.5
 Texans,1,0,0,2,0,0,23,297,12.5
 Falcons,1,0,1,2,0,0,17,325,11.6
 Titans,1,0,0,2,0,0,22,287,11.5
 Patriots,1,0,0,1,0,0,14,317,11.5
 Chiefs,0,0,1,2,0,0,15,312,11.2
 Cardinals,1,0,1,1,0,0,18,317,10.4
 Cowboys,0,0,1,1,0,0,20,346,10.3
 Colts,1,0,1,1,0,0,23,355,10.3
 Redskins,0,0,1,2,0,0,18,322,10.2
 Broncos,0,0,1,1,0,0,26,284,10.1
 Saints,0,1,1,2,0,0,24,342,10
 Jets,1,0,1,1,0,0,21,331,9.5
 Browns,0,0,1,2,0,0,22,308,9.2
 Giants,0,1,1,1,0,0,21,359,8.7
 Rams,0,0,1,1,0,0,22,371,8.6
 49ers,1,0,0,2,0,0,23,373,8.6
 Chargers,0,0,1,2,0,0,21,324,8.5
 Lions,0,0,1,1,0,0,21,349,7.8
 Bills,0,0,0,1,0,0,25,326,7.7
 Bears,0,0,1,2,0,0,30,365,7.2
 Buccaneers,0,0,1,1,0,0,27,406,6
 Packers,1,0,0,1,0,0,29,395,6
