Matt Bryant,2.4,2.6,0,3.2,3.2,0.0,10
Sebastian Janikowski,2.3,2.7,0,3.2,3.2,0.0,10
Stephen Gostkowski,2.2,2.5,0,3.0,3.0,0.0,9
Chris Boswell,2.1,2.4,0,3.2,3.2,0.0,9
Ryan Succop,2.0,2.2,0,2.8,2.8,0.0,9
Wil Lutz,1.9,2.3,0,3.0,3.0,0.0,8
Kai Forbath,2.1,2.2,0,2.3,2.3,0.0,8
Caleb Sturgis,2.1,2.5,0,2.1,2.1,0.0,8
Justin Tucker,2.0,2.1,0,1.9,1.9,0.0,8
Roberto Aguayo,1.9,2.7,0,2.5,2.5,0.0,8
Nick Novak,2.0,2.3,0,1.8,1.8,0.0,8
Matt Prater,1.8,2.0,0,2.1,2.1,0.0,7
Graham Gano,1.7,2.2,0,2.5,2.5,0.0,7
Mason Crosby,1.6,1.9,0,2.7,2.7,0.0,7
Dan Bailey,1.6,1.8,0,2.5,2.5,0.0,7
Dustin Hopkins,1.8,2.2,0,1.9,1.9,0.0,7
Josh Lambo,1.6,1.9,0,2.2,2.2,0.0,7
Jason Myers,1.6,2.0,0,1.8,1.8,0.0,6
Adam Vinatieri,1.5,1.7,0,2.1,2.1,0.0,6
Cairo Santos,1.6,1.9,0,1.9,1.9,0.0,6
Brandon McManus,1.6,1.9,0,1.8,1.8,0.0,6
Aldrick Rosas,1.5,1.8,0,2.1,2.1,0.0,6
Stephen Hauschka,1.4,1.5,0,2.1,2.1,0.0,6
Greg Zuerlein,1.3,1.6,0,1.8,1.8,0.0,5
Andrew Franks,1.2,1.5,0,2.1,2.1,0.0,5
Chandler Catanzaro,1.4,1.8,0,1.4,1.4,0.0,5
Connor Barth,1.3,1.6,0,1.6,1.6,0.0,5
Robbie Gould,1.2,1.3,0,1.9,1.9,0.0,5
Randy Bullock,1.3,1.5,0,1.5,1.5,0.0,5
Phil Dawson,1.2,1.4,0,1.7,1.7,0.0,5
Cody Parkey,1.3,1.5,0,1.4,1.4,0.0,5
Nick Folk,0.4,0.5,0,0.6,0.6,0.0,1
Dan Carpenter,0.3,0.4,0,0.5,0.5,0.0,1
Patrick Murray,0.3,0.4,0,0.4,0.4,0.0,1
Shayne Graham,0.0,0.0,0,0.0,0.0,0.0,0
Ka'imi Fairbairn,0.0,0.0,0,0.0,0.0,0.0,0
Nick Rose,0.0,0.0,0,0.0,0.0,0.0,0
Mike Nugent,0.0,0.0,0,0.0,0.0,0.0,0
Jordan Gay,0.0,0.0,0,0.0,0.0,0.0,0
