Player,Att,Yd,Avg,TD,Recpt,Yd,Avg,TD,FL,FPTS
Le'Veon Bell,23,89,3.8,0,5,40,7.1,0,0,17
Todd Gurley,18,85,4.5,0,3,35,10.4,0,0,16.6
Kareem Hunt,16,70,4.4,0,3,31,9.0,0,0,14.2
LeSean McCoy,18,90,4.9,0,3,24,7.0,0,0,13.6
Melvin Gordon,17,72,4.1,0,3,24,7.1,0,0,13.6
Tevin Coleman,14,64,4.4,0,1,24,13.6,0,0,12.6
Leonard Fournette,19,76,3.9,0,1,16,8.8,0,0,11.4
Mark Ingram,17,76,4.4,0,3,22,6.3,0,0,11.4
Joe Mixon,16,52,3.3,0,2,24,9.1,0,0,11
Alvin Kamara,7,36,4.6,0,5,45,8.4,0,0,10.4
Lamar Miller,19,71,3.7,0,2,17,8.1,0,0,10.2
DeMarco Murray,12,51,4.0,0,2,22,8.1,0,0,9
Orleans Darkwa,15,61,4.1,0,1,9,6.5,0,0,8.8
Jordan Howard,18,70,3.8,0,1,8,7.0,0,0,8.6
Christian McCaffrey,7,23,3.4,0,5,48,8.6,0,0,8.6
Dion Lewis,12,53,4.5,0,1,9,7.5,0,0,8.4
Alex Collins,16,66,4.0,0,1,8,6.8,0,0,8.4
Carlos Hyde,13,53,4.0,0,2,15,6.5,0,0,8.2
Doug Martin,15,58,3.8,0,1,12,8.1,0,0,8.2
Devontae Booker,8,32,3.8,0,3,31,9.9,0,0,8.2
Jerick McKinnon,11,46,3.9,0,3,24,6.3,0,0,8
Samaje Perine,16,57,3.5,0,1,11,8.1,0,0,8
Rex Burkhead,8,30,3.8,0,2,20,8.9,0,0,7.8
Kenyan Drake,11,50,4.3,0,1,11,6.2,0,0,7.6
Damien Williams,9,42,4.3,0,2,21,8.7,0,0,7.6
Alfred Morris,14,69,4.8,0,1,7,6.5,0,0,7.6
Marlon Mack,7,24,3.3,0,1,20,10.7,0,0,7.4
Frank Gore,14,48,3.3,0,1,15,8.2,0,0,7.2
Isaiah Crowell,14,56,4.0,0,1,15,8.1,0,0,7
Jay Ajayi,13,59,4.5,0,1,7,6.6,0,0,6.4
Marshawn Lynch,11,38,3.3,0,1,6,6.1,0,0,6.4
Ameer Abdullah,13,41,3.2,0,1,9,6.1,0,0,6.2
James White,4,17,3.7,0,3,31,8.5,0,0,6.2
LeGarrette Blount,10,45,4.4,0,0,2,8.0,0,0,6.2
Jamaal Williams,15,55,3.5,0,0,2,7.2,0,0,6
Adrian Peterson,18,54,3.0,0,1,6,6.8,0,0,5.6
Derrick Henry,10,42,4.2,0,1,8,7.5,0,0,5.6
Latavius Murray,10,42,3.9,0,0,5,6.1,0,0,5.6
Austin Ekeler,5,19,3.8,0,2,21,8.9,0,0,5.4
