PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Lions ,,GB,W 35-11,,0,2,2,4,0,0,11,,17
Chiefs ,,@Den,W 27-24,,1,2,1,5,0,0,18,,17
Titans ,,Jax,W 15-10,,0,2,2,2,0,0,4,,16
Jaguars ,,@Ten,L 10-15,,1,0,1,3,0,1,15,,16
Giants ,,Wsh,W 18-10,,0,3,0,3,0,0,10,,15
Steelers ,,Cle,W 28-24,,1,1,1,6,0,0,24,,15
Cowboys ,,@Phi,W 6-0,,0,1,1,3,0,0,0,,14
Falcons ,,Car,W 22-10,,0,3,0,2,0,0,10,,13
Patriots ,,NYJ,W 26-6,,0,0,0,4,1,0,6,,12
49ers ,,@LAR,W 34-13,,0,0,2,3,0,0,13,,12
Broncos ,,KC,L 24-27,,1,1,1,2,0,0,21,,11
Colts ,,Hou,W 22-13,,0,1,0,2,1,0,13,,11
Seahawks ,,Ari,L 24-26,,1,1,0,1,0,0,26,,11
Buccaneers ,,NO,W 31-24,,1,0,1,2,0,0,24,,10
Bengals ,,@Bal,W 31-27,,1,1,0,1,0,0,27,,9
Saints ,,@TB,L 24-31,,1,3,0,2,0,0,25,,9
Chargers ,,Oak,W 30-10,,0,1,1,2,0,0,10,,9
Bears ,,@Min,L 10-23,,1,0,0,2,0,0,21,,8
Vikings ,,Chi,W 23-10,,0,0,0,1,1,0,10,,8
Eagles ,,Dal,L 0-6,,0,0,1,1,0,0,6,,7
Browns ,,@Pit,L 24-28,,0,1,1,3,0,0,28,,6
Cardinals ,,@Sea,W 26-24,,0,0,0,3,0,0,24,,5
Redskins ,,@NYG,L 10-18,,0,1,0,2,0,1,18,,5
Dolphins ,,Buf,L 16-22,,0,0,0,4,0,0,22,,4
Bills ,,@Mia,W 22-16,,0,1,0,1,0,0,16,,3
Texans ,,@Ind,L 13-22,,0,0,0,1,0,0,20,,3
Jets ,,@NE,L 6-26,,0,0,0,2,0,0,24,,2
Ravens ,,Cin,L 27-31,,0,0,1,1,0,0,25,,2
Rams ,,SF,L 13-34,,0,2,1,0,0,0,34,,0
Panthers ,,@Atl,L 10-22,,0,0,0,1,0,0,22,,0
Raiders ,,@LAC,L 10-30,,0,0,0,1,0,2,30,,-1
Packers ,,@Det,L 11-35,,0,0,0,2,0,0,35,,-2
