PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Redskins ,,Oak,W 27-10,,0,2,1,4,0,0,10,,16
Saints ,,@Car,W 34-13,,0,3,0,4,0,0,13,,15
Bengals ,,@GB,L 24-27,,1,1,0,6,0,0,27,,14
Jaguars ,,Bal,W 44-7,,0,2,1,2,0,0,7,,14
Jets ,,Mia,W 20-6,,0,2,0,3,0,0,6,,13
Bears ,,Pit,W 23-17,,0,0,2,3,0,1,17,,12
Chiefs ,,@LAC,W 24-10,,0,3,0,2,0,0,10,,11
Lions ,,Atl,L 26-30,,1,3,0,2,0,0,30,,10
Vikings ,,TB,W 34-17,,0,3,0,2,0,0,17,,9
Texans ,,@NE,L 33-36,,1,0,1,5,0,0,36,,9
Bills ,,Den,W 26-16,,0,2,0,3,0,0,16,,7
Cowboys ,,@Ari,W 28-17,,0,0,0,6,0,0,17,,7
Broncos ,,@Buf,L 16-26,,0,0,0,4,0,0,26,,6
Colts ,,Cle,W 31-28,,0,3,0,1,0,0,28,,6
Steelers ,,@Chi,L 17-23,,0,1,1,2,0,0,23,,6
Packers ,,Cin,W 27-24,,0,0,1,3,0,0,18,,5
Chargers ,,KC,L 10-24,,0,0,0,5,0,0,24,,5
Browns ,,@Ind,L 28-31,,0,0,1,3,0,0,31,,4
Dolphins ,,@NYJ,L 6-20,,0,0,1,2,0,0,20,,4
Giants ,,@Phi,L 24-27,,0,0,1,3,0,0,27,,4
Patriots ,,Hou,W 36-33,,0,2,0,2,0,0,27,,3
Falcons ,,@Det,W 30-26,,0,0,0,2,0,0,20,,2
Rams ,,@SF,W 41-39,,0,1,1,4,0,0,39,,2
Cardinals ,,Dal,L 17-28,,0,0,0,1,0,0,28,,2
Eagles ,,NYG,W 27-24,,0,2,0,0,0,0,24,,1
Raiders ,,@Wsh,L 10-27,,0,0,2,1,0,0,27,,0
Panthers ,,NO,L 13-34,,0,0,0,1,0,0,34,,-1
Titans ,,Sea,W 33-27,,0,0,0,1,0,0,27,,-2
49ers ,,LAR,L 39-41,,0,0,2,0,0,0,41,,-2
Seahawks ,,@Ten,L 27-33,,0,0,0,0,0,0,33,,-4
Buccaneers ,,@Min,L 17-34,,0,0,0,0,0,0,34,,-6
Ravens ,,@Jax,L 7-44,,0,0,0,0,0,0,44,,-6
