PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Patriots ,,Mia,W 35-17,,0,2,1,7,0,0,11,,18
Chargers ,,@Dal,W 28-6,,1,2,0,2,0,0,6,,18
Panthers ,,@NYJ,W 35-27,,2,0,1,3,0,0,27,,16
Giants ,,@Wsh,L 10-20,,1,1,0,6,0,0,20,,14
Titans ,,@Ind,W 20-16,,0,0,1,8,0,0,16,,13
Eagles ,,Chi,W 31-3,,0,2,0,2,0,0,3,,13
Redskins ,,NYG,W 20-10,,0,1,0,4,0,0,4,,13
Cardinals ,,Jax,W 27-24,,0,1,2,3,0,0,18,,11
Jaguars ,,@Ari,L 24-27,,1,1,1,1,0,0,27,,11
Raiders ,,Den,W 21-14,,0,1,0,5,0,0,14,,10
Seahawks ,,@SF,W 24-13,,0,1,0,3,0,0,13,,10
Bills ,,@KC,W 16-10,,0,1,0,2,0,0,10,,9
Vikings ,,@Det,W 30-23,,0,1,1,3,0,0,23,,9
Ravens ,,Hou,W 23-16,,0,2,1,2,0,0,16,,9
Colts ,,Ten,L 16-20,,0,2,0,0,0,0,20,,6
Chiefs ,,Buf,L 10-16,,0,0,0,2,0,0,16,,5
Dolphins ,,@NE,L 17-35,,1,1,1,1,0,0,35,,5
Broncos ,,@Oak,L 14-21,,0,0,1,2,0,0,21,,4
Jets ,,Car,L 27-35,,0,0,0,3,0,0,29,,4
Bears ,,@Phi,L 3-31,,0,0,3,1,0,0,31,,3
Rams ,,NO,W 26-20,,0,0,0,3,0,0,20,,3
Saints ,,@LAR,L 20-26,,0,1,0,4,0,0,26,,3
Steelers ,,GB,W 31-28,,0,0,0,4,0,0,28,,3
Texans ,,@Bal,L 16-23,,0,0,0,1,0,0,23,,3
Bengals ,,Cle,W 30-16,,0,0,0,4,0,0,16,,2
Lions ,,Min,L 23-30,,0,0,0,2,0,2,30,,2
49ers ,,Sea,L 13-24,,0,1,0,0,0,0,24,,2
Packers ,,@Pit,L 28-31,,0,2,1,1,0,0,31,,1
Falcons ,,TB,W 34-20,,0,0,0,1,0,0,20,,0
Browns ,,@Cin,L 16-30,,0,0,0,1,0,0,30,,-1
Buccaneers ,,@Atl,L 20-34,,0,0,1,0,0,0,34,,-5
Cowboys ,,LAC,L 6-28,,0,0,0,0,0,0,22,,-6
