PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Orleans Darkwa,,@SF,L 21-31,,0/0,0,0,0,,14,70,0,,2,18,0,2,,1,0,0,,12.8
Cameron Artis-Payne,,Mia,W 45-21,,0/0,0,0,0,,7,68,1,,0,0,0,0,,0,0,0,,12.8
Matt Breida,,NYG,W 31-21,,0/0,0,0,0,,9,55,1,,1,3,0,2,,0,0,0,,12.8
Austin Seferian-Jenkins*,,@TB,L 10-15,,0/0,0,0,0,,0,0,0,,6,67,0,9,,0,0,0,,12.7
DeVante Parker,,@Car,L 21-45,,0/0,0,0,0,,0,0,0,,6,66,0,9,,0,0,0,,12.6
Ameer Abdullah,,Cle,W 38-24,,0/0,0,0,0,,11,52,1,,1,3,0,2,,0,0,0,,12.5
Carlos Hyde,,NYG,W 31-21,,0/0,0,0,0,,17,98,0,,2,6,0,3,,0,0,0,,12.4
Delanie Walker,,Cin,W 24-20,,0/0,0,0,0,,0,0,0,,6,63,0,9,,0,0,0,,12.3
Ed Dickson,,Mia,W 45-21,,0/0,0,0,0,,0,0,0,,3,33,1,5,,0,0,0,,12.3
Roger Lewis,,@SF,L 21-31,,0/0,0,0,0,,0,0,0,,3,33,1,4,,0,0,0,,12.3
Sammy Watkins,,Hou,W 33-7,,0/0,0,0,0,,0,0,0,,2,41,1,3,,0,0,0,,12.1
Jamison Crowder,,Min,L 30-38,,0/0,0,0,0,,1,5,0,,4,76,0,11,,0,0,0,,12.1
Andre Ellington,,@LAR,L 7-33,,0/0,0,0,0,,2,4,1,,3,26,0,6,,0,0,0,,12
Charles Sims,,NYJ,W 15-10,,0/0,0,0,0,,3,20,0,,3,10,1,4,,0,0,0,,12
Eric Ebron,,Cle,W 38-24,,0/0,0,0,0,,0,0,0,,2,39,1,3,,0,0,0,,11.9
Kenny Britt,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,2,38,1,3,,0,0,0,,11.8
Chris Godwin,,NYJ,W 15-10,,0/0,0,0,0,,0,0,0,,5,68,0,10,,0,0,0,,11.8
Julio Jones,,Dal,W 27-7,,0/0,0,0,0,,0,0,0,,6,57,0,8,,0,0,0,,11.7
Kenny Stills,,@Car,L 21-45,,0/0,0,0,0,,0,0,0,,5,67,0,9,,0,0,0,,11.7
Corey Grant,,LAC,W 20-17,,0/0,0,0,0,,1,56,1,,0,0,0,0,,0,0,0,,11.6
Rob Gronkowski,,@Den,W 41-16,,0/0,0,0,0,,0,0,0,,4,74,0,6,,0,0,0,,11.4
Jonathan Stewart,,Mia,W 45-21,,0/0,0,0,0,,17,110,0,,0,0,0,0,,0,0,0,,11
T.J. Yeldon,,LAC,W 20-17,,0/0,0,0,0,,3,11,0,,6,39,0,8,,0,0,0,,11
Joe Mixon,,@Ten,L 20-24,,0/0,0,0,0,,9,37,1,,1,3,0,3,,0,0,0,,11
James White*,,@Den,W 41-16,,0/0,0,0,0,,2,7,0,,3,11,1,3,,0,0,0,,10.8
Trey Edmunds,,@Buf,W 47-10,,0/0,0,0,0,,9,48,1,,0,0,0,0,,0,0,0,,10.8
Cooper Kupp,,Hou,W 33-7,,0/0,0,0,0,,0,0,0,,6,47,0,7,,0,0,0,,10.7
Taylor Gabriel,,Dal,W 27-7,,0/0,0,0,0,,1,15,0,,3,58,0,3,,0,0,0,,10.3
Rishard Matthews,,Cin,W 24-20,,0/0,0,0,0,,0,0,0,,5,50,0,7,,0,0,0,,10
Giovani Bernard,,@Ten,L 20-24,,0/0,0,0,0,,2,10,0,,5,38,0,5,,0,0,0,,9.8
Elijah McGuire,,@TB,L 10-15,,0/0,0,0,0,,8,22,0,,4,36,0,7,,0,0,0,,9.8
Chris Thompson*,,Min,L 30-38,,0/0,0,0,0,,9,26,0,,3,41,0,7,,0,0,0,,9.7
Kendall Wright,,GB,L 16-23,,0/0,0,0,0,,0,0,0,,5,46,0,8,,0,0,0,,9.6
Vance McDonald,,@Ind,W 20-17,,0/0,0,0,0,,0,0,0,,2,16,1,2,,0,0,0,,9.6
Curtis Samuel*,,Mia,W 45-21,,0/0,0,0,0,,0,0,0,,5,45,0,7,,0,0,0,,9.5
Keenan Allen,,@Jax,L 17-20,,0/0,0,0,0,,1,6,0,,4,48,0,7,,0,0,0,,9.4
Melvin Gordon,,@Jax,L 17-20,,0/0,0,0,0,,16,27,0,,5,15,0,8,,0,0,0,,9.2
Keelan Cole,,LAC,W 20-17,,0/0,0,0,0,,0,0,0,,3,61,0,8,,0,0,0,,9.1
LeSean McCoy,,NO,L 10-47,,0/0,0,0,0,,8,49,0,,3,11,0,5,,0,0,0,,9
Randall Cobb,,@Chi,W 23-16,,0/0,0,0,0,,4,8,0,,3,52,0,4,,0,0,0,,9
Seth DeValve,,@Det,L 24-38,,0/0,0,0,0,,0,0,0,,4,70,0,6,,0,1,0,,9
Julius Thomas*,,@Car,L 21-45,,0/0,0,0,0,,0,0,0,,2,8,1,5,,0,0,0,,8.8
