PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Kareem Hunt,,@NE,W 42-27,,0/0,0,0,0,,17,148,1,,5,98,2,5,,0,1,0,,45.6
Tarik Cohen,,Atl,L 17-23,,0/0,0,0,0,,5,66,0,,8,47,1,12,,0,0,0,,25.3
Mike Gillislee*,,KC,L 27-42,,0/0,0,0,0,,15,45,3,,0,0,0,0,,0,0,0,,22.5
Leonard Fournette,,@Hou,W 29-7,,0/0,0,0,0,,26,100,1,,3,24,0,3,,0,0,0,,21.4
LeSean McCoy,,NYJ,W 21-12,,0/0,0,0,0,,22,110,0,,5,49,0,6,,0,0,0,,20.9
Todd Gurley II,,Ind,W 46-9,,0/0,0,0,0,,19,40,1,,5,56,0,6,,0,0,0,,20.6
Ty Montgomery*,,Sea,W 17-9,,0/0,0,0,0,,19,54,1,,4,39,0,4,,0,0,0,,19.3
Ezekiel Elliott,,NYG,W 19-3,,0/0,0,0,0,,24,104,0,,5,36,0,5,,0,0,0,,19
Melvin Gordon,,@Den,L 21-24,,0/0,0,0,0,,18,54,0,,5,25,1,6,,0,0,0,,18.9
Dalvin Cook*,,NO,W 29-19,,0/0,0,0,0,,22,127,0,,3,10,0,5,,0,0,0,,16.7
Jonathan Stewart,,@SF,W 23-3,,0/0,0,0,0,,18,65,0,,2,17,1,2,,0,0,0,,16.2
Chris Thompson*,,Phi,L 17-30,,0/0,0,0,0,,3,4,0,,4,52,1,5,,0,0,0,,15.6
Jordan Howard,,Atl,L 17-23,,0/0,0,0,0,,13,52,1,,3,14,0,5,,0,0,0,,15.6
Theo Riddick,,Ari,W 35-23,,0/0,0,0,0,,1,-1,0,,6,27,1,7,,0,0,0,,14.6
Shane Vereen,,@Dal,L 3-19,,0/0,0,0,0,,0,0,0,,9,51,0,10,,0,0,0,,14.1
Terrance West,,@Cin,W 20-0,,0/0,0,0,0,,19,80,1,,0,0,0,1,,0,0,0,,14
Carlos Hyde,,Car,L 3-23,,0/0,0,0,0,,9,45,0,,6,32,0,6,,0,0,0,,13.7
David Johnson*,,@Det,L 23-35,,0/0,0,0,0,,11,23,0,,6,67,0,8,,0,1,0,,13
Mike Tolbert,,NYJ,W 21-12,,0/0,0,0,0,,12,42,1,,1,12,0,1,,0,0,0,,12.4
Mark Ingram,,@Min,L 19-29,,0/0,0,0,0,,6,17,0,,5,54,0,5,,0,0,0,,12.1
Devonta Freeman,,@Chi,W 23-17,,0/0,0,0,0,,12,37,1,,2,2,0,2,,0,0,0,,11.9
LeGarrette Blount,,@Wsh,W 30-17,,0/0,0,0,0,,14,46,0,,1,1,1,1,,0,0,0,,11.7
Lamar Miller,,Jax,L 7-29,,0/0,0,0,0,,17,65,0,,2,31,0,2,,0,0,0,,11.6
Marlon Mack,,@LAR,L 9-46,,0/0,0,0,0,,10,24,1,,1,21,0,1,,0,0,0,,11.5
Christian McCaffrey,,@SF,W 23-3,,0/0,0,0,0,,13,47,0,,5,38,0,7,,0,1,0,,11.5
Isaiah Crowell,,Pit,L 18-21,,0/0,0,0,0,,17,33,0,,2,33,0,2,,1,0,0,,10.6
Marshawn Lynch,,@Ten,W 26-16,,0/0,0,0,0,,18,76,0,,1,16,0,2,,0,0,0,,10.2
James White*,,KC,L 27-42,,0/0,0,0,0,,10,38,0,,3,30,0,5,,0,0,0,,9.8
Tevin Coleman,,@Chi,W 23-17,,0/0,0,0,0,,8,16,0,,4,42,0,6,,0,0,0,,9.8
C.J. Anderson,,LAC,W 24-21,,0/0,0,0,0,,20,81,0,,1,7,0,3,,0,0,0,,9.8
Darren Sproles*,,@Wsh,W 30-17,,0/0,0,0,0,,2,2,0,,5,43,0,8,,0,0,0,,9.5
Charcandrick West*,,@NE,W 42-27,,0/0,0,0,0,,1,21,1,,1,4,0,1,,0,0,0,,9.5
Bilal Powell,,@Buf,L 12-21,,0/0,0,0,0,,7,22,0,,5,17,0,6,,0,0,0,,8.9
Giovani Bernard,,Bal,L 0-20,,0/0,0,0,0,,7,40,0,,1,39,0,2,,0,0,0,,8.9
Kerwynn Williams,,@Det,L 23-35,,0/0,0,0,0,,5,10,1,,1,2,0,1,,0,0,0,,8.2
DeMarco Murray*,,Oak,L 16-26,,0/0,0,0,0,,12,44,0,,2,16,0,2,,0,0,0,,8
Alvin Kamara,,@Min,L 19-29,,0/0,0,0,0,,7,18,0,,4,20,0,6,,0,0,0,,7.8
Le'Veon Bell*,,@Cle,W 21-18,,0/0,0,0,0,,10,32,0,,3,15,0,6,,0,0,0,,7.7
Malcolm Brown,,Ind,W 46-9,,0/0,0,0,0,,7,16,1,,0,0,0,0,,0,0,0,,7.6
Javorius Allen,,@Cin,W 20-0,,0/0,0,0,0,,21,71,0,,0,0,0,1,,0,0,0,,7.1
Tommy Bohanon,,@Hou,W 29-7,,0/0,0,0,0,,1,0,0,,1,1,1,1,,0,0,0,,7.1
Ameer Abdullah,,Ari,W 35-23,,0/0,0,0,0,,15,30,0,,3,11,0,4,,0,0,0,,7.1
Danny Woodhead,,@Cin,W 20-0,,0/0,0,0,0,,1,4,0,,3,33,0,3,,0,0,0,,6.7
Jerick McKinnon,,NO,W 29-19,,0/0,0,0,0,,3,5,0,,3,32,0,3,,0,0,0,,6.7
Matt Forte*,,@Buf,L 12-21,,0/0,0,0,0,,6,16,0,,3,20,0,5,,0,0,0,,6.6
Tyler Ervin*,,Jax,L 7-29,,0/0,0,0,0,,3,8,0,,4,18,0,5,,0,0,0,,6.6
Chris Ivory,,@Hou,W 29-7,,0/0,0,0,0,,9,42,0,,1,11,0,2,,0,0,0,,6.3
Frank Gore,,@LAR,L 9-46,,0/0,0,0,0,,10,42,0,,1,10,0,1,,0,0,0,,6.2
Chris Carson*,,@GB,L 9-17,,0/0,0,0,0,,6,39,0,,1,10,0,1,,0,0,0,,5.9
