PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Harrison Butker,,Mia,W 29-13,,4/4,1/2,0/0,5/6,2/2,,17
Randy Bullock,,Det,W 26-17,,3/3,0/0,1/1,4/4,2/2,,16
Stephen Gostkowski,,Buf,W 37-16,,2/2,1/1,0/0,3/3,4/4,,14
Dan Bailey,,Sea,L 12-21,,2/3,0/1,2/2,4/6,0/0,,14
Patrick Murray,,@Car,L 19-22,,3/3,1/1,0/1,4/5,1/1,,13
Wil Lutz,,Atl,W 23-13,,1/1,2/2,0/0,3/3,2/2,,13
Kai Forbath,,@GB,W 16-0,,2/2,1/1,0/0,3/3,1/1,,11
Justin Tucker,,Ind,W 23-16,,3/3,0/0,0/0,3/3,2/2,,11
Stephen Hauschka,,@NE,L 16-37,,2/2,1/1,0/1,3/4,1/1,,10
Graham Gano,,TB,W 22-19,,3/3,0/0,0/0,3/3,1/2,,10
Ryan Succop,,LAR,L 23-27,,3/3,0/1,0/0,3/4,2/2,,10
Chris Boswell,,@Hou,W 34-6,,2/2,0/0,0/0,2/2,4/4,,10
Adam Vinatieri,,@Bal,L 16-23,,2/3,1/1,0/1,3/5,1/1,,9
Dustin Hopkins,,Den,W 27-11,,2/2,0/0,0/0,2/2,3/3,,9
Matt Bryant,,@NO,L 13-23,,1/1,1/1,0/0,2/2,1/1,,8
Robbie Gould,,Jax,W 44-33,,1/1,0/0,0/0,1/1,5/6,,8
Cody Parkey,,@KC,L 13-29,,1/1,1/2,0/0,2/3,1/1,,7
Jake Elliott,,Oak,W 19-10,,1/2,1/1,0/0,2/3,1/1,,7
Josh Lambo,,@SF,L 33-44,,0/0,1/1,0/0,1/1,2/3,,6
Phil Dawson,,NYG,W 23-0,,1/1,0/0,0/0,1/1,2/3,,5
Matt Prater,,@Cin,L 17-26,,1/1,0/0,0/1,1/2,2/2,,4
Zane Gonzalez,,@Chi,L 3-20,,0/0,1/1,0/0,1/1,0/0,,4
Blair Walsh,,@Dal,W 21-12,,0/0,0/0,0/0,0/0,3/3,,3
Giorgio Tavecchio,,@Phi,L 10-19,,1/1,0/1,0/0,1/2,1/1,,3
Brandon McManus,,@Wsh,L 11-27,,1/1,0/0,0/0,1/1,0/0,,3
Mike Nugent,,Cle,W 20-3,,0/0,0/0,0/0,0/0,2/3,,2
Sam Ficken,,@Ten,W 27-23,,0/1,0/0,0/0,0/1,3/4,,2
Chandler Catanzaro,,LAC,L 7-14,,0/0,0/0,0/0,0/0,1/1,,1
Nick Rose,,@NYJ,W 14-7,,0/0,0/1,0/0,0/1,2/2,,1
Sebastian Janikowski*,,@Phi,L 10-19,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,@NO,L 13-23,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,@Chi,L 3-20,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,@Ari,L 0-23,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,Atl,W 23-13,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,@NYJ,W 14-7,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,@Hou,W 34-6,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,@Car,L 19-22,,0/0,0/0,0/0,0/0,0/0,,0
Mason Crosby,,Min,L 0-16,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,@Hou,W 34-6,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@NE,L 16-37,,0/0,0/0,0/0,0/0,0/0,,0
Connor Barth,,Cle,W 20-3,,0/0,0/0,0/0,0/0,0/0,,0
Greg Zuerlein*,,@Ten,W 27-23,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,@Car,L 19-22,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,Oak,W 19-10,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,@Car,L 19-22,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,@NYJ,W 14-7,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,Cle,W 20-3,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@Cin,L 17-26,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,LAR,L 23-27,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,@Dal,W 21-12,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,LAC,L 7-14,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@KC,L 13-29,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,Cle,W 20-3,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,@NYJ,W 14-7,,0/0,0/0,0/0,0/0,0/0,,0
Ka'imi Fairbairn,,Pit,L 6-34,,0/0,0/0,0/0,0/0,0/0,,0
Aldrick Rosas,,@Ari,L 0-23,,0/1,0/0,0/0,0/1,0/0,,-1
