PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Antonio Brown*,,@Cle,W 21-18,,0/0,0,0,0,,0,0,0,,11,182,0,11,,0,0,0,,29.2
Stefon Diggs,,NO,W 29-19,,0/0,0,0,0,,1,-6,0,,7,93,2,8,,0,0,0,,27.7
Tyreek Hill*,,@NE,W 42-27,,0/0,0,0,0,,2,5,0,,7,133,1,8,,0,0,0,,26.8
Adam Thielen,,NO,W 29-19,,0/0,0,0,0,,0,0,0,,9,157,0,10,,0,0,0,,24.7
Kenny Golladay,,Ari,W 35-23,,0/0,0,0,0,,0,0,0,,4,69,2,7,,0,0,0,,22.9
Golden Tate,,Ari,W 35-23,,0/0,0,0,0,,2,7,0,,10,107,0,12,,0,0,0,,21.4
Jordy Nelson*,,Sea,W 17-9,,0/0,0,0,0,,0,0,0,,7,79,1,8,,0,0,0,,20.9
Nelson Agholor,,@Wsh,W 30-17,,0/0,0,0,0,,0,0,0,,6,86,1,8,,0,0,0,,20.6
DeAndre Hopkins*,,Jax,L 7-29,,0/0,0,0,0,,0,0,0,,7,55,1,16,,0,0,0,,18.5
Cooper Kupp,,Ind,W 46-9,,0/0,0,0,0,,0,0,0,,4,76,1,6,,0,0,0,,17.6
Randall Cobb,,Sea,W 17-9,,0/0,0,0,0,,0,0,0,,9,85,0,12,,0,0,0,,17.5
Amari Cooper,,@Ten,W 26-16,,0/0,0,0,0,,0,0,0,,5,62,1,13,,0,0,0,,17.2
Bennie Fowler III,,LAC,W 24-21,,0/0,0,0,0,,0,0,0,,3,21,2,4,,0,0,0,,17.1
Corey Coleman,,Pit,L 18-21,,0/0,0,0,0,,0,0,0,,5,53,1,6,,0,0,0,,16.3
Danny Amendola,,KC,L 27-42,,0/0,0,0,0,,0,0,0,,6,100,0,7,,0,0,0,,16
J.J. Nelson,,@Det,L 23-35,,0/0,0,0,0,,0,0,0,,5,43,1,6,,0,0,0,,15.3
Keenan Allen,,@Den,L 21-24,,0/0,0,0,0,,0,0,0,,5,35,1,10,,0,0,0,,14.5
Michael Crabtree,,@Ten,W 26-16,,0/0,0,0,0,,0,0,0,,6,83,0,7,,0,0,0,,14.3
Pierre Garcon*,,Car,L 3-23,,0/0,0,0,0,,0,0,0,,6,81,0,10,,0,0,0,,14.1
Jeremy Maclin*,,@Cin,W 20-0,,0/0,0,0,0,,0,0,0,,2,56,1,4,,0,0,0,,13.6
Larry Fitzgerald,,@Det,L 23-35,,0/0,0,0,0,,0,0,0,,6,74,0,13,,0,0,0,,13.4
Travis Benjamin,,@Den,L 21-24,,0/0,0,0,0,,0,0,0,,3,43,1,4,,0,0,0,,13.3
Russell Shepard,,@SF,W 23-3,,0/0,0,0,0,,0,0,0,,2,53,1,2,,0,0,0,,13.3
Jermaine Kearse,,@Buf,L 12-21,,0/0,0,0,0,,0,0,0,,7,59,0,10,,0,0,0,,12.9
Corey Davis,,Oak,L 16-26,,0/0,0,0,0,,0,0,0,,6,69,0,10,,0,0,0,,12.9
Terrance Williams,,NYG,W 19-3,,0/0,0,0,0,,0,0,0,,6,68,0,7,,0,0,0,,12.8
Terrelle Pryor Sr.*,,Phi,L 17-30,,0/0,0,0,0,,0,0,0,,6,66,0,11,,0,0,0,,12.6
A.J. Green,,Bal,L 0-20,,0/0,0,0,0,,0,0,0,,5,74,0,10,,0,0,0,,12.4
Rishard Matthews,,Oak,L 16-26,,0/0,0,0,0,,0,0,0,,5,71,0,9,,0,0,0,,12.1
Sterling Shepard*,,@Dal,L 3-19,,0/0,0,0,0,,1,6,0,,7,44,0,8,,0,0,0,,12
Brandin Cooks,,KC,L 27-42,,0/0,0,0,0,,0,0,0,,3,88,0,7,,0,0,0,,11.8
Demaryius Thomas,,LAC,W 24-21,,0/0,0,0,0,,0,0,0,,5,67,0,8,,0,0,0,,11.7
Marvin Jones Jr.,,Ari,W 35-23,,0/0,0,0,0,,0,0,0,,2,37,1,2,,0,0,0,,11.7
Sammy Watkins,,Ind,W 46-9,,0/0,0,0,0,,0,0,0,,5,58,0,5,,0,0,0,,10.8
Mohamed Sanu,,@Chi,W 23-17,,0/0,0,0,0,,0,0,0,,6,47,0,9,,0,0,0,,10.7
Julio Jones,,@Chi,W 23-17,,0/0,0,0,0,,0,0,0,,4,66,0,5,,0,0,0,,10.6
Tyrell Williams,,@Den,L 21-24,,0/0,0,0,0,,0,0,0,,5,54,0,7,,0,0,0,,10.4
Ryan Grant,,Phi,L 17-30,,0/0,0,0,0,,0,0,0,,4,61,0,6,,0,0,0,,10.1
Doug Baldwin,,@GB,L 9-17,,0/0,0,0,0,,1,-3,0,,4,63,0,4,,0,0,0,,10
Paul Richardson,,@GB,L 9-17,,0/0,0,0,0,,0,0,0,,4,59,0,7,,0,0,0,,9.9
Ted Ginn Jr.,,@Min,L 19-29,,0/0,0,0,0,,1,5,0,,4,53,0,5,,0,0,0,,9.8
Michael Thomas,,@Min,L 19-29,,0/0,0,0,0,,0,0,0,,5,45,0,8,,0,0,0,,9.5
Roger Lewis,,@Dal,L 3-19,,0/0,0,0,0,,0,0,0,,4,54,0,6,,0,0,0,,9.4
Seth Roberts,,@Ten,W 26-16,,0/0,0,0,0,,0,0,0,,1,19,1,1,,0,0,0,,8.9
Alshon Jeffery,,@Wsh,W 30-17,,0/0,0,0,0,,0,0,0,,3,38,0,7,,1,0,0,,8.8
Albert Wilson,,@NE,W 42-27,,0/0,0,0,0,,0,0,0,,5,37,0,5,,0,0,0,,8.7
Robert Woods,,Ind,W 46-9,,0/0,0,0,0,,0,0,0,,3,53,0,5,,0,0,0,,8.3
John Brown,,@Det,L 23-35,,0/0,0,0,0,,1,10,0,,4,32,0,10,,0,0,0,,8.2
Jordan Matthews*,,NYJ,W 21-12,,0/0,0,0,0,,0,0,0,,2,61,0,3,,0,0,0,,8.1
Davante Adams*,,Sea,W 17-9,,0/0,0,0,0,,0,0,0,,3,47,0,7,,0,0,0,,7.7
Allen Hurns,,@Hou,W 29-7,,0/0,0,0,0,,0,0,0,,3,42,0,4,,0,0,0,,7.2
Tommylee Lewis,,@Min,L 19-29,,0/0,0,0,0,,0,0,0,,2,52,0,3,,0,0,0,,7.2
Andre Holmes*,,NYJ,W 21-12,,0/0,0,0,0,,0,0,0,,1,1,1,1,,0,0,0,,7.1
T.Y. Hilton,,@LAR,L 9-46,,0/0,0,0,0,,0,0,0,,3,57,0,7,,0,1,0,,6.7
Taylor Gabriel,,@Chi,W 23-17,,0/0,0,0,0,,0,0,0,,3,36,0,4,,0,0,0,,6.6
Kendall Wright,,Atl,L 17-23,,0/0,0,0,0,,0,0,0,,3,34,0,4,,0,0,0,,6.4
Dez Bryant,,NYG,W 19-3,,0/0,0,0,0,,0,0,0,,2,43,0,9,,0,0,0,,6.3
Chris Conley*,,@NE,W 42-27,,0/0,0,0,0,,0,0,0,,2,43,0,4,,0,0,0,,6.3
Cole Beasley*,,NYG,W 19-3,,0/0,0,0,0,,0,0,0,,3,32,0,5,,0,0,0,,6.2
Robby Anderson,,@Buf,L 12-21,,0/0,0,0,0,,0,0,0,,4,22,0,8,,0,0,0,,6.2
Donte Moncrief*,,@LAR,L 9-46,,0/0,0,0,0,,0,0,0,,1,50,0,4,,0,0,0,,6
Joshua Bellamy,,Atl,L 17-23,,0/0,0,0,0,,0,0,0,,3,27,0,4,,0,0,0,,5.7
Emmanuel Sanders*,,LAC,W 24-21,,0/0,0,0,0,,0,0,0,,3,26,0,5,,0,0,0,,5.6
Brandon LaFell,,Bal,L 0-20,,0/0,0,0,0,,0,0,0,,3,24,0,5,,0,0,0,,5.4
TJ Jones*,,Ari,W 35-23,,0/0,0,0,0,,0,0,0,,2,32,0,4,,0,0,0,,5.2
Ricardo Louis,,Pit,L 18-21,,0/0,0,0,0,,0,0,0,,2,32,0,3,,0,0,0,,5.2
Marquise Goodwin,,Car,L 3-23,,0/0,0,0,0,,0,0,0,,3,21,0,6,,0,0,0,,5.1
Eric Decker,,Oak,L 16-26,,0/0,0,0,0,,0,0,0,,3,10,0,8,,0,0,0,,4
Torrey Smith,,@Wsh,W 30-17,,0/0,0,0,0,,0,0,0,,1,30,0,3,,0,0,0,,4
