PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Russell Wilson,,Hou,W 41-38,,26/41,452,4,1,,4,30,0,,0,0,0,0,,0,0,0,,35.1
Deshaun Watson*,,@Sea,L 38-41,,19/30,402,4,3,,8,67,0,,0,0,0,0,,0,0,0,,32.8
Andy Dalton,,Ind,W 24-23,,17/29,243,2,0,,3,10,0,,0,0,0,0,,0,0,0,,18.7
Josh McCown*,,Atl,L 20-25,,26/33,257,2,0,,1,0,0,,0,0,0,0,,0,0,0,,18.3
Matthew Stafford,,Pit,L 15-20,,27/45,423,0,0,,1,11,0,,0,0,0,0,,0,0,0,,18
Tom Brady,,LAC,W 21-13,,32/47,333,1,0,,1,2,0,,0,0,0,0,,0,0,0,,17.5
Case Keenum,,@Cle,W 33-16,,27/43,288,2,1,,0,0,0,,0,0,0,0,,0,0,0,,17.5
Carson Wentz*,,SF,W 33-10,,18/32,211,2,1,,2,7,0,,0,0,0,0,,1,0,0,,17.1
Tyrod Taylor,,Oak,W 34-14,,20/27,165,1,0,,6,1,1,,0,0,0,0,,0,0,0,,16.7
Jacoby Brissett,,@Cin,L 23-24,,25/39,233,2,1,,1,6,0,,0,0,0,0,,0,0,0,,15.9
Matt Ryan,,@NYJ,W 25-20,,18/29,254,2,0,,6,17,0,,0,0,0,0,,0,2,0,,15.9
DeShone Kizer,,Min,L 16-33,,18/34,179,0,0,,5,18,1,,0,0,0,0,,0,0,0,,15
Ben Roethlisberger,,@Det,W 20-15,,17/31,317,1,1,,3,-2,0,,0,0,0,0,,0,0,0,,14.5
Alex Smith,,Den,W 29-19,,14/31,202,1,0,,4,33,0,,0,0,0,0,,0,1,0,,13.4
Cam Newton,,@TB,W 17-3,,18/32,154,1,1,,11,44,0,,0,0,0,0,,0,0,0,,12.6
Derek Carr,,@Buf,L 14-34,,31/49,313,1,2,,0,0,0,,0,0,0,0,,0,0,0,,12.5
Drew Brees,,Chi,W 20-12,,23/28,299,0,0,,4,-2,0,,0,0,0,0,,0,0,0,,11.8
C.J. Beathard,,@Phi,L 10-33,,17/36,167,1,2,,6,40,0,,0,0,0,0,,0,0,0,,10.7
Kirk Cousins,,Dal,L 19-33,,26/39,263,1,1,,1,0,0,,0,0,0,0,,0,1,0,,10.5
Philip Rivers,,@NE,L 13-21,,17/30,212,1,1,,0,0,0,,0,0,0,0,,0,0,0,,10.5
Mitchell Trubisky,,@NO,L 12-20,,14/32,164,0,1,,3,53,0,,0,0,0,0,,0,0,0,,9.9
Joe Flacco,,Mia,W 40-0,,10/15,101,1,0,,1,9,0,,0,0,0,0,,0,0,0,,8.9
Trevor Siemian*,,@KC,L 19-29,,19/36,198,1,3,,2,20,0,,0,0,0,0,,0,0,0,,7.9
Dak Prescott,,@Wsh,W 33-19,,14/22,143,0,0,,3,16,0,,0,0,0,0,,0,0,0,,7.3
Ryan Mallett,,Mia,W 40-0,,3/7,20,1,0,,4,-3,0,,0,0,0,0,,0,0,0,,4.5
Jameis Winston,,Car,L 3-17,,21/38,210,0,2,,3,13,0,,0,0,0,0,,0,1,0,,3.7
Matt Moore*,,@Bal,L 0-40,,25/44,176,0,2,,0,0,0,,0,0,0,0,,0,0,0,,3
Mike Vick,,@Det,W 20-15,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Shaun Hill,,@Cle,W 33-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tony Romo,,@Wsh,W 33-19,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Schaub,,@NYJ,W 25-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Luke McCown,,@Wsh,W 33-19,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Derek Anderson,,@TB,W 17-3,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ryan Fitzpatrick,,Car,L 3-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jay Cutler,,@Bal,L 0-40,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kellen Clemens,,@NE,L 13-21,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tarvaris Jackson,,Hou,W 41-38,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Charlie Whitehurst,,Min,L 16-33,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Bruce Gradkowski,,@Det,W 20-15,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Flynn,,Chi,W 20-12,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Chase Daniel,,Chi,W 20-12,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Josh Freeman,,@Cin,L 23-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Brian Hoyer,,LAC,W 21-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Mark Sanchez,,@NO,L 12-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Sam Bradford*,,@Cle,W 33-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jimmy Clausen,,Mia,W 40-0,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Colt McCoy,,Dal,L 19-33,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Dan LeFevour,,Car,L 3-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
