PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Saints ,,TB,W 30-10,,1,0,1,4,0,1,10,,19
Jaguars ,,Cin,W 23-7,,1,0,0,2,0,0,7,,14
Jets ,,Buf,W 34-21,,0,0,3,7,0,0,21,,13
Seahawks ,,Wsh,L 14-17,,0,0,1,6,1,0,17,,13
Cardinals ,,@SF,W 20-10,,0,1,1,5,0,0,10,,12
Rams ,,@NYG,W 51-17,,0,1,2,2,0,1,17,,11
Eagles ,,Den,W 51-23,,0,2,0,3,0,0,17,,10
Texans ,,Ind,L 14-20,,1,0,1,3,0,0,20,,10
Colts ,,@Hou,W 20-14,,0,0,1,2,0,0,8,,9
Ravens ,,@Ten,L 20-23,,0,1,0,3,0,0,23,,7
Lions ,,@GB,W 30-17,,0,0,0,3,0,1,17,,6
Titans ,,Bal,W 23-20,,0,2,0,2,0,0,20,,6
Redskins ,,@Sea,W 17-14,,0,2,0,2,0,0,12,,6
Falcons ,,@Car,L 17-20,,0,0,2,1,0,0,20,,5
Cowboys ,,KC,W 28-17,,0,1,0,2,0,0,17,,5
Dolphins ,,Oak,L 24-27,,0,1,1,1,0,0,27,,4
Panthers ,,Atl,W 20-17,,0,1,0,2,0,0,17,,4
49ers ,,Ari,L 10-20,,0,1,1,0,0,0,20,,3
Buccaneers ,,@NO,L 10-30,,0,0,2,1,0,1,30,,3
Broncos ,,@Phi,L 23-51,,1,0,1,2,0,0,51,,2
Raiders ,,@Mia,W 27-24,,0,0,1,1,0,0,24,,2
Bills ,,@NYJ,L 21-34,,0,0,0,1,0,0,34,,0
Bengals ,,@Jax,L 7-23,,0,0,1,0,0,0,23,,-1
Packers ,,Det,L 17-30,,0,0,1,1,0,0,30,,-1
Chiefs ,,@Dal,L 17-28,,0,0,0,1,0,0,28,,-1
Giants ,,LAR,L 17-51,,0,0,0,0,0,0,51,,-10
Bears ,,** BYE **,,--,--,--,--,--,--,--,,--
Browns ,,** BYE **,,--,--,--,--,--,--,--,,--
Vikings ,,** BYE **,,--,--,--,--,--,--,--,,--
Patriots ,,** BYE **,,--,--,--,--,--,--,--,,--
Steelers ,,** BYE **,,--,--,--,--,--,--,--,,--
Chargers ,,** BYE **,,--,--,--,--,--,--,--,,--
