PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Zach Ertz,,Chi,W 31-3,,0/0,0,0,0,,0,0,0,,10,103,1,12,,0,0,0,,26.3
Rob Gronkowski,,Mia,W 35-17,,0/0,0,0,0,,0,0,0,,5,82,2,8,,0,0,0,,25.2
Kyle Rudolph,,@Det,W 30-23,,0/0,0,0,0,,0,0,0,,4,63,2,4,,0,0,0,,22.3
Hunter Henry*,,@Dal,W 28-6,,0/0,0,0,0,,0,0,0,,5,76,1,5,,0,0,0,,18.6
Ricky Seals-Jones,,Jax,W 27-24,,0/0,0,0,0,,0,0,0,,4,72,1,6,,0,0,0,,17.2
Jack Doyle,,Ten,L 16-20,,0/0,0,0,0,,0,0,0,,7,94,0,8,,0,0,0,,16.4
Delanie Walker,,@Ind,W 20-16,,0/0,0,0,0,,0,0,0,,4,63,1,5,,0,0,0,,16.3
Jimmy Graham,,@SF,W 24-13,,0/0,0,0,0,,0,0,0,,3,34,1,6,,0,0,0,,12.4
Jason Witten,,LAC,L 6-28,,0/0,0,0,0,,0,0,0,,7,44,0,7,,0,0,0,,11.4
Nick Vannett*,,@SF,W 24-13,,0/0,0,0,0,,0,0,0,,2,29,1,4,,0,0,0,,10.9
Tyler Kroft,,Cle,W 30-16,,0/0,0,0,0,,0,0,0,,3,14,1,4,,0,0,0,,10.4
Julius Thomas*,,@NE,L 17-35,,0/0,0,0,0,,0,0,0,,5,52,0,6,,0,0,0,,10.2
Charles Clay,,@KC,W 16-10,,0/0,0,0,0,,0,0,0,,4,60,0,4,,0,0,0,,10
David Njoku,,@Cin,L 16-30,,0/0,0,0,0,,0,0,0,,4,47,0,4,,0,0,0,,8.7
O.J. Howard*,,@Atl,L 20-34,,0/0,0,0,0,,0,0,0,,3,52,0,4,,0,0,0,,8.2
Tyler Higbee,,NO,W 26-20,,0/0,0,0,0,,0,0,0,,3,48,0,3,,0,0,0,,7.8
C.J. Fiedorowicz*,,@Bal,L 16-23,,0/0,0,0,0,,0,0,0,,4,37,0,8,,0,0,0,,7.7
Eric Ebron,,Min,L 23-30,,0/0,0,0,0,,0,0,0,,4,34,0,4,,0,0,0,,7.4
Xavier Grimble,,GB,W 31-28,,0/0,0,0,0,,0,0,0,,1,1,1,1,,0,0,0,,7.1
Travis Kelce,,Buf,L 10-16,,0/0,0,0,0,,0,0,0,,3,39,0,4,,0,0,0,,6.9
Austin Hooper,,TB,W 34-20,,0/0,0,0,0,,0,0,0,,3,38,0,5,,0,0,0,,6.8
Jesse James,,GB,W 31-28,,0/0,0,0,0,,0,0,0,,3,32,0,4,,0,0,0,,6.2
Benjamin Watson,,Hou,W 23-16,,0/0,0,0,0,,0,0,0,,3,29,0,3,,0,0,0,,5.9
Demetrius Harris,,Buf,L 10-16,,0/0,0,0,0,,0,0,0,,2,33,0,2,,0,0,0,,5.3
Seth DeValve,,@Cin,L 16-30,,0/0,0,0,0,,0,0,0,,2,33,0,2,,0,0,0,,5.3
Evan Engram*,,@Wsh,L 10-20,,0/0,0,0,0,,0,0,0,,3,18,0,7,,0,0,0,,4.8
Austin Seferian-Jenkins*,,Car,L 27-35,,0/0,0,0,0,,0,0,0,,2,27,0,6,,0,0,0,,4.7
Niles Paul,,NYG,W 20-10,,0/0,0,0,0,,0,0,0,,3,16,0,5,,0,0,0,,4.6
Austin Traylor,,@Oak,L 14-21,,0/0,0,0,0,,0,0,0,,1,34,0,4,,0,0,0,,4.4
Troy Niklas,,Jax,W 27-24,,0/0,0,0,0,,0,0,0,,2,22,0,2,,0,0,0,,4.2
Daniel Brown,,@Phi,L 3-31,,0/0,0,0,0,,0,0,0,,2,20,0,3,,0,0,0,,4
Nick O'Leary,,@KC,W 16-10,,0/0,0,0,0,,0,0,0,,2,18,0,2,,0,0,0,,3.8
Richard Rodgers*,,@Pit,L 28-31,,0/0,0,0,0,,0,0,0,,1,25,0,3,,0,0,0,,3.5
Jermaine Gresham,,Jax,W 27-24,,0/0,0,0,0,,0,0,0,,2,13,0,3,,0,0,0,,3.3
Garrett Celek,,Sea,L 13-24,,0/0,0,0,0,,0,0,0,,2,7,0,2,,0,0,0,,2.7
Virgil Green,,@Oak,L 14-21,,0/0,0,0,0,,0,0,0,,1,16,0,3,,0,0,0,,2.6
Ed Dickson,,@NYJ,W 35-27,,0/0,0,0,0,,0,0,0,,1,15,0,3,,0,0,0,,2.5
George Kittle,,Sea,L 13-24,,0/0,0,0,0,,0,0,0,,1,14,0,2,,0,0,0,,2.4
Lee Smith,,Den,W 21-14,,0/0,0,0,0,,0,0,0,,1,12,0,1,,0,0,0,,2.2
Maxx Williams,,Hou,W 23-16,,0/0,0,0,0,,0,0,0,,1,12,0,1,,0,0,0,,2.2
Marcedes Lewis,,@Ari,L 24-27,,0/0,0,0,0,,0,0,0,,1,10,0,2,,0,0,0,,2
Greg Olsen,,@NYJ,W 35-27,,0/0,0,0,0,,0,0,0,,1,10,0,4,,0,0,0,,2
Rhett Ellison,,@Wsh,L 10-20,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Nick Boyle,,Hou,W 23-16,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Gerald Everett,,NO,W 26-20,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Coby Fleener*,,@LAR,L 20-26,,0/0,0,0,0,,0,0,0,,1,8,0,2,,0,0,0,,1.8
