PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Alvin Kamara,,TB,W 30-10,,0/0,0,0,0,,10,68,1,,6,84,1,7,,0,1,0,,31.2
Corey Clement,,Den,W 51-23,,0/0,0,0,0,,12,51,2,,1,15,1,1,,0,0,0,,25.6
Matt Forte*,,Buf,W 34-21,,0/0,0,0,0,,14,77,2,,4,19,0,4,,0,0,0,,25.6
Todd Gurley II,,@NYG,W 51-17,,0/0,0,0,0,,16,59,2,,2,45,0,3,,0,0,0,,24.4
Carlos Hyde,,Ari,L 10-20,,0/0,0,0,0,,12,41,0,,9,84,0,11,,0,0,0,,21.5
Christian McCaffrey,,Atl,W 20-17,,0/0,0,0,0,,15,66,1,,5,28,0,6,,0,0,0,,20.4
Marshawn Lynch,,@Mia,W 27-24,,0/0,0,0,0,,14,57,2,,2,6,0,2,,0,0,0,,20.3
Javorius Allen,,@Ten,L 20-23,,0/0,0,0,0,,7,21,0,,7,44,1,8,,0,0,0,,19.5
Damien Williams*,,Oak,L 24-27,,0/0,0,0,0,,7,14,0,,6,47,1,6,,0,0,0,,18.1
Adrian Peterson*,,@SF,W 20-10,,0/0,0,0,0,,37,159,0,,2,8,0,4,,0,1,0,,16.7
Kenyan Drake,,Oak,L 24-27,,0/0,0,0,0,,9,69,0,,6,35,0,7,,1,1,0,,16.4
Ezekiel Elliott,,KC,W 28-17,,0/0,0,0,0,,27,93,1,,0,0,0,0,,0,0,0,,15.3
Rob Kelley*,,@Sea,W 17-14,,0/0,0,0,0,,14,18,2,,0,0,0,0,,0,0,0,,13.8
Jay Ajayi,,Den,W 51-23,,0/0,0,0,0,,8,77,1,,0,0,0,0,,0,0,0,,13.7
Joe Mixon,,@Jax,L 7-23,,0/0,0,0,0,,13,31,1,,3,15,0,4,,0,0,0,,13.6
Chris Ivory,,Cin,W 23-7,,0/0,0,0,0,,20,70,0,,3,34,0,4,,0,0,0,,13.4
Lamar Miller,,Ind,L 14-20,,0/0,0,0,0,,10,57,0,,3,34,0,4,,0,0,0,,12.1
Derrick Henry,,Bal,W 23-20,,0/0,0,0,0,,8,26,1,,2,10,0,2,,0,0,0,,11.6
Theo Riddick,,@GB,W 30-17,,0/0,0,0,0,,5,11,0,,4,62,0,4,,0,0,0,,11.3
Jamaal Williams,,Det,L 17-30,,0/0,0,0,0,,1,1,1,,2,31,0,2,,0,0,0,,11.2
Frank Gore,,@Hou,W 20-14,,0/0,0,0,0,,17,51,0,,3,26,0,4,,0,0,0,,10.7
Ameer Abdullah,,@GB,W 30-17,,0/0,0,0,0,,21,48,1,,1,9,0,1,,0,1,0,,10.7
Devonta Freeman,,@Car,L 17-20,,0/0,0,0,0,,11,46,0,,4,18,0,5,,0,0,0,,10.4
Kareem Hunt,,@Dal,L 17-28,,0/0,0,0,0,,9,37,0,,4,24,0,5,,0,0,0,,10.1
Orleans Darkwa,,LAR,L 17-51,,0/0,0,0,0,,16,71,0,,2,8,0,2,,0,0,0,,9.9
Tevin Coleman,,@Car,L 17-20,,0/0,0,0,0,,5,5,0,,1,19,1,2,,0,0,0,,9.4
Thomas Rawls,,Wsh,L 14-17,,0/0,0,0,0,,9,39,0,,2,31,0,2,,0,0,0,,9
Mark Ingram,,TB,W 30-10,,0/0,0,0,0,,16,77,0,,1,2,0,1,,0,0,0,,8.9
Charcandrick West*,,@Dal,L 17-28,,0/0,0,0,0,,1,3,0,,5,30,0,6,,0,0,0,,8.3
Bilal Powell,,Buf,W 34-21,,0/0,0,0,0,,9,74,0,,0,0,0,0,,0,0,0,,7.4
Peyton Barber,,@NO,L 10-30,,0/0,0,0,0,,11,34,0,,2,20,0,3,,0,0,0,,7.4
Chris Thompson*,,@Sea,W 17-14,,0/0,0,0,0,,4,20,0,,4,11,0,6,,0,0,0,,7.1
Jamaal Charles*,,@Phi,L 23-51,,0/0,0,0,0,,4,1,0,,4,23,0,4,,0,0,0,,6.4
DeMarco Murray*,,Bal,W 23-20,,0/0,0,0,0,,9,19,0,,2,22,0,2,,0,0,0,,6.1
Ty Montgomery*,,Det,L 17-30,,0/0,0,0,0,,5,33,0,,1,18,0,1,,0,0,0,,6.1
Malcolm Brown,,@NYG,W 51-17,,0/0,0,0,0,,15,57,0,,0,0,0,0,,0,0,0,,5.7
Alex Collins,,@Ten,L 20-23,,0/0,0,0,0,,13,43,0,,1,3,0,1,,0,0,0,,5.6
T.J. Yeldon,,Cin,W 23-7,,0/0,0,0,0,,11,41,0,,2,11,0,4,,0,1,0,,5.2
Devontae Booker,,@Phi,L 23-51,,0/0,0,0,0,,6,21,0,,2,9,0,3,,0,0,0,,5
Elijah McGuire,,Buf,W 34-21,,0/0,0,0,0,,13,30,0,,1,9,0,1,,0,0,0,,4.9
J.D. McKissic,,Wsh,L 14-17,,0/0,0,0,0,,3,12,0,,2,14,0,3,,0,0,0,,4.6
Mike Tolbert,,@NYJ,L 21-34,,0/0,0,0,0,,4,3,0,,3,13,0,3,,0,0,0,,4.6
Shane Vereen,,LAR,L 17-51,,0/0,0,0,0,,0,0,0,,3,14,0,4,,0,0,0,,4.4
Eddie Lacy,,Wsh,L 14-17,,0/0,0,0,0,,6,20,0,,1,14,0,1,,0,0,0,,4.4
Matt Breida,,Ari,L 10-20,,0/0,0,0,0,,1,1,0,,2,18,0,4,,0,0,0,,3.9
LeGarrette Blount,,Den,W 51-23,,0/0,0,0,0,,9,37,0,,0,0,0,0,,0,0,0,,3.7
D'Onta Foreman*,,Ind,L 14-20,,0/0,0,0,0,,11,37,0,,0,0,0,1,,0,0,0,,3.7
Andre Ellington,,Ind,L 14-20,,0/0,0,0,0,,0,0,0,,2,14,0,3,,0,0,0,,3.4
Charles Sims,,@NO,L 10-30,,0/0,0,0,0,,0,0,0,,2,11,0,2,,0,0,0,,3.1
Aaron Jones*,,Det,L 17-30,,0/0,0,0,0,,5,12,0,,2,-1,0,5,,0,0,0,,3.1
Marlon Mack,,@Hou,W 20-14,,0/0,0,0,0,,9,29,0,,0,0,0,0,,0,0,0,,2.9
LeSean McCoy,,@NYJ,L 21-34,,0/0,0,0,0,,12,25,0,,0,0,0,1,,0,0,0,,2.5
Wendell Smallwood,,Den,W 51-23,,0/0,0,0,0,,5,25,0,,0,0,0,0,,0,0,0,,2.5
DeAndre Washington,,@Mia,W 27-24,,0/0,0,0,0,,4,16,0,,1,-2,0,2,,0,0,0,,2.4
Wayne Gallman,,LAR,L 17-51,,0/0,0,0,0,,9,41,0,,0,0,0,1,,0,1,0,,2.1
Derrick Coleman,,@Car,L 17-20,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Aaron Ripkowski,,Det,L 17-30,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Corey Grant,,Cin,W 23-7,,0/0,0,0,0,,4,18,0,,0,0,0,0,,0,0,0,,1.8
Tommy Bohanon,,Cin,W 23-7,,0/0,0,0,0,,0,0,0,,1,6,0,1,,0,0,0,,1.6
Jalen Richard,,@Mia,W 27-24,,0/0,0,0,0,,5,14,0,,0,0,0,1,,0,0,0,,1.4
C.J. Anderson,,@Phi,L 23-51,,0/0,0,0,0,,9,13,0,,0,0,0,1,,0,0,0,,1.3
Alfred Morris,,KC,W 28-17,,0/0,0,0,0,,1,11,0,,0,0,0,0,,0,0,0,,1.1
Bobby Rainey Jr.,,@Ten,L 20-23,,0/0,0,0,0,,1,2,0,,1,-1,0,3,,0,0,0,,1.1
