PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Chris Boswell,,Min,W 26-9,,2/2,2/2,0/0,4/4,2/2,,16
Ryan Succop,,@Jax,W 37-16,,1/1,2/2,0/0,3/3,4/4,,15
Cody Parkey,,@LAC,W 19-17,,3/3,0/0,1/1,4/4,1/1,,15
Matt Bryant,,GB,W 34-23,,0/0,0/0,2/2,2/2,4/4,,14
Nick Folk*,,Chi,W 29-7,,1/1,1/1,1/1,3/3,2/3,,14
Stephen Gostkowski,,@NO,W 36-20,,3/3,0/0,0/0,3/3,3/4,,12
Phil Dawson,,@Ind,W 16-13,,2/2,1/2,0/0,3/4,1/1,,10
Robbie Gould,,@Sea,L 9-12,,2/2,1/1,0/0,3/3,0/0,,10
Chandler Catanzaro,,@Oak,L 20-45,,0/0,2/2,0/0,2/2,2/2,,10
Graham Gano,,Buf,W 9-3,,3/3,0/0,0/0,3/3,0/0,,9
Greg Zuerlein*,,Wsh,L 20-27,,1/1,1/1,0/0,2/2,2/2,,9
Randy Bullock,,Hou,L 9-13,,3/3,0/0,0/0,3/3,0/0,,9
Giorgio Tavecchio,,NYJ,W 45-20,,1/1,0/0,0/0,1/1,6/6,,9
Dustin Hopkins,,@LAR,W 27-20,,1/1,1/1,0/1,2/3,3/3,,9
Cairo Santos*,,@TB,L 7-29,,2/2,0/0,0/0,2/2,3/3,,9
Adam Vinatieri,,Ari,L 13-16,,1/1,1/1,0/0,2/2,1/1,,8
Matt Prater,,@NYG,W 24-10,,0/0,0/0,1/1,1/1,3/3,,8
Wil Lutz,,NE,L 20-36,,1/1,1/2,0/0,2/3,2/2,,8
Jake Elliott,,@KC,L 20-27,,1/2,1/1,0/0,2/3,2/2,,8
Ka'imi Fairbairn,,@Cin,W 13-9,,1/1,1/1,0/0,2/2,1/1,,8
Dan Bailey,,@Den,L 17-42,,0/0,0/0,1/1,1/1,2/2,,7
Blair Walsh,,SF,W 12-9,,2/2,0/0,0/0,2/2,0/1,,6
Mason Crosby,,@Atl,L 23-34,,1/1,0/0,0/0,1/1,2/2,,5
Justin Tucker,,Cle,W 24-10,,1/1,0/0,0/1,1/2,3/3,,5
Brandon McManus,,Dal,W 42-17,,0/0,0/1,0/0,0/1,6/6,,5
Jason Myers,,SF,W 12-9,,0/0,1/1,0/0,1/1,1/1,,5
Stephen Hauschka,,@Car,L 3-9,,0/0,1/1,0/0,1/1,0/0,,4
Kai Forbath,,@Pit,L 9-26,,0/0,1/1,0/0,1/1,0/1,,4
Aldrick Rosas,,Det,L 10-24,,1/1,0/0,0/0,1/1,1/1,,4
Zane Gonzalez,,@Bal,L 10-24,,1/1,0/0,0/0,1/1,1/1,,4
Younghoe Koo,,Mia,L 17-19,,0/0,1/3,0/0,1/3,2/2,,4
Connor Barth,,@TB,L 7-29,,0/0,0/0,0/0,0/0,1/1,,1
Sebastian Janikowski*,,NYJ,W 45-20,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,GB,W 34-23,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,@Bal,L 10-24,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,Det,L 10-24,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,NE,L 20-36,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,@TB,L 7-29,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,Mia,L 17-19,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,Min,W 26-9,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,Min,W 26-9,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@Car,L 3-9,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,Chi,W 29-7,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,@KC,L 20-27,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,Chi,W 29-7,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,Mia,L 17-19,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@NYG,W 24-10,,0/0,0/0,0/0,0/0,0/0,,0
Patrick Murray,,Chi,W 29-7,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@Jax,W 37-16,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,@Oak,L 20-45,,0/0,0/0,0/0,0/0,0/0,,0
Josh Lambo,,Ten,L 16-37,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@LAC,W 19-17,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@TB,L 7-29,,0/0,0/0,0/0,0/0,0/0,,0
Harrison Butker,,Phi,W 27-20,,0/0,0/0,0/0,0/0,0/0,,0
Nick Rose,,Mia,L 17-19,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,Wsh,L 20-27,,--/--,--/--,--/--,--/--,--/--,,--
