PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Greg Zuerlein*,,Hou,W 33-7,,3/3,0/0,1/1,4/4,3/3,,17
Nick Rose,,@Jax,L 17-20,,2/2,0/0,1/1,3/3,3/3,,14
Mason Crosby,,@Chi,W 23-16,,1/2,1/1,1/1,3/4,2/2,,13
Connor Barth,,GB,L 16-23,,0/0,3/3,0/0,3/3,1/1,,13
Wil Lutz,,@Buf,W 47-10,,1/1,0/0,1/1,2/2,5/6,,13
Matt Bryant,,Dal,W 27-7,,1/1,0/0,1/1,2/2,3/3,,11
Stephen Gostkowski,,@Den,W 41-16,,2/2,0/0,0/0,2/2,5/5,,11
Graham Gano,,Mia,W 45-21,,0/0,1/1,0/0,1/1,6/6,,10
Kai Forbath,,@Wsh,W 38-30,,0/0,0/0,1/1,1/1,5/5,,10
Brandon McManus,,NE,L 16-41,,3/3,0/0,0/0,3/3,1/1,,10
Patrick Murray,,NYJ,W 15-10,,2/2,1/1,0/0,3/3,0/0,,10
Matt Prater,,Cle,W 38-24,,0/0,1/1,0/0,1/1,5/5,,9
Blair Walsh,,@Ari,W 22-16,,1/1,1/1,0/0,2/2,2/2,,9
Robbie Gould,,NYG,W 31-21,,0/0,1/1,0/0,1/1,4/4,,8
Aldrick Rosas,,@SF,L 21-31,,0/1,2/2,0/0,2/3,1/1,,8
Nick Novak*,,@Jax,L 17-20,,0/0,0/0,1/1,1/1,2/2,,7
Adam Vinatieri,,Pit,L 17-20,,0/0,1/1,0/0,1/1,2/2,,6
Ryan Succop,,Cin,W 24-20,,0/0,1/2,0/0,1/2,3/3,,6
Chris Boswell,,@Ind,W 20-17,,1/2,1/1,0/0,2/3,0/1,,6
Josh Lambo,,LAC,W 20-17,,2/2,0/0,0/0,2/2,0/1,,6
Zane Gonzalez,,@Det,L 24-38,,1/1,0/0,0/0,1/1,3/3,,6
Phil Dawson,,Sea,L 16-22,,0/0,1/1,0/0,1/1,1/2,,5
Chandler Catanzaro,,@TB,L 10-15,,0/0,1/1,0/0,1/1,1/1,,5
Stephen Hauschka,,NO,L 10-47,,1/1,0/0,0/0,1/1,1/1,,4
Cody Parkey,,@Car,L 21-45,,0/0,0/0,0/0,0/0,3/3,,3
Randy Bullock,,@Ten,L 20-24,,0/0,0/0,0/0,0/0,2/3,,2
Shayne Graham,,Dal,W 27-7,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,@Det,L 24-38,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,@SF,L 21-31,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,@Buf,W 47-10,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,GB,L 16-23,,0/1,0/0,0/0,0/1,1/1,,0
Shaun Suisham,,@Ind,W 20-17,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,NYJ,W 15-10,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,@Ind,W 20-17,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,NO,L 10-47,,0/0,0/0,0/0,0/0,0/0,,0
Dan Bailey,,@Atl,L 7-27,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,NYJ,W 15-10,,0/0,0/0,0/0,0/0,0/0,,0
Dustin Hopkins,,Min,L 30-38,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,NYJ,W 15-10,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,@Jax,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,Cle,W 38-24,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,Cin,W 24-20,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,@Ari,W 22-16,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,@TB,L 10-15,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@Car,L 21-45,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,GB,L 16-23,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,@Jax,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Ka'imi Fairbairn,,@LAR,L 7-33,,0/1,0/0,0/0,0/1,1/1,,0
Sebastian Janikowski*,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Giorgio Tavecchio,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Justin Tucker,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Caleb Sturgis*,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Cairo Santos*,,GB,L 16-23,,--/--,--/--,--/--,--/--,--/--,,--
Jake Elliott,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Harrison Butker,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,Hou,W 33-7,,--/--,--/--,--/--,--/--,--/--,,--
