PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Falcons ,,** BYE **,,--,--,--,--,--,--,--,,--
Bills ,,** BYE **,,--,--,--,--,--,--,--,,--
Bears ,,** BYE **,,--,--,--,--,--,--,--,,--
Bengals ,,** BYE **,,--,--,--,--,--,--,--,,--
Browns ,,** BYE **,,--,--,--,--,--,--,--,,--
Cowboys ,,** BYE **,,--,--,--,--,--,--,--,,--
Broncos ,,** BYE **,,--,--,--,--,--,--,--,,--
Lions ,,** BYE **,,--,--,--,--,--,--,--,,--
Packers ,,** BYE **,,--,--,--,--,--,--,--,,--
Titans ,,** BYE **,,--,--,--,--,--,--,--,,--
Colts ,,** BYE **,,--,--,--,--,--,--,--,,--
Chiefs ,,** BYE **,,--,--,--,--,--,--,--,,--
Raiders ,,** BYE **,,--,--,--,--,--,--,--,,--
Rams ,,** BYE **,,--,--,--,--,--,--,--,,--
Dolphins ,,** BYE **,,--,--,--,--,--,--,--,,--
Vikings ,,** BYE **,,--,--,--,--,--,--,--,,--
Patriots ,,** BYE **,,--,--,--,--,--,--,--,,--
Saints ,,** BYE **,,--,--,--,--,--,--,--,,--
Giants ,,** BYE **,,--,--,--,--,--,--,--,,--
Jets ,,** BYE **,,--,--,--,--,--,--,--,,--
Eagles ,,** BYE **,,--,--,--,--,--,--,--,,--
Cardinals ,,** BYE **,,--,--,--,--,--,--,--,,--
Steelers ,,** BYE **,,--,--,--,--,--,--,--,,--
Chargers ,,** BYE **,,--,--,--,--,--,--,--,,--
49ers ,,** BYE **,,--,--,--,--,--,--,--,,--
Seahawks ,,** BYE **,,--,--,--,--,--,--,--,,--
Buccaneers ,,** BYE **,,--,--,--,--,--,--,--,,--
Redskins ,,** BYE **,,--,--,--,--,--,--,--,,--
Panthers ,,** BYE **,,--,--,--,--,--,--,--,,--
Jaguars ,,** BYE **,,--,--,--,--,--,--,--,,--
Ravens ,,** BYE **,,--,--,--,--,--,--,--,,--
Texans ,,** BYE **,,--,--,--,--,--,--,--,,--
