PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Ryan Succop,,Ind,W 36-22,,2/2,3/3,0/0,5/5,3/3,,21
Kai Forbath,,GB,W 23-10,,2/2,0/0,1/1,3/3,2/2,,13
Aldrick Rosas,,@Den,W 23-10,,1/1,1/2,1/1,3/4,2/2,,13
Adam Vinatieri,,@Ten,L 22-36,,2/2,0/0,1/1,3/3,1/2,,12
Graham Gano,,Phi,L 23-28,,2/2,1/1,0/0,3/3,2/2,,12
Justin Tucker,,Chi,L 24-27,,2/2,0/0,1/1,3/3,1/1,,12
Greg Zuerlein*,,@Jax,W 27-17,,1/1,0/0,1/1,2/2,3/3,,11
Wil Lutz,,Det,W 52-38,,0/0,1/1,0/0,1/1,7/7,,11
Jake Elliott,,@Car,W 28-23,,0/0,1/1,1/1,2/2,2/2,,11
Connor Barth,,@Bal,W 27-24,,1/1,1/1,0/0,2/2,3/3,,10
Dustin Hopkins,,SF,W 26-24,,1/1,1/1,0/0,2/2,2/3,,9
Cody Parkey,,@Atl,W 20-17,,1/1,1/1,0/0,2/2,2/2,,9
Phil Dawson,,TB,W 38-33,,1/1,0/0,0/0,1/1,5/5,,8
Matt Prater,,@NO,L 38-52,,0/0,1/1,0/1,1/2,5/5,,8
Harrison Butker,,Pit,L 13-19,,1/1,1/1,0/0,2/2,1/1,,8
Robbie Gould,,@Wsh,L 24-26,,0/0,0/1,1/1,1/2,3/3,,7
Matt Bryant,,Mia,L 17-20,,0/0,0/0,1/2,1/2,2/2,,6
Zane Gonzalez,,@Hou,L 17-33,,0/0,1/1,0/0,1/1,2/2,,6
Ka'imi Fairbairn,,Cle,W 33-17,,0/0,1/1,0/0,1/1,2/3,,6
Stephen Gostkowski,,@NYJ,W 24-17,,1/1,0/1,0/0,1/2,3/3,,5
Giorgio Tavecchio,,LAC,L 16-17,,0/0,1/1,0/0,1/1,1/2,,5
Chandler Catanzaro,,NE,L 17-24,,1/1,0/0,0/0,1/1,2/2,,5
Chris Boswell,,@KC,W 19-13,,1/1,0/0,0/0,1/1,2/2,,5
Nick Novak*,,@Oak,W 17-16,,1/1,0/1,0/0,1/2,2/2,,4
Mason Crosby,,@Min,L 10-23,,1/1,0/0,0/0,1/1,1/1,,4
Jason Myers,,** BYE **,,0/0,1/1,0/2,1/3,2/2,,4
Brandon McManus,,NYG,L 10-23,,1/2,0/0,0/1,1/3,1/1,,2
Patrick Murray,,@Ari,L 33-38,,0/0,0/0,0/0,0/0,1/1,,1
Sebastian Janikowski*,,LAC,L 16-17,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,Mia,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,@Hou,L 17-33,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,@Den,W 23-10,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,Det,W 52-38,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,@Bal,W 27-24,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,@KC,W 19-13,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,@Ari,L 33-38,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,@KC,W 19-13,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,@Ari,L 33-38,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,@Car,W 28-23,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,@Ari,L 33-38,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,@Oak,W 17-16,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,@Bal,W 27-24,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@NO,L 38-52,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,Ind,W 36-22,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,NE,L 17-24,,0/0,0/0,0/0,0/0,0/0,,0
Josh Lambo,,LAR,L 17-27,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@Atl,W 20-17,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@Bal,W 27-24,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,@Oak,W 17-16,,0/0,0/0,0/0,0/0,0/0,,0
Nick Rose,,@Oak,W 17-16,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Stephen Hauschka,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Dan Bailey,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Blair Walsh,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Randy Bullock,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,@Jax,W 27-17,,--/--,--/--,--/--,--/--,--/--,,--
