PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Tom Brady,,Hou,W 36-33,,25/35,378,5,0,,1,6,0,,0,0,0,0,,1,1,0,,35.7
Russell Wilson,,@Ten,L 27-33,,29/49,373,4,0,,7,26,0,,0,0,0,0,,0,0,0,,33.5
Case Keenum,,TB,W 34-17,,25/33,369,3,0,,6,18,0,,0,0,0,0,,0,0,0,,28.6
Jacoby Brissett,,Cle,W 31-28,,17/24,259,1,0,,5,14,2,,0,0,0,0,,0,0,0,,27.8
Blake Bortles,,Bal,W 44-7,,20/31,244,4,0,,3,18,0,,0,0,0,0,,0,0,0,,27.6
Kirk Cousins,,Oak,W 27-10,,25/30,365,3,0,,1,2,0,,0,0,0,0,,0,0,0,,26.8
Brian Hoyer,,Hou,W 36-33,,23/37,332,2,1,,1,9,1,,0,0,0,0,,0,0,0,,26.2
Aaron Rodgers*,,Cin,W 27-24,,28/42,313,3,1,,4,23,0,,0,0,0,0,,0,0,0,,24.8
Jared Goff,,@SF,W 41-39,,22/28,292,3,0,,1,-1,0,,0,0,0,0,,0,0,0,,23.6
Dak Prescott,,@Ari,W 28-17,,13/18,183,2,0,,3,16,1,,0,0,0,0,,0,0,0,,22.9
Eli Manning,,@Phi,L 24-27,,35/47,366,3,2,,0,0,0,,0,0,0,0,,0,0,0,,22.6
DeShone Kizer,,@Ind,L 28-31,,22/47,242,2,3,,7,44,1,,0,0,0,0,,0,0,0,,22.1
Carson Palmer,,Dal,L 17-28,,29/48,325,2,0,,3,7,0,,0,0,0,0,,0,0,0,,21.7
Drew Brees,,@Car,W 34-13,,22/29,220,3,0,,0,0,0,,0,0,0,0,,0,0,0,,20.8
Deshaun Watson*,,@NE,L 33-36,,22/33,301,2,2,,8,41,0,,0,0,0,0,,0,0,0,,20.1
Marcus Mariota,,Sea,W 33-27,,20/32,225,2,0,,7,27,0,,0,0,0,0,,0,0,0,,19.7
Tyrod Taylor,,Den,W 26-16,,20/26,213,2,0,,8,13,0,,0,0,0,0,,0,0,0,,17.8
Matthew Stafford,,Atl,L 26-30,,25/45,264,1,0,,2,19,0,,0,0,0,0,,0,0,0,,16.5
Andy Dalton,,@GB,L 24-27,,21/27,212,2,0,,2,-2,0,,0,0,0,0,,0,0,0,,16.3
Jameis Winston,,@Min,L 17-34,,28/40,328,2,3,,1,4,0,,0,0,0,0,,0,0,0,,15.5
Alex Smith,,@LAC,W 24-10,,16/21,155,2,0,,2,9,0,,0,0,0,0,,0,0,0,,15.1
Josh McCown*,,Mia,W 20-6,,18/23,249,1,0,,4,7,0,,0,0,0,0,,0,0,0,,14.7
Matt Ryan,,@Det,W 30-26,,24/35,294,2,3,,1,-1,0,,0,0,0,0,,0,0,0,,13.7
Carson Wentz*,,NYG,W 27-24,,21/31,176,1,0,,6,22,0,,0,0,0,0,,0,0,0,,13.2
Ben Roethlisberger,,@Chi,L 17-23,,22/39,235,1,0,,1,6,0,,0,0,0,0,,0,1,0,,12
Jay Cutler,,@NYJ,L 6-20,,26/44,220,1,1,,1,9,0,,0,0,0,0,,0,0,0,,11.7
Cam Newton,,NO,L 13-34,,17/26,167,0,3,,3,16,1,,0,0,0,0,,0,0,0,,8.3
Trevor Siemian*,,@Buf,L 16-26,,24/40,259,0,2,,3,12,0,,0,0,0,0,,0,0,0,,7.6
Mike Glennon,,Pit,W 23-17,,15/22,101,1,1,,3,4,0,,0,0,0,0,,0,0,0,,6.4
Ryan Mallett,,@Jax,L 7-44,,6/9,36,1,0,,0,0,0,,0,0,0,0,,0,0,0,,5.4
Derek Carr,,@Wsh,L 10-27,,19/31,118,1,2,,2,5,0,,0,0,0,0,,0,0,0,,5.2
Philip Rivers,,KC,L 10-24,,20/40,237,0,3,,0,0,0,,0,0,0,0,,0,0,0,,3.5
Derek Anderson,,NO,L 13-34,,2/7,17,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0.7
Mike Vick,,@Chi,L 17-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Shaun Hill,,TB,W 34-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tony Romo,,@Ari,W 28-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Schaub,,@Det,W 30-26,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Luke McCown,,@Ari,W 28-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Dan Orlovsky,,@SF,W 41-39,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Cassel,,Sea,W 33-27,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ryan Fitzpatrick,,@Min,L 17-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kellen Clemens,,KC,L 10-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tarvaris Jackson,,@Ten,L 27-33,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Charlie Whitehurst,,@Ind,L 28-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Bruce Gradkowski,,@Chi,L 17-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Drew Stanton,,Dal,L 17-28,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Moore*,,@NYJ,L 6-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Josh Johnson,,@NE,L 33-36,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Flynn,,@Car,W 34-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Chase Daniel,,@Car,W 34-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Josh Freeman,,Cle,W 31-28,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Mark Sanchez,,Pit,W 23-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Sam Bradford*,,TB,W 34-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jimmy Clausen,,@Jax,L 7-44,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Colt McCoy,,Oak,W 27-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Dan LeFevour,,@Min,L 17-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Joe Webb,,Den,W 26-16,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Thaddeus Lewis,,@Jax,L 7-44,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Christian Ponder,,LAR,L 39-41,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
