PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Alvin Kamara,,Wsh,W 34-31,,0/0,0,0,0,,8,42,0,,6,74,1,9,,1,0,0,,25.6
LeSean McCoy,,@LAC,L 24-54,,0/0,0,0,0,,13,114,1,,1,12,1,1,,0,0,0,,25.6
Mark Ingram,,Wsh,W 34-31,,0/0,0,0,0,,11,134,1,,3,21,0,4,,0,0,0,,24.5
D'Onta Foreman*,,Ari,W 31-21,,0/0,0,0,0,,10,65,2,,3,15,0,3,,0,0,0,,23
Latavius Murray,,LAR,W 24-7,,0/0,0,0,0,,15,95,2,,1,1,0,2,,0,0,0,,22.6
Samaje Perine,,@NO,L 31-34,,0/0,0,0,0,,23,117,1,,1,9,0,2,,0,0,0,,19.6
Le'Veon Bell*,,Ten,W 40-17,,0/0,0,0,0,,12,46,0,,9,57,0,11,,0,0,0,,19.3
Dion Lewis,,@Oak,W 33-8,,0/0,0,0,0,,10,60,0,,4,28,1,4,,0,0,0,,18.8
Jordan Howard,,Det,L 24-27,,0/0,0,0,0,,15,125,1,,0,0,0,0,,0,0,0,,18.5
Lamar Miller,,Ari,W 31-21,,0/0,0,0,0,,22,61,0,,4,22,1,5,,0,0,0,,18.3
Alex Collins,,@GB,W 23-0,,0/0,0,0,0,,20,49,1,,4,22,0,7,,0,0,0,,17.1
Orleans Darkwa,,KC,W 12-9,,0/0,0,0,0,,20,74,1,,2,16,0,4,,0,0,0,,17
Duke Johnson Jr.,,Jax,L 7-19,,0/0,0,0,0,,2,10,0,,4,56,1,6,,0,0,0,,16.6
Tarik Cohen,,Det,L 24-27,,0/0,0,0,0,,9,44,1,,4,15,0,6,,0,0,0,,15.9
Devontae Booker,,Cin,L 17-20,,0/0,0,0,0,,14,44,0,,5,54,0,6,,0,0,0,,14.8
Todd Gurley II,,@Min,L 7-24,,0/0,0,0,0,,15,37,1,,3,19,0,4,,0,0,0,,14.6
Melvin Gordon,,Buf,W 54-24,,0/0,0,0,0,,20,80,1,,0,0,0,2,,0,0,0,,14
Leonard Fournette,,@Cle,W 19-7,,0/0,0,0,0,,28,111,0,,2,7,0,3,,0,0,0,,13.8
Austin Ekeler,,Buf,W 54-24,,0/0,0,0,0,,6,40,1,,2,18,0,2,,0,0,0,,13.8
Jamaal Williams,,Bal,L 0-23,,0/0,0,0,0,,18,57,0,,4,38,0,6,,0,0,0,,13.5
Corey Clement,,@Dal,W 37-9,,0/0,0,0,0,,6,50,1,,0,0,0,0,,1,0,0,,13
Tevin Coleman,,@Sea,W 34-31,,0/0,0,0,0,,20,43,1,,1,15,0,2,,0,0,0,,12.8
Travaris Cadet*,,@LAC,L 24-54,,0/0,0,0,0,,3,17,0,,6,39,0,6,,0,0,0,,11.6
C.J. Anderson,,Cin,L 17-20,,0/0,0,0,0,,13,37,1,,2,19,0,3,,0,1,0,,11.6
Ameer Abdullah,,@Chi,W 27-24,,0/0,0,0,0,,11,22,0,,2,13,1,2,,0,0,0,,11.5
Damien Williams*,,TB,L 20-30,,0/0,0,0,0,,10,78,0,,1,24,0,2,,0,0,0,,11.2
Jay Ajayi,,@Dal,W 37-9,,0/0,0,0,0,,7,91,0,,1,10,0,1,,0,0,0,,11.1
Jerick McKinnon,,LAR,W 24-7,,0/0,0,0,0,,14,48,0,,5,12,0,7,,0,0,0,,11
Kareem Hunt,,@NYG,L 9-12,,0/0,0,0,0,,18,73,0,,3,4,0,4,,0,0,0,,10.7
Chris Thompson*,,@NO,L 31-34,,0/0,0,0,0,,4,17,0,,1,16,1,1,,0,0,0,,10.3
J.D. McKissic,,Atl,L 31-34,,0/0,0,0,0,,7,30,0,,5,23,0,6,,0,0,0,,10.3
DeMarco Murray*,,@Pit,L 17-40,,0/0,0,0,0,,8,10,0,,5,37,0,6,,0,0,0,,9.7
Kenjon Barner,,@Dal,W 37-9,,0/0,0,0,0,,1,4,1,,1,22,0,1,,0,0,0,,9.6
Alfred Morris,,Phi,L 9-37,,0/0,0,0,0,,17,91,0,,0,0,0,0,,0,0,0,,9.1
Marshawn Lynch,,NE,L 8-33,,0/0,0,0,0,,11,67,0,,1,10,0,1,,0,0,0,,8.7
Mike Davis,,Atl,L 31-34,,0/0,0,0,0,,6,18,0,,2,41,0,2,,0,0,0,,7.9
Rex Burkhead*,,@Oak,W 33-8,,0/0,0,0,0,,5,16,0,,4,21,0,6,,0,0,0,,7.7
Danny Woodhead,,@GB,W 23-0,,0/0,0,0,0,,1,2,0,,5,21,0,6,,0,0,0,,7.3
Joe Mixon,,@Den,W 20-17,,0/0,0,0,0,,20,49,0,,2,0,0,2,,0,0,0,,6.9
Doug Martin,,@Mia,W 30-20,,0/0,0,0,0,,19,38,0,,2,6,0,3,,0,0,0,,6.4
Charcandrick West*,,@NYG,L 9-12,,0/0,0,0,0,,4,15,0,,4,9,0,4,,0,0,0,,6.4
Charles Sims,,@Mia,W 30-20,,0/0,0,0,0,,1,3,0,,3,25,0,5,,0,0,0,,5.8
LeGarrette Blount,,@Dal,W 37-9,,0/0,0,0,0,,13,57,0,,0,0,0,0,,0,0,0,,5.7
Terron Ward,,@Sea,W 34-31,,0/0,0,0,0,,6,31,0,,1,11,0,1,,0,0,0,,5.2
Adrian Peterson*,,@Hou,L 21-31,,0/0,0,0,0,,14,26,0,,1,13,0,1,,0,0,0,,4.9
Theo Riddick,,@Chi,W 27-24,,0/0,0,0,0,,9,35,0,,1,4,0,2,,0,0,0,,4.9
Jalen Richard,,NE,L 8-33,,0/0,0,0,0,,4,19,0,,2,9,0,3,,0,0,0,,4.8
D.J. Foster,,@Hou,L 21-31,,0/0,0,0,0,,0,0,0,,2,26,0,2,,0,0,0,,4.6
Jamize Olawale,,NE,L 8-33,,0/0,0,0,0,,3,16,0,,2,6,0,2,,0,0,0,,4.2
DeAndre Washington,,NE,L 8-33,,0/0,0,0,0,,3,7,0,,2,12,0,3,,0,0,0,,3.9
Shane Vereen,,KC,W 12-9,,0/1,0,0,1,,2,13,0,,3,15,0,3,,0,0,0,,3.8
Derrick Henry,,@Pit,L 17-40,,0/0,0,0,0,,7,32,0,,0,0,0,0,,0,0,0,,3.2
Wayne Gallman,,KC,W 12-9,,0/0,0,0,0,,6,19,0,,1,3,0,4,,0,0,0,,3.2
Peyton Barber,,@Mia,W 30-20,,0/0,0,0,0,,0,0,0,,2,11,0,2,,0,0,0,,3.1
T.J. Yeldon,,@Cle,W 19-7,,0/0,0,0,0,,5,15,0,,1,5,0,2,,0,0,0,,3
Kerwynn Williams,,@Hou,L 21-31,,0/0,0,0,0,,1,9,0,,1,9,0,2,,0,0,0,,2.8
Benny Cunningham,,Det,L 24-27,,0/0,0,0,0,,0,0,0,,1,18,0,2,,0,0,0,,2.8
Javorius Allen,,@GB,W 23-0,,0/0,0,0,0,,3,8,0,,1,9,0,1,,0,0,0,,2.7
Kenyan Drake,,TB,L 20-30,,0/0,0,0,0,,7,4,0,,1,10,0,3,,0,0,0,,2.4
Anthony Sherman,,@NYG,L 9-12,,0/0,0,0,0,,0,0,0,,1,11,0,1,,0,0,0,,2.1
Isaiah Crowell,,Jax,L 7-19,,0/0,0,0,0,,11,18,0,,0,0,0,0,,0,0,0,,1.8
Derek Watt,,Buf,W 54-24,,0/0,0,0,0,,2,17,0,,0,0,0,0,,0,0,0,,1.7
Aaron Ripkowski,,Bal,L 0-23,,0/0,0,0,0,,0,0,0,,1,6,0,1,,0,0,0,,1.6
Matthew Dayes,,Jax,L 7-19,,0/0,0,0,0,,0,0,0,,1,5,0,2,,0,0,0,,1.5
Giovani Bernard,,@Den,W 20-17,,0/0,0,0,0,,3,-4,0,,1,8,0,2,,0,0,0,,1.4
James White*,,@Oak,W 33-8,,0/0,0,0,0,,5,13,0,,0,0,0,1,,0,0,0,,1.3
James Conner*,,Ten,W 40-17,,0/0,0,0,0,,5,12,0,,0,0,0,0,,0,0,0,,1.2
Rod Smith*,,Phi,L 9-37,,0/0,0,0,0,,8,11,0,,0,0,0,0,,0,0,0,,1.1
C.J. Ham,,LAR,W 24-7,,0/0,0,0,0,,3,8,0,,0,0,0,0,,0,0,0,,0.8
Jamaal Charles*,,Cin,L 17-20,,0/0,0,0,0,,3,7,0,,0,0,0,0,,0,0,0,,0.7
Chris Ivory,,@Cle,W 19-7,,0/0,0,0,0,,6,6,0,,0,0,0,0,,0,0,0,,0.6
Jacquizz Rodgers,,@Mia,W 30-20,,0/0,0,0,0,,1,3,0,,0,0,0,0,,0,0,0,,0.3
Tommy Bohanon,,@Cle,W 19-7,,0/0,0,0,0,,1,3,0,,0,0,0,0,,0,0,0,,0.3
Akeem Hunt*,,@NYG,L 9-12,,0/0,0,0,0,,1,3,0,,0,0,0,0,,0,0,0,,0.3
Eddie Lacy,,Atl,L 31-34,,0/0,0,0,0,,3,2,0,,0,0,0,0,,0,0,0,,0.2
Zach Line,,Wsh,W 34-31,,0/0,0,0,0,,1,2,0,,0,0,0,0,,0,0,0,,0.2
Andre Williams*,,Buf,W 54-24,,0/0,0,0,0,,2,2,0,,0,0,0,0,,0,0,0,,0.2
Byron Marshall*,,@NO,L 31-34,,0/0,0,0,0,,1,2,0,,0,0,0,0,,0,0,0,,0.2
Steven Jackson,,@Oak,W 33-8,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Darren Sproles*,,@Dal,W 37-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
John Kuhn*,,Wsh,W 34-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Reggie Bush,,@LAC,L 24-54,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
DeAngelo Williams,,Ten,W 40-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Fred Jackson,,Atl,L 31-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Pierre Thomas,,@NO,L 31-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Darren McFadden,,Phi,L 9-37,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Chris Johnson,,@Hou,L 21-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jerome Felton,,@LAC,L 24-54,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Justin Forsett,,Cin,L 17-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Mike Tolbert,,@LAC,L 24-54,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Marcel Reece,,Atl,L 31-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Donald Brown,,@Oak,W 33-8,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
