PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Harrison Butker,,@Hou,W 42-34,,2/2,3/3,0/0,5/5,3/3,,21
Adam Vinatieri,,SF,W 26-23,,2/2,0/0,2/2,4/4,2/2,,18
Stephen Gostkowski,,@TB,W 19-14,,2/2,2/2,0/0,4/4,1/1,,15
Robbie Gould,,@Ind,L 23-26,,1/1,2/2,0/0,3/3,2/2,,13
Justin Tucker,,@Oak,W 30-17,,2/2,1/1,0/0,3/3,3/3,,13
Blair Walsh,,@LAR,W 16-10,,1/1,2/2,0/0,3/3,1/1,,12
Stephen Hauschka,,@Cin,L 16-20,,3/3,0/0,0/0,3/3,1/1,,10
Jake Elliott,,Ari,W 34-7,,2/2,0/0,0/0,2/2,4/4,,10
Nick Novak*,,@NYG,W 27-22,,2/2,0/0,0/0,2/2,3/3,,9
Graham Gano,,@Det,W 27-24,,1/1,1/1,0/1,2/3,3/3,,9
Chris Boswell,,Jax,L 9-30,,3/3,0/0,0/0,3/3,0/0,,9
Dan Bailey,,GB,L 31-35,,0/0,1/1,0/0,1/1,4/4,,8
Kai Forbath,,@Chi,W 20-17,,2/2,0/0,0/0,2/2,2/2,,8
Randy Bullock,,Buf,W 20-16,,2/2,0/0,0/0,2/2,2/2,,8
Chandler Catanzaro,,@Cle,W 17-14,,0/0,0/0,1/1,1/1,2/2,,7
Jason Myers,,@LAR,W 16-10,,0/0,1/1,0/0,1/1,3/4,,7
Matt Prater,,Car,L 24-27,,1/1,0/0,0/0,1/1,3/3,,6
Mason Crosby,,@Dal,W 35-31,,1/1,0/0,0/0,1/1,2/4,,5
Ryan Succop,,@Mia,L 10-16,,0/0,1/1,0/0,1/1,1/1,,5
Giorgio Tavecchio,,Bal,L 17-30,,1/1,0/0,0/0,1/1,2/2,,5
Cody Parkey,,Ten,W 16-10,,0/0,1/1,0/0,1/1,1/2,,5
Greg Zuerlein*,,Sea,L 10-16,,1/2,0/0,0/0,1/2,1/1,,3
Aldrick Rosas,,LAC,L 22-27,,0/0,0/0,0/0,0/0,2/2,,2
Ka'imi Fairbairn,,KC,L 34-42,,0/0,0/0,0/0,0/0,2/2,,2
Connor Barth,,Min,L 17-20,,0/0,0/0,0/0,0/0,1/1,,1
Phil Dawson,,@Phi,L 7-34,,0/0,0/0,0/1,0/1,1/1,,0
Sebastian Janikowski*,,Bal,L 17-30,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,NYJ,L 14-17,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,LAC,L 22-27,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,Min,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,Jax,L 9-30,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,Jax,L 9-30,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@Cin,L 16-20,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,NE,L 14-19,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,Ari,W 34-7,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,NE,L 14-19,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,@NYG,W 27-22,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,Min,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,Car,L 24-27,,0/0,0/0,0/0,0/0,0/0,,0
Patrick Murray,,NE,L 14-19,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@Mia,L 10-16,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,@Cle,W 17-14,,0/0,0/0,0/0,0/0,0/0,,0
Josh Lambo,,@Pit,W 30-9,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,Ten,W 16-10,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,Min,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Zane Gonzalez,,NYJ,L 14-17,,0/1,0/0,0/1,0/2,2/2,,0
Younghoe Koo,,@NYG,W 27-22,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,NE,L 14-19,,0/1,0/1,0/1,0/3,2/2,,-1
Shayne Graham,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Matt Bryant,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Josh Scobee,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Dustin Hopkins,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Brandon McManus,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Wil Lutz,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Nick Rose,,@NYG,W 27-22,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,Sea,L 10-16,,--/--,--/--,--/--,--/--,--/--,,--
