PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Rob Gronkowski,,@Pit,W 27-24,,0/0,0,0,0,,0,0,0,,9,168,0,13,,1,0,0,,27.8
Greg Olsen,,GB,W 31-24,,0/0,0,0,0,,0,0,0,,9,116,1,12,,0,0,0,,26.6
Evan Engram*,,Phi,L 29-34,,0/0,0,0,0,,1,14,0,,8,87,0,13,,0,0,0,,18.1
Richard Rodgers*,,@Car,L 24-31,,0/0,0,0,0,,0,0,0,,4,77,1,4,,0,0,0,,17.7
Zach Ertz,,@NYG,W 34-29,,0/0,0,0,0,,0,0,0,,6,56,1,9,,0,0,0,,17.6
Benjamin Watson,,@Cle,W 27-10,,0/0,0,0,0,,0,0,0,,4,74,1,4,,0,0,0,,17.4
Garrett Celek,,Ten,W 25-23,,0/0,0,0,0,,0,0,0,,3,63,1,3,,0,0,0,,15.3
Eric Ebron,,Chi,W 20-10,,0/0,0,0,0,,0,0,0,,5,33,1,7,,0,0,0,,14.3
Delanie Walker,,@SF,L 23-25,,0/0,0,0,0,,0,0,0,,5,37,1,10,,0,1,0,,12.7
Jeff Heuerman,,@Ind,W 25-13,,0/0,0,0,0,,0,0,0,,1,54,1,1,,0,0,0,,12.4
Charles Clay,,Mia,W 24-16,,0/0,0,0,0,,0,0,0,,5,68,0,9,,0,0,0,,11.8
Jack Doyle,,Den,L 13-25,,0/0,0,0,0,,0,0,0,,7,47,0,8,,0,0,0,,11.7
Travis Kelce,,LAC,W 30-13,,0/0,0,0,0,,0,0,0,,6,46,0,7,,0,0,0,,10.6
O.J. Howard*,,Atl,L 21-24,,0/0,0,0,0,,0,0,0,,1,30,1,1,,0,0,0,,10
Kyle Rudolph,,Cin,W 34-7,,0/0,0,0,0,,0,0,0,,2,17,1,2,,0,0,0,,9.7
Luke Willson,,LAR,L 7-42,,0/0,0,0,0,,0,0,0,,1,26,1,2,,0,0,0,,9.6
Trey Burton,,@NYG,W 34-29,,0/0,0,0,0,,0,0,0,,2,15,1,2,,0,0,0,,9.5
George Kittle,,Ten,W 25-23,,0/0,0,0,0,,0,0,0,,4,52,0,5,,0,0,0,,9.2
Cameron Brate,,Atl,L 21-24,,0/0,0,0,0,,0,0,0,,4,49,0,5,,0,0,0,,8.9
Jason Witten,,@Oak,W 20-17,,0/0,0,0,0,,0,0,0,,4,47,0,5,,0,0,0,,8.7
Antonio Gates,,@KC,L 13-30,,0/0,0,0,0,,0,0,0,,1,10,1,3,,0,0,0,,8
Troy Niklas,,@Wsh,L 15-20,,0/0,0,0,0,,0,0,0,,3,41,0,6,,0,0,0,,7.1
C.J. Uzomah,,@Min,L 7-34,,0/0,0,0,0,,0,0,0,,4,24,0,4,,0,0,0,,6.4
Daniel Brown,,@Det,L 10-20,,0/0,0,0,0,,0,0,0,,3,32,0,4,,0,0,0,,6.2
Levine Toilolo*,,@TB,W 24-21,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,6
Hunter Henry*,,@KC,L 13-30,,0/0,0,0,0,,0,0,0,,3,28,0,3,,0,0,0,,5.8
Nick O'Leary,,Mia,W 24-16,,0/0,0,0,0,,0,0,0,,2,33,0,2,,0,0,0,,5.3
Ross Travis,,Den,L 13-25,,0/0,0,0,0,,0,0,0,,2,33,0,2,,0,0,0,,5.3
Seth DeValve,,Bal,L 10-27,,0/0,0,0,0,,0,0,0,,2,32,0,4,,0,0,0,,5.2
James Hanna,,@Oak,W 20-17,,0/0,0,0,0,,0,0,0,,1,31,0,1,,0,0,0,,4.1
Marcedes Lewis,,Hou,W 45-7,,0/0,0,0,0,,0,0,0,,2,18,0,2,,0,0,0,,3.8
Jared Cook,,Dal,L 17-20,,0/0,0,0,0,,0,0,0,,2,17,0,4,,0,0,0,,3.7
Anthony Fasano,,@Buf,L 16-24,,0/0,0,0,0,,0,0,0,,2,15,0,2,,0,0,0,,3.5
Julius Thomas*,,@Buf,L 16-24,,0/0,0,0,0,,0,0,0,,2,15,0,4,,0,0,0,,3.5
Alan Cross,,Atl,L 21-24,,0/0,0,0,0,,0,0,0,,1,23,0,2,,0,0,0,,3.3
Austin Seferian-Jenkins*,,@NO,L 19-31,,0/0,0,0,0,,0,0,0,,2,13,0,3,,0,0,0,,3.3
Josh Hill,,NYJ,W 31-19,,0/0,0,0,0,,0,0,0,,1,22,0,2,,0,0,0,,3.2
Austin Hooper,,@TB,W 24-21,,0/0,0,0,0,,0,0,0,,2,12,0,2,,0,0,0,,3.2
Ricky Seals-Jones,,@Wsh,L 15-20,,0/0,0,0,0,,0,0,0,,2,11,0,6,,0,0,0,,3.1
Orson Charles,,LAC,W 30-13,,0/0,0,0,0,,0,0,0,,1,18,0,1,,0,0,0,,2.8
Jesse James,,NE,L 24-27,,0/0,0,0,0,,0,0,0,,2,7,0,5,,0,0,0,,2.7
James O'Shaughnessy,,Hou,W 45-7,,0/0,0,0,0,,0,0,0,,1,15,0,2,,0,0,0,,2.5
Antony Auclair,,Atl,L 21-24,,0/0,0,0,0,,0,0,0,,1,14,0,1,,0,0,0,,2.4
Tyler Higbee,,@Sea,W 42-7,,0/0,0,0,0,,0,0,0,,1,12,0,1,,0,0,0,,2.2
Niles Paul,,Ari,W 20-15,,0/0,0,0,0,,0,0,0,,1,11,0,1,,0,0,0,,2.1
Tyler Kroft,,@Min,L 7-34,,0/0,0,0,0,,0,0,0,,2,1,0,4,,0,0,0,,2.1
Dwayne Allen,,@Pit,W 27-24,,0/0,0,0,0,,0,0,0,,1,10,0,1,,0,0,0,,2
Dion Sims,,@Det,L 10-20,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
Nick Boyle,,@Cle,W 27-10,,0/0,0,0,0,,0,0,0,,1,9,0,2,,0,0,0,,1.9
Xavier Grimble,,NE,L 24-27,,0/0,0,0,0,,0,0,0,,1,8,0,1,,0,0,0,,1.8
Vernon Davis,,Ari,W 20-15,,0/0,0,0,0,,0,0,0,,2,18,0,5,,0,1,0,,1.8
Demetrius Harris,,LAC,W 30-13,,0/0,0,0,0,,0,0,0,,1,7,0,2,,0,0,0,,1.7
Lance Kendricks,,@Car,L 24-31,,0/0,0,0,0,,0,0,0,,1,5,0,2,,0,0,0,,1.5
Jonnu Smith,,@SF,L 23-25,,0/0,0,0,0,,0,0,0,,1,5,0,1,,0,0,0,,1.5
Derek Carrier,,@Sea,W 42-7,,0/0,0,0,0,,0,0,0,,1,4,0,2,,0,0,0,,1.4
Lee Smith,,Dal,L 17-20,,0/0,0,0,0,,0,0,0,,1,3,0,1,,0,0,0,,1.3
Ben Koyack,,Hou,W 45-7,,0/0,0,0,0,,0,0,0,,1,0,0,1,,0,0,0,,1
Jimmy Graham,,LAR,L 7-42,,0/0,0,0,0,,0,0,0,,1,-1,0,3,,0,0,0,,0.9
MarQueis Gray,,@Buf,L 16-24,,0/0,0,0,0,,2,7,0,,0,0,0,0,,0,0,0,,0.7
Maxx Williams,,@Cle,W 27-10,,0/0,0,0,0,,1,4,0,,0,0,0,1,,0,0,0,,0.4
Kellen Winslow,,@NO,L 19-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Alex Smith,,Ari,W 20-15,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Owen Daniels,,@Ind,W 25-13,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Daniel Fells,,Phi,L 29-34,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
