PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Saints ,,Det,W 52-38,,3,3,2,5,0,0,32,,32
Texans ,,Cle,W 33-17,,1,3,0,4,1,0,11,,23
Rams ,,@Jax,W 27-17,,2,1,0,5,0,1,17,,21
Ravens ,,Chi,L 24-27,,2,0,2,4,0,0,21,,20
Giants ,,@Den,W 23-10,,1,2,1,4,0,1,10,,18
Bears ,,@Bal,W 27-24,,1,2,1,3,0,0,24,,17
Lions ,,@NO,L 38-52,,2,2,1,0,0,0,34,,16
Vikings ,,GB,W 23-10,,0,3,0,4,0,0,10,,15
Steelers ,,@KC,W 19-13,,0,0,0,3,1,0,13,,10
Browns ,,@Hou,L 17-33,,1,1,0,1,0,0,25,,9
Broncos ,,NYG,L 10-23,,0,0,0,3,0,1,17,,8
Eagles ,,@Car,W 28-23,,0,3,0,2,0,0,23,,8
Chargers ,,@Oak,W 17-16,,0,2,0,1,0,0,16,,8
Jaguars ,,LAR,L 17-27,,0,0,1,3,0,0,27,,7
Titans ,,Ind,W 36-22,,0,0,1,1,0,0,16,,6
Patriots ,,@NYJ,W 24-17,,0,2,0,4,0,0,17,,6
Buccaneers ,,@Ari,L 33-38,,1,1,1,2,0,0,38,,6
Dolphins ,,@Atl,W 20-17,,0,1,0,2,0,0,17,,5
Redskins ,,SF,W 26-24,,0,1,0,3,0,0,24,,5
Falcons ,,Mia,L 17-20,,0,1,0,0,0,0,20,,4
Raiders ,,LAC,L 16-17,,0,0,1,1,0,0,17,,4
Panthers ,,Phi,L 23-28,,0,0,1,3,0,0,28,,4
Packers ,,@Min,L 10-23,,0,1,1,0,0,0,23,,3
Jets ,,NE,L 17-24,,0,1,1,0,0,0,24,,3
Cardinals ,,TB,W 38-33,,0,2,0,2,0,0,27,,3
49ers ,,@Wsh,L 24-26,,0,1,1,1,0,0,26,,2
Colts ,,@Ten,L 22-36,,1,1,0,1,0,0,36,,1
Chiefs ,,Pit,L 13-19,,0,1,0,1,0,0,17,,1
Bills ,,** BYE **,,--,--,--,--,--,--,--,,--
Bengals ,,** BYE **,,--,--,--,--,--,--,--,,--
Cowboys ,,** BYE **,,--,--,--,--,--,--,--,,--
Seahawks ,,** BYE **,,--,--,--,--,--,--,--,,--
