PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Phil Dawson,,Jax,W 27-24,,1/1,2/2,1/1,4/4,1/1,,17
Greg Zuerlein*,,NO,W 26-20,,1/1,2/2,1/2,4/5,2/2,,17
Justin Tucker,,Hou,W 23-16,,1/1,1/1,1/1,3/3,2/2,,14
Matt Prater,,Min,L 23-30,,2/2,0/0,1/1,3/3,2/2,,13
Randy Bullock,,Cle,W 30-16,,2/2,1/1,0/0,3/3,3/3,,13
Stephen Hauschka,,@KC,W 16-10,,1/1,1/1,1/2,3/4,1/1,,12
Adam Vinatieri,,Ten,L 16-20,,2/2,1/1,0/0,3/3,1/1,,11
Matt Bryant,,TB,W 34-20,,1/1,1/1,0/0,2/2,4/4,,11
Graham Gano,,@NYJ,W 35-27,,1/1,2/2,0/0,3/3,0/1,,11
Wil Lutz,,@LAR,L 20-26,,1/1,0/0,1/1,2/2,2/2,,10
Ka'imi Fairbairn,,@Bal,L 16-23,,3/3,0/0,0/0,3/3,1/1,,10
Ryan Succop,,@Ind,W 20-16,,1/1,1/1,0/0,2/2,2/2,,9
Chandler Catanzaro,,Car,L 27-35,,2/2,0/0,0/0,2/2,3/3,,9
Zane Gonzalez,,@Cin,L 16-30,,3/3,0/1,0/0,3/4,1/1,,9
Robbie Gould,,Sea,L 13-24,,1/1,1/1,0/0,2/2,1/1,,8
Patrick Murray,,@Atl,L 20-34,,2/2,0/0,0/0,2/2,2/2,,8
Jake Elliott,,Chi,W 31-3,,0/0,1/1,0/0,1/1,4/4,,8
Nick Rose,,@Dal,W 28-6,,2/2,0/0,0/0,2/2,2/2,,8
Chris Boswell,,GB,W 31-28,,0/0,0/0,1/1,1/1,2/3,,7
Josh Lambo,,@Ari,L 24-27,,0/0,1/1,0/0,1/1,3/3,,7
Stephen Gostkowski,,Mia,W 35-17,,0/0,0/0,0/0,0/0,5/5,,5
Kai Forbath,,@Det,W 30-23,,1/1,0/0,0/1,1/2,3/4,,5
Blair Walsh,,@SF,W 24-13,,1/1,0/1,0/0,1/2,3/3,,5
Cody Parkey,,@NE,L 17-35,,1/1,0/0,0/0,1/1,2/2,,5
Harrison Butker,,Buf,L 10-16,,0/0,1/1,0/0,1/1,1/1,,5
Aldrick Rosas,,@Wsh,L 10-20,,1/1,0/0,0/0,1/1,1/1,,4
Mason Crosby,,@Pit,L 28-31,,0/0,0/0,0/1,0/1,4/4,,3
Nick Novak*,,@Dal,W 28-6,,1/2,0/0,0/0,1/2,0/1,,2
Giorgio Tavecchio,,Den,W 21-14,,0/1,0/0,0/0,0/1,3/3,,2
Brandon McManus,,@Oak,L 14-21,,0/0,0/0,0/0,0/0,2/2,,2
Cairo Santos*,,@Phi,L 3-31,,1/1,0/0,0/1,1/2,0/0,,2
Sebastian Janikowski*,,Den,W 21-14,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,TB,W 34-20,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,@Cin,L 16-30,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,@Wsh,L 10-20,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,@LAR,L 20-26,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,@Phi,L 3-31,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,GB,W 31-28,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,@Atl,L 20-34,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,GB,W 31-28,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@KC,W 16-10,,0/0,0/0,0/0,0/0,0/0,,0
Connor Barth,,@Phi,L 3-31,,0/0,0/0,0/0,0/0,0/0,,0
Dan Bailey,,LAC,L 6-28,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,@Atl,L 20-34,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,Chi,W 31-3,,0/0,0/0,0/0,0/0,0/0,,0
Dustin Hopkins,,NYG,W 20-10,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,@Atl,L 20-34,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,@Dal,W 28-6,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,Min,L 23-30,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@Ind,W 20-16,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,@SF,W 24-13,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,Car,L 27-35,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@NE,L 17-35,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@Phi,L 3-31,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,@Dal,W 28-6,,0/0,0/0,0/0,0/0,0/0,,0
Sam Ficken,,NO,W 26-20,,--/--,--/--,--/--,--/--,--/--,,--
