PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Greg Zuerlein*,,@Dal,W 35-30,,3/3,4/4,0/0,7/7,2/2,,27
Jake Elliott,,@LAC,W 26-24,,0/0,3/3,1/1,4/4,2/2,,19
Robbie Gould,,@Ari,L 15-18,,2/2,3/3,0/0,5/5,0/0,,18
Ka'imi Fairbairn,,Ten,W 57-14,,1/1,1/1,1/1,3/3,6/7,,18
Phil Dawson,,SF,W 18-15,,2/2,1/1,1/1,4/4,0/0,,15
Stephen Gostkowski,,Car,L 30-33,,1/1,1/1,1/1,3/3,3/3,,15
Stephen Hauschka,,@Atl,W 23-17,,1/1,0/0,2/2,3/3,2/2,,15
Chandler Catanzaro,,Jax,W 23-20,,1/1,2/3,0/0,3/4,2/2,,12
Harrison Butker,,Wsh,W 29-20,,2/2,1/2,0/0,3/4,2/2,,11
Graham Gano,,@NE,W 33-30,,1/1,1/1,0/0,2/2,3/4,,10
Brandon McManus,,Oak,W 16-10,,2/3,1/1,0/0,3/4,1/1,,10
Dustin Hopkins,,@KC,L 20-29,,1/1,1/1,0/0,2/2,2/2,,9
Wil Lutz,,@Mia,W 20-0,,0/0,2/3,0/0,2/3,2/2,,9
Blair Walsh,,Ind,W 46-18,,0/1,1/1,0/0,1/2,5/5,,8
Randy Bullock,,@Cle,W 31-7,,0/0,1/1,0/0,1/1,4/4,,8
Chris Boswell,,@Bal,W 26-9,,1/1,1/2,0/0,2/3,2/2,,8
Jason Myers,,Ind,W 46-18,,2/2,0/0,0/1,2/3,2/2,,7
Dan Bailey,,LAR,L 30-35,,1/1,0/0,0/0,1/1,3/3,,6
Younghoe Koo,,Phi,L 24-26,,1/1,0/0,0/0,1/1,3/3,,6
Adam Vinatieri,,@Sea,L 18-46,,0/0,1/1,0/0,1/1,1/1,,5
Matt Bryant,,Buf,L 17-23,,1/1,0/0,0/0,1/1,2/2,,5
Nick Folk*,,NYG,W 25-23,,2/2,0/2,0/0,2/4,1/2,,5
Mason Crosby,,Chi,W 35-14,,0/0,0/0,0/0,0/0,5/5,,5
Matt Prater,,@Min,W 14-7,,2/2,0/0,0/1,2/3,0/0,,5
Giorgio Tavecchio,,@Den,L 10-16,,1/1,0/0,0/0,1/1,1/1,,4
Aldrick Rosas,,@TB,L 23-25,,1/1,0/1,0/0,1/2,2/2,,4
Justin Tucker,,Pit,L 9-26,,0/0,1/1,0/1,1/2,0/0,,3
Ryan Succop,,@Hou,L 14-57,,0/0,0/0,0/0,0/0,2/2,,2
Connor Barth,,@GB,L 14-35,,0/0,0/1,0/0,0/1,2/2,,1
Sebastian Janikowski*,,@Den,L 10-16,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,Buf,L 17-23,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,Cin,L 7-31,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,@TB,L 23-25,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,@Mia,W 20-0,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,@GB,L 14-35,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,Phi,L 24-26,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,@Bal,W 26-9,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,@Bal,W 26-9,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@Atl,W 23-17,,0/0,0/0,0/0,0/0,0/0,,0
Kai Forbath,,Det,L 7-14,,0/1,0/0,0/0,0/1,1/1,,0
Brandon Bogotay,,NYG,W 25-23,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,@LAC,W 26-24,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,NYG,W 25-23,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,Phi,L 24-26,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,@GB,L 14-35,,0/0,0/0,0/0,0/0,0/0,,0
Cody Parkey,,NO,L 0-20,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@Min,W 14-7,,0/0,0/0,0/0,0/0,0/0,,0
Patrick Murray,,NYG,W 25-23,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@Hou,L 14-57,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,Jax,W 23-20,,0/0,0/0,0/0,0/0,0/0,,0
Josh Lambo,,@NYJ,L 20-23,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,NO,L 0-20,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@GB,L 14-35,,0/0,0/0,0/0,0/0,0/0,,0
Zane Gonzalez,,Cin,L 7-31,,0/0,0/1,0/0,0/1,1/1,,0
Nick Rose,,Phi,L 24-26,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,@Dal,W 35-30,,--/--,--/--,--/--,--/--,--/--,,--
