PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Lions ,,@NYG,W 24-10,,1,1,0,5,0,0,10,,18
Buccaneers ,,Chi,W 29-7,,1,2,2,1,0,0,7,,18
Broncos ,,Dal,W 42-17,,1,2,0,2,0,0,17,,15
Ravens ,,Cle,W 24-10,,0,4,1,3,0,0,10,,15
Falcons ,,GB,W 34-23,,1,1,1,3,0,0,23,,12
Bills ,,@Car,L 3-9,,0,0,0,6,0,0,9,,11
Cardinals ,,@Ind,W 16-13,,0,1,0,4,0,0,13,,11
Raiders ,,NYJ,W 45-20,,0,0,2,4,0,0,20,,10
Panthers ,,Buf,W 9-3,,0,0,0,3,0,0,3,,10
Texans ,,@Cin,W 13-9,,0,0,1,3,0,0,9,,10
Titans ,,@Jax,W 37-16,,0,2,1,2,0,0,16,,9
Steelers ,,Min,W 26-9,,0,0,1,2,0,0,9,,9
Seahawks ,,SF,W 12-9,,0,1,0,2,0,0,9,,9
Bengals ,,Hou,L 9-13,,0,0,0,3,0,0,13,,8
Chiefs ,,Phi,W 27-20,,0,1,1,6,0,0,20,,7
Giants ,,Det,L 10-24,,0,0,1,3,0,0,24,,7
Browns ,,@Bal,L 10-24,,0,1,1,2,0,0,24,,6
Colts ,,Ari,L 13-16,,0,1,0,4,0,0,16,,6
49ers ,,@Sea,L 9-12,,0,0,0,3,0,0,12,,6
Redskins ,,@LAR,W 27-20,,0,1,1,2,0,0,20,,6
Bears ,,@TB,L 7-29,,0,0,1,2,0,0,23,,4
Eagles ,,@KC,L 20-27,,0,0,0,4,0,0,27,,4
Cowboys ,,@Den,L 17-42,,0,1,1,2,0,0,36,,2
Vikings ,,@Pit,L 9-26,,0,0,0,2,0,0,26,,2
Chargers ,,Mia,L 17-19,,0,0,0,2,0,0,19,,2
Packers ,,@Atl,L 23-34,,0,0,0,3,0,0,28,,1
Rams ,,Wsh,L 20-27,,0,0,0,2,0,0,27,,1
Dolphins ,,@LAC,W 19-17,,0,0,0,1,0,0,17,,1
Jaguars ,,Ten,L 16-37,,0,1,0,1,0,0,37,,-1
Patriots ,,@NO,W 36-20,,0,0,0,1,0,0,20,,-2
Jets ,,@Oak,L 20-45,,0,0,0,0,0,0,45,,-6
Saints ,,NE,L 20-36,,0,0,0,2,0,0,36,,-8
