PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Ravens ,,Mia,W 40-0,,2,2,0,3,0,0,0,,27
Eagles ,,SF,W 33-10,,1,2,0,4,0,1,10,,21
Cowboys ,,@Wsh,W 33-19,,1,1,2,4,0,1,19,,20
Chiefs ,,Den,W 29-19,,1,3,2,3,0,0,19,,18
Panthers ,,@TB,W 17-3,,0,2,1,3,0,0,3,,15
Bills ,,Oak,W 34-14,,1,2,2,0,0,0,14,,14
Bengals ,,Ind,W 24-23,,1,1,0,4,0,1,23,,14
Colts ,,@Cin,L 23-24,,0,0,2,3,0,1,18,,11
Vikings ,,@Cle,W 33-16,,0,0,2,3,0,0,16,,10
Patriots ,,LAC,W 21-13,,0,1,0,1,1,1,13,,10
Seahawks ,,Hou,W 41-38,,1,3,0,5,0,0,38,,8
Falcons ,,@NYJ,W 25-20,,0,0,1,3,0,0,20,,7
Broncos ,,@KC,L 19-29,,0,1,1,1,0,0,23,,7
Saints ,,Chi,W 20-12,,0,1,0,2,0,0,12,,7
Bears ,,@NO,L 12-20,,0,0,2,2,0,0,20,,5
49ers ,,@Phi,L 10-33,,0,1,0,3,0,0,27,,5
Buccaneers ,,Car,L 3-17,,0,1,0,0,0,0,17,,5
Jets ,,Atl,L 20-25,,0,0,2,1,0,0,25,,4
Redskins ,,Dal,L 19-33,,0,0,1,2,0,0,27,,4
Browns ,,Min,L 16-33,,0,1,0,1,0,1,33,,3
Lions ,,Pit,L 15-20,,0,1,1,0,0,0,20,,3
Dolphins ,,@Bal,L 0-40,,0,0,0,0,0,1,28,,3
Steelers ,,@Det,W 20-15,,0,0,1,2,0,0,15,,0
Chargers ,,@NE,L 13-21,,0,0,0,3,0,0,19,,0
Raiders ,,@Buf,L 14-34,,0,0,0,0,0,0,28,,-1
Texans ,,@Sea,L 38-41,,0,1,0,2,0,0,35,,-4
Packers ,,** BYE **,,--,--,--,--,--,--,--,,--
Titans ,,** BYE **,,--,--,--,--,--,--,--,,--
Rams ,,** BYE **,,--,--,--,--,--,--,--,,--
Giants ,,** BYE **,,--,--,--,--,--,--,--,,--
Cardinals ,,** BYE **,,--,--,--,--,--,--,--,,--
Jaguars ,,** BYE **,,--,--,--,--,--,--,--,,--
