PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Dolphins ,,Den,W 35-9,,1,3,0,3,2,1,3,,27
Rams ,,@Ari,W 32-16,,1,2,0,7,0,2,16,,22
Cowboys ,,Wsh,W 38-14,,1,2,2,4,0,0,14,,21
Packers ,,TB,W 26-20,,1,0,1,7,0,0,20,,14
Ravens ,,Det,W 44-20,,1,2,1,3,0,0,20,,14
Broncos ,,@Mia,L 9-35,,1,2,1,2,0,0,25,,13
Jaguars ,,Ind,W 30-10,,0,2,0,4,0,0,10,,13
Patriots ,,@Buf,W 23-3,,0,1,0,4,0,0,3,,12
Chargers ,,Cle,W 19-10,,0,1,1,3,0,0,10,,12
Bears ,,SF,L 14-15,,1,1,0,2,0,0,15,,10
Raiders ,,NYG,W 24-17,,0,0,2,3,0,0,17,,10
Titans ,,Hou,W 24-13,,0,1,0,4,0,0,13,,8
Saints ,,Car,W 31-21,,0,0,1,2,0,0,21,,6
49ers ,,@Chi,W 15-14,,0,0,0,2,0,0,14,,6
Buccaneers ,,@GB,L 20-26,,0,1,0,2,0,0,20,,6
Vikings ,,@Atl,W 14-9,,0,0,0,0,0,0,9,,5
Seahawks ,,Phi,W 24-10,,0,1,0,3,0,0,10,,5
Texans ,,@Ten,L 13-24,,0,0,1,2,0,0,24,,4
Falcons ,,Min,L 9-14,,0,0,0,2,0,0,14,,3
Cardinals ,,LAR,L 16-32,,0,1,0,1,0,0,26,,3
Bills ,,NE,L 3-23,,0,1,0,3,0,0,23,,2
Bengals ,,Pit,L 20-23,,0,1,0,1,0,0,23,,2
Eagles ,,@Sea,L 10-24,,0,0,0,2,0,0,24,,2
Steelers ,,@Cin,W 23-20,,0,0,0,2,0,0,20,,1
Giants ,,@Oak,L 17-24,,0,0,1,1,0,0,24,,0
Redskins ,,@Dal,L 14-38,,0,0,0,1,0,0,38,,0
Panthers ,,@NO,L 21-31,,0,0,1,2,0,0,31,,0
Browns ,,@LAC,L 10-19,,0,0,0,1,0,0,19,,-2
Colts ,,@Jax,L 10-30,,0,0,0,1,0,0,30,,-3
Lions ,,@Bal,L 20-44,,0,0,0,0,0,0,38,,-4
Jets ,,KC,W 38-31,,0,0,0,2,0,0,31,,-4
Chiefs ,,@NYJ,L 31-38,,0,0,0,0,0,0,38,,-8
