PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Alvin Kamara,,Car,W 31-21,,0/0,0,0,0,,9,60,2,,5,66,0,6,,0,0,0,,29.6
Le'Veon Bell*,,@Cin,W 23-20,,0/0,0,0,0,,18,76,0,,5,106,1,6,,0,0,0,,29.2
Rex Burkhead*,,@Buf,W 23-3,,0/0,0,0,0,,12,78,2,,3,25,0,4,,0,0,0,,25.3
Mark Ingram,,Car,W 31-21,,0/0,0,0,0,,14,85,1,,6,37,0,7,,0,0,0,,24.2
Alex Collins,,Det,W 44-20,,0/0,0,0,0,,15,75,2,,2,23,0,2,,0,0,0,,23.8
Kenyan Drake,,Den,W 35-9,,0/0,0,0,0,,23,120,1,,3,21,0,5,,0,0,0,,23.1
Todd Gurley II,,@Ari,W 32-16,,0/0,0,0,0,,19,74,0,,6,84,0,7,,0,0,0,,21.8
Jamaal Williams,,TB,W 26-20,,0/0,0,0,0,,21,113,1,,2,10,0,3,,0,0,0,,20.3
Marshawn Lynch,,NYG,W 24-17,,0/0,0,0,0,,17,101,1,,2,20,0,3,,0,0,0,,20.1
Alfred Morris,,Wsh,W 38-14,,0/0,0,0,0,,27,127,1,,0,0,0,1,,0,0,0,,18.7
Peyton Barber,,@GB,L 20-26,,0/0,0,0,0,,23,102,0,,4,41,0,4,,0,0,0,,18.3
Matt Forte*,,KC,W 38-31,,0/0,0,0,0,,15,58,0,,3,33,1,3,,0,0,0,,18.1
Theo Riddick,,@Bal,L 20-44,,0/0,0,0,0,,9,21,1,,5,41,0,5,,0,0,0,,17.2
Derrick Henry,,Hou,W 24-13,,0/0,0,0,0,,11,109,1,,0,0,0,0,,0,0,0,,16.9
Leonard Fournette,,Ind,W 30-10,,0/0,0,0,0,,20,57,1,,3,22,0,4,,0,0,0,,16.9
Jerick McKinnon,,@Atl,W 14-9,,0/0,0,0,0,,9,24,0,,5,28,1,5,,0,0,0,,16.2
Christian McCaffrey,,@NO,L 21-31,,0/0,0,0,0,,6,16,0,,5,33,1,6,,0,0,0,,15.9
C.J. Anderson,,@Mia,L 9-35,,0/0,0,0,0,,15,67,0,,4,43,0,7,,0,0,0,,15
Melvin Gordon,,Cle,W 19-10,,0/0,0,0,0,,19,77,0,,4,29,0,4,,0,0,0,,14.6
Tarik Cohen,,SF,L 14-15,,0/0,0,0,0,,2,5,0,,4,39,0,4,,0,0,1,,14.4
Mike Davis,,Phi,W 24-10,,0/0,0,0,0,,16,64,0,,4,37,0,4,,0,0,0,,14.1
Lamar Miller,,@Ten,L 13-24,,0/0,0,0,0,,15,56,0,,4,38,0,4,,0,0,0,,13.4
Bilal Powell,,KC,W 38-31,,0/0,0,0,0,,18,48,1,,2,2,0,3,,0,0,0,,13
Latavius Murray,,@Atl,W 14-9,,0/0,0,0,0,,16,76,0,,3,21,0,3,,0,0,0,,12.7
LeSean McCoy,,NE,L 3-23,,0/0,0,0,0,,15,93,0,,2,9,0,5,,0,0,0,,12.2
Giovani Bernard,,Pit,L 20-23,,0/0,0,0,0,,13,77,0,,2,19,0,3,,0,0,0,,11.6
Tion Green,,@Bal,L 20-44,,0/0,0,0,0,,11,51,1,,0,0,0,0,,0,0,0,,11.1
Jonathan Stewart,,@NO,L 21-31,,0/0,0,0,0,,11,45,1,,0,0,0,1,,0,0,0,,10.5
Andre Ellington,,@Ten,L 13-24,,0/0,0,0,0,,2,-4,0,,5,56,0,6,,0,0,0,,10.2
Jamaal Charles*,,@Mia,L 9-35,,0/0,0,0,0,,3,12,0,,5,39,0,5,,0,0,0,,10.1
Orleans Darkwa,,@Oak,L 17-24,,0/0,0,0,0,,14,32,1,,1,-1,0,1,,0,0,0,,10.1
DeMarco Murray*,,Hou,W 24-13,,0/0,0,0,0,,11,66,0,,2,13,0,2,,0,0,0,,9.9
