PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Falcons ,,Dal,W 27-7,,0,0,2,8,0,0,7,,17
Rams ,,Hou,W 33-7,,0,2,2,3,0,0,7,,16
Buccaneers ,,NYJ,W 15-10,,0,1,1,6,0,0,10,,15
Patriots ,,@Den,W 41-16,,1,1,1,0,0,1,16,,13
Lions ,,Cle,W 38-24,,1,1,1,4,0,0,24,,11
Seahawks ,,@Ari,W 22-16,,0,0,1,2,1,1,16,,11
Saints ,,@Buf,W 47-10,,0,1,0,2,0,0,10,,10
Steelers ,,@Ind,W 20-17,,0,1,0,3,0,0,17,,8
Chargers ,,@Jax,L 17-20,,0,2,0,3,0,1,20,,8
Cardinals ,,Sea,L 16-22,,0,0,0,5,0,0,20,,7
Packers ,,@Chi,W 23-16,,0,0,0,5,0,0,16,,6
Jets ,,@TB,L 10-15,,0,1,0,1,0,0,15,,6
Browns ,,@Det,L 24-38,,0,1,0,4,0,0,32,,5
Titans ,,Cin,W 24-20,,0,0,2,1,0,0,20,,5
Colts ,,Pit,L 17-20,,0,1,0,1,0,1,20,,5
Jaguars ,,LAC,W 20-17,,0,1,1,0,0,0,17,,5
49ers ,,NYG,W 31-21,,0,0,1,3,0,0,21,,4
Bears ,,GB,L 16-23,,0,0,0,3,0,0,23,,3
Bengals ,,@Ten,L 20-24,,0,1,0,4,0,0,24,,3
Cowboys ,,@Atl,L 7-27,,0,1,0,1,0,0,27,,3
Panthers ,,Mia,W 45-21,,0,1,0,0,0,0,21,,2
Vikings ,,@Wsh,W 38-30,,0,1,0,1,0,0,30,,1
Texans ,,@LAR,L 7-33,,0,0,0,3,0,0,33,,-1
Giants ,,@SF,L 21-31,,0,1,1,0,0,0,31,,-2
Redskins ,,Min,L 30-38,,0,2,0,0,0,0,38,,-2
Broncos ,,NE,L 16-41,,0,0,0,1,0,0,41,,-3
Bills ,,NO,L 10-47,,0,0,1,0,0,0,47,,-8
Dolphins ,,@Car,L 21-45,,0,0,0,0,0,0,45,,-9
Chiefs ,,** BYE **,,--,--,--,--,--,--,--,,--
Raiders ,,** BYE **,,--,--,--,--,--,--,--,,--
Eagles ,,** BYE **,,--,--,--,--,--,--,--,,--
Ravens ,,** BYE **,,--,--,--,--,--,--,--,,--
