PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Robbie Gould,,Ten,W 25-23,,2/2,3/3,1/1,6/6,1/1,,24
Phil Dawson,,@Wsh,L 15-20,,4/4,1/1,0/0,5/5,0/0,,16
Ryan Succop,,@SF,L 23-25,,1/1,1/1,1/1,3/3,2/2,,14
Harrison Butker,,LAC,W 30-13,,2/2,0/0,1/2,3/4,3/3,,13
Kai Forbath,,Cin,W 34-7,,1/1,0/0,1/1,2/2,4/4,,12
Cody Parkey,,@Buf,L 16-24,,2/2,1/1,0/0,3/3,1/1,,11
Greg Zuerlein*,,@Sea,W 42-7,,2/2,0/0,0/0,2/2,4/5,,10
Justin Tucker,,@Cle,W 27-10,,1/1,1/1,0/0,2/2,3/3,,10
Jake Elliott,,@NYG,W 34-29,,2/2,0/0,0/0,2/2,4/4,,10
Matt Prater,,Chi,W 20-10,,1/1,1/1,0/0,2/2,2/2,,9
Dan Bailey,,@Oak,W 20-17,,1/1,1/1,0/0,2/2,2/2,,9
Josh Lambo,,Hou,W 45-7,,1/1,0/0,0/0,1/1,6/6,,9
Adam Vinatieri,,Den,L 13-25,,1/1,1/1,0/0,2/2,1/1,,8
Stephen Gostkowski,,@Pit,W 27-24,,1/1,1/1,0/0,2/2,1/2,,8
Dustin Hopkins,,Ari,W 20-15,,2/2,0/0,0/0,2/2,2/2,,8
Chris Boswell,,NE,L 24-27,,0/0,0/0,1/1,1/1,3/3,,8
Matt Bryant,,@TB,W 24-21,,0/1,0/0,1/1,1/2,3/3,,7
Graham Gano,,GB,W 31-24,,1/1,0/0,0/0,1/1,4/4,,7
Chandler Catanzaro,,@NO,L 19-31,,2/2,0/0,0/0,2/2,1/1,,7
Wil Lutz,,NYJ,W 31-19,,1/1,0/0,0/0,1/1,4/4,,7
Mason Crosby,,@Car,L 24-31,,1/1,0/0,0/0,1/1,3/3,,6
Stephen Hauschka,,Mia,W 24-16,,1/1,0/0,0/0,1/1,3/3,,6
Mike Nugent,,@Det,L 10-20,,0/0,1/1,0/0,1/1,1/1,,5
Brandon McManus,,@Ind,W 25-13,,0/0,1/2,0/0,1/2,2/2,,5
Zane Gonzalez,,Bal,L 10-27,,0/0,1/1,0/0,1/1,1/1,,5
Giorgio Tavecchio,,Dal,L 17-20,,1/2,0/0,0/0,1/2,2/2,,4
Aldrick Rosas,,Phi,L 29-34,,1/1,0/1,0/0,1/2,2/3,,4
Patrick Murray,,Atl,L 21-24,,0/0,0/0,0/1,0/1,3/3,,2
Blair Walsh,,LAR,L 7-42,,0/0,0/0,0/0,0/0,1/1,,1
Randy Bullock,,@Min,L 7-34,,0/0,0/0,0/0,0/0,1/1,,1
Travis Coons,,@KC,L 13-30,,0/0,0/0,0/0,0/0,1/2,,1
Ka'imi Fairbairn,,@Jax,L 7-45,,0/0,0/0,0/0,0/0,1/1,,1
Sebastian Janikowski*,,Dal,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,@TB,W 24-21,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,Bal,L 10-27,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,Phi,L 29-34,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,NYJ,W 31-19,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,@KC,L 13-30,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,NE,L 24-27,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,Atl,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,NE,L 24-27,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,Mia,W 24-16,,0/0,0/0,0/0,0/0,0/0,,0
Connor Barth,,@Det,L 10-20,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,Atl,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,@NYG,W 34-29,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,Atl,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,@Det,L 10-20,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,Chi,W 20-10,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@SF,L 23-25,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,LAR,L 7-42,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,@NO,L 19-31,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,@Buf,L 16-24,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@Det,L 10-20,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,@KC,L 13-30,,0/0,0/0,0/0,0/0,0/0,,0
Nick Rose,,@KC,L 13-30,,0/0,0/0,0/0,0/0,0/0,,0
Sam Ficken,,@Sea,W 42-7,,0/0,0/0,0/0,0/0,0/0,,0
