PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Broncos ,,NYJ,W 23-0,,0,1,1,4,0,0,0,,16
Titans ,,@Ari,L 7-12,,0,0,0,8,0,0,12,,13
Bears ,,@Cin,W 33-7,,0,1,1,3,0,0,7,,12
Chiefs ,,Oak,W 26-15,,0,2,1,3,0,0,15,,12
Cardinals ,,Ten,W 12-7,,0,2,0,3,0,0,7,,12
Panthers ,,Min,W 31-24,,0,2,1,6,0,0,24,,11
Lions ,,@TB,W 24-21,,0,2,3,3,0,0,21,,10
Eagles ,,@LAR,W 43-35,,1,0,2,2,0,0,35,,9
Chargers ,,Wsh,W 30-13,,0,1,0,2,0,0,7,,9
Dolphins ,,NE,W 27-20,,0,2,0,2,0,0,20,,8
Cowboys ,,@NYG,W 30-10,,0,2,0,0,0,0,10,,7
Colts ,,@Buf,L 7-13,,0,1,1,0,0,0,13,,7
Saints ,,@Atl,L 17-20,,0,3,0,1,0,0,20,,7
Bills ,,Ind,W 13-7,,0,0,0,1,0,0,7,,6
Packers ,,@Cle,W 27-21,,0,2,0,2,0,0,21,,6
49ers ,,@Hou,W 26-16,,0,0,1,3,0,0,16,,6
Falcons ,,NO,W 20-17,,0,1,0,2,0,0,17,,5
Jaguars ,,Sea,W 30-24,,0,3,0,2,0,0,24,,5
Rams ,,Phi,L 35-43,,1,1,0,2,0,1,37,,4
Jets ,,@Den,L 0-23,,0,0,0,2,0,0,23,,4
Redskins ,,@LAC,L 13-30,,1,1,0,2,0,0,30,,4
Raiders ,,@KC,L 15-26,,0,1,0,4,0,0,26,,3
Vikings ,,@Car,L 24-31,,0,1,0,2,0,0,31,,3
Buccaneers ,,Det,L 21-24,,0,2,1,0,0,0,24,,3
Browns ,,GB,L 21-27,,0,0,0,1,0,0,27,,1
Patriots ,,@Mia,L 20-27,,0,0,0,2,0,0,27,,1
Texans ,,SF,L 16-26,,0,1,0,2,0,0,26,,1
Seahawks ,,@Jax,L 24-30,,0,0,1,0,0,0,30,,-2
Steelers ,,Bal,W 39-38,,0,1,0,1,0,0,38,,-3
Bengals ,,Chi,L 7-33,,0,0,0,2,0,0,33,,-4
Giants ,,Dal,L 10-30,,0,0,0,0,0,0,30,,-6
Ravens ,,@Pit,L 38-39,,0,0,0,3,0,0,39,,-6
