PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Giorgio Tavecchio,,@Ten,W 26-16,,1/1,1/1,2/2,4/4,2/2,,19
Greg Zuerlein*,,Ind,W 46-9,,1/1,1/1,1/1,3/3,5/5,,17
Dan Bailey,,NYG,W 19-3,,2/2,2/2,0/0,4/4,1/1,,15
Wil Lutz,,@Min,L 19-29,,3/3,1/1,0/0,4/4,1/1,,14
Caleb Sturgis*,,@Wsh,W 30-17,,1/1,1/1,1/1,3/3,1/2,,13
Matt Bryant,,@Chi,W 23-17,,2/2,1/1,0/0,3/3,2/2,,12
Kai Forbath,,NO,W 29-19,,2/2,1/1,0/0,3/3,2/3,,12
Graham Gano,,@SF,W 23-3,,3/3,0/0,0/0,3/3,2/2,,11
Ryan Succop,,Oak,L 16-26,,2/2,0/0,1/2,3/4,1/1,,11
Jason Myers,,@GB,L 9-17,,2/3,1/1,0/0,3/4,2/3,,11
Blair Walsh,,@GB,L 9-17,,2/2,1/1,0/0,3/3,0/0,,10
Stephen Gostkowski,,KC,L 27-42,,2/2,0/0,0/0,2/2,3/3,,9
Chandler Catanzaro,,@Buf,L 12-21,,0/0,1/1,1/1,2/2,0/0,,9
Justin Tucker,,@Cin,W 20-0,,2/2,0/0,0/0,2/2,2/2,,8
Matt Prater,,Ari,W 35-23,,0/0,0/0,1/1,1/1,2/2,,7
Connor Barth,,Atl,L 17-23,,0/0,0/0,1/1,1/1,2/2,,7
Mason Crosby,,Sea,W 17-9,,0/0,1/1,0/0,1/1,2/2,,6
Cairo Santos*,,Atl,L 17-23,,0/0,0/0,0/0,0/0,6/6,,6
Dustin Hopkins,,Phi,L 17-30,,1/1,0/0,0/0,1/1,2/2,,5
Brandon McManus,,LAC,W 24-21,,1/1,0/0,0/1,1/2,3/3,,5
Phil Dawson,,@Det,L 23-35,,1/2,0/0,0/0,1/2,2/2,,4
Robbie Gould,,Car,L 3-23,,0/0,1/1,0/0,1/1,0/0,,4
Zane Gonzalez,,Pit,L 18-21,,1/1,0/0,0/0,1/1,1/1,,4
Chris Boswell,,@Cle,W 21-18,,0/0,0/0,0/0,0/0,3/3,,3
Aldrick Rosas,,@Dal,L 3-19,,1/1,0/0,0/0,1/1,0/0,,3
Adam Vinatieri,,@LAR,L 9-46,,1/2,0/0,0/0,1/2,0/1,,2
Stephen Hauschka,,NYJ,W 21-12,,0/0,0/1,0/0,0/1,3/3,,2
Younghoe Koo,,@Den,L 21-24,,0/0,0/1,0/0,0/1,3/3,,2
Kasey Redfern*,,Ari,W 35-23,,0/0,0/0,0/0,0/0,0/0,,1
Ka'imi Fairbairn,,Jax,L 7-29,,0/0,0/0,0/0,0/0,1/1,,1
Sebastian Janikowski*,,@Ten,W 26-16,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,@Chi,W 23-17,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,Pit,L 18-21,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,@Dal,L 3-19,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,@Min,L 19-29,,0/0,0/0,0/0,0/0,0/0,,0
Mike Nugent,,Atl,L 17-23,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,@Den,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,@Cle,W 21-18,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,@Cle,W 21-18,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,NYJ,W 21-12,,0/0,0/0,0/0,0/0,0/0,,0
Randy Bullock,,Bal,L 0-20,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,@Den,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Patrick Murray,,** BYE **,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,Oak,L 16-26,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,@Buf,L 12-21,,0/0,0/0,0/0,0/0,0/0,,0
Josh Lambo,,@Hou,W 29-7,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,Atl,L 17-23,,0/0,0/0,0/0,0/0,0/0,,0
Jake Elliott,,@Wsh,W 30-17,,0/0,0/0,0/0,0/0,0/0,,0
Harrison Butker,,@NE,W 42-27,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Brandon Bogotay,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Zach Hocker,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Cody Parkey,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Andrew Franks,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Nick Rose,,@Den,L 21-24,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,Ind,W 46-9,,--/--,--/--,--/--,--/--,--/--,,--
