PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Seahawks ,,Ind,W 46-18,,2,1,1,3,0,0,16,,22
Texans ,,Ten,W 57-14,,1,4,1,2,0,0,14,,22
Steelers ,,@Bal,W 26-9,,0,2,1,4,0,0,9,,15
Saints ,,@Mia,W 20-0,,0,1,0,4,0,0,0,,14
Bills ,,@Atl,W 23-17,,1,2,1,1,0,0,17,,13
Lions ,,@Min,W 14-7,,0,0,3,2,0,0,7,,13
Broncos ,,Oak,W 16-10,,0,1,0,3,0,0,10,,10
Packers ,,Chi,W 35-14,,0,2,2,1,0,0,14,,10
Jaguars ,,@NYJ,L 20-23,,1,1,1,5,0,0,23,,10
Bengals ,,@Cle,W 31-7,,0,1,0,2,0,0,7,,9
Vikings ,,Det,L 7-14,,0,0,0,6,0,0,14,,9
Chiefs ,,Wsh,W 29-20,,1,0,1,0,0,0,20,,8
Raiders ,,@Den,L 10-16,,0,0,0,4,0,0,16,,7
49ers ,,@Ari,L 15-18,,0,1,0,6,0,0,18,,7
Falcons ,,Buf,L 17-23,,0,0,0,3,0,0,17,,6
Cardinals ,,SF,W 18-15,,0,1,0,3,0,0,15,,6
Jets ,,Jax,W 23-20,,0,1,0,1,0,0,14,,4
Browns ,,Cin,L 7-31,,0,0,1,3,0,0,31,,3
Colts ,,@Sea,L 18-46,,0,2,0,3,1,0,34,,3
Rams ,,@Dal,W 35-30,,0,1,1,2,0,0,30,,2
Patriots ,,Car,L 30-33,,0,1,1,2,0,0,33,,2
Ravens ,,Pit,L 9-26,,0,1,0,1,0,0,26,,2
Bears ,,@GB,L 14-35,,0,0,0,2,0,0,35,,1
Dolphins ,,NO,L 0-20,,0,0,0,1,0,0,20,,1
Eagles ,,@LAC,W 26-24,,0,0,1,2,0,0,24,,1
Redskins ,,@KC,L 20-29,,0,0,0,4,0,0,23,,1
Panthers ,,@NE,W 33-30,,0,0,0,3,0,0,30,,1
Buccaneers ,,NYG,W 25-23,,0,0,0,0,0,0,23,,-1
Giants ,,@TB,L 23-25,,0,0,0,1,0,0,25,,-2
Titans ,,@Hou,L 14-57,,0,1,0,2,0,0,51,,-4
Chargers ,,Phi,L 24-26,,0,0,0,1,0,0,26,,-4
Cowboys ,,LAR,L 30-35,,0,0,0,1,0,0,35,,-5
