PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Seth Roberts,,LAC,L 16-17,,0/0,0,0,0,,0,0,0,,3,35,0,3,,0,0,0,,6.5
Justin Hardy,,Mia,L 17-20,,0/0,0,0,0,,0,0,0,,3,34,0,3,,0,0,0,,6.4
JuJu Smith-Schuster,,@KC,W 19-13,,0/0,0,0,0,,0,0,0,,3,32,0,3,,0,0,0,,6.2
Mike Wallace,,Chi,L 24-27,,0/0,0,0,0,,0,0,0,,3,30,0,5,,0,0,0,,6
Pharoh Cooper,,@Jax,W 27-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,1,,6
Randall Cobb,,@Min,L 10-23,,0/0,0,0,0,,0,0,0,,3,28,0,3,,0,0,0,,5.8
Mack Hollins,,@Car,W 28-23,,0/0,0,0,0,,0,0,0,,2,38,0,2,,0,0,0,,5.8
Kendall Wright,,@Bal,W 27-24,,0/0,0,0,0,,0,0,0,,2,36,0,3,,0,0,0,,5.6
Jamison Crowder,,SF,W 26-24,,0/0,0,0,0,,1,11,0,,3,15,0,5,,0,0,0,,5.6
Jordan Taylor,,NYG,L 10-23,,0/0,0,0,0,,0,0,0,,3,26,0,4,,0,0,0,,5.6
Ricardo Louis,,@Hou,L 17-33,,0/0,0,0,0,,0,0,0,,3,25,0,7,,0,0,0,,5.5
Cooper Kupp,,@Jax,W 27-17,,0/0,0,0,0,,0,0,0,,2,35,0,3,,0,0,0,,5.5
Terrelle Pryor Sr.*,,SF,W 26-24,,0/0,0,0,0,,0,0,0,,3,23,0,5,,0,0,0,,5.3
Marquise Goodwin,,@Wsh,L 24-26,,0/0,0,0,0,,1,6,0,,2,26,0,5,,0,0,0,,5.2
Bennie Fowler III,,NYG,L 10-23,,0/0,0,0,0,,0,0,0,,3,21,0,8,,0,0,0,,5.1
Martavis Bryant,,@KC,W 19-13,,0/0,0,0,0,,0,0,0,,2,27,0,3,,0,0,0,,4.7
Brandon Coleman,,Det,W 52-38,,0/0,0,0,0,,0,0,0,,2,23,0,5,,0,0,0,,4.3
Bruce Ellington*,,Cle,W 33-17,,0/0,0,0,0,,0,0,0,,2,22,0,3,,0,0,0,,4.2
Kamar Aiken,,@Ten,L 22-36,,0/0,0,0,0,,0,0,0,,2,21,0,4,,0,0,0,,4.1
Michael Thomas,,Det,W 52-38,,0/0,0,0,0,,0,0,0,,3,11,0,5,,0,0,0,,4.1
Jaron Brown,,TB,W 38-33,,0/0,0,0,0,,0,0,0,,1,30,0,1,,0,0,0,,4
Tyrell Williams,,@Oak,W 17-16,,0/0,0,0,0,,0,0,0,,3,27,0,3,,0,1,0,,3.7
Russell Shepard,,Phi,L 23-28,,0/0,0,0,0,,0,0,0,,2,12,0,6,,0,0,0,,3.2
Trent Taylor,,@Wsh,L 24-26,,0/0,0,0,0,,0,0,0,,2,11,0,5,,0,0,0,,3.1
Bryce Treggs,,@Hou,L 17-33,,0/0,0,0,0,,0,0,0,,1,20,0,3,,0,0,0,,3
Chris Hogan*,,@NYJ,W 24-17,,0/0,0,0,0,,0,0,0,,1,19,0,4,,0,0,0,,2.9
T.Y. Hilton,,@Ten,L 22-36,,0/0,0,0,0,,0,0,0,,1,19,0,4,,0,0,0,,2.9
Demarcus Robinson,,Pit,L 13-19,,0/0,0,0,0,,0,0,0,,1,16,0,5,,0,0,0,,2.6
Marcus Johnson,,@Car,W 28-23,,0/0,0,0,0,,0,0,0,,1,16,0,1,,0,0,0,,2.6
Roger Lewis,,@Den,W 23-10,,0/0,0,0,0,,0,0,0,,1,15,0,2,,0,0,0,,2.5
Mike Williams,,@Oak,W 17-16,,0/0,0,0,0,,0,0,0,,1,15,0,1,,0,0,0,,2.5
Rashard Higgins,,@Hou,L 17-33,,0/0,0,0,0,,0,0,0,,1,13,0,2,,0,0,0,,2.3
Sammy Watkins,,@Jax,W 27-17,,0/0,0,0,0,,0,0,0,,1,11,0,4,,0,0,0,,2.1
Willie Snead,,Det,W 52-38,,0/0,0,0,0,,0,0,0,,1,11,0,3,,0,0,0,,2.1
Sammie Coates,,@Hou,L 17-33,,0/0,0,0,0,,0,0,0,,1,11,0,2,,0,0,0,,2.1
Chris Godwin,,@Ari,L 33-38,,0/0,0,0,0,,0,0,0,,1,9,0,1,,0,0,0,,1.9
ArDarius Stewart,,NE,L 17-24,,0/0,0,0,0,,1,6,0,,1,2,0,2,,0,0,0,,1.8
Tavarres King*,,@Den,W 23-10,,0/0,0,0,0,,0,0,0,,1,7,0,3,,0,0,0,,1.7
Jared Abbrederis,,@NO,L 38-52,,0/0,0,0,0,,0,0,0,,1,7,0,4,,0,0,0,,1.7
Geronimo Allison,,@Min,L 10-23,,0/0,0,0,0,,0,0,0,,1,7,0,2,,0,0,0,,1.7
Keelan Cole,,LAR,L 17-27,,0/0,0,0,0,,0,0,0,,1,7,0,2,,0,0,0,,1.7
Torrey Smith,,@Car,W 28-23,,0/0,0,0,0,,0,0,0,,1,6,0,2,,0,0,0,,1.6
J.J. Nelson,,TB,W 38-33,,0/0,0,0,0,,1,16,0,,0,0,0,1,,0,0,0,,1.6
Michael Floyd,,GB,W 23-10,,0/0,0,0,0,,0,0,0,,1,5,0,3,,0,0,0,,1.5
Chris Matthews,,Chi,L 24-27,,0/0,0,0,0,,0,0,0,,1,5,0,3,,0,0,0,,1.5
Jakeem Grant,,@Atl,W 20-17,,0/0,0,0,0,,0,0,0,,1,4,0,1,,0,0,0,,1.4
Isaiah McKenzie,,NYG,L 10-23,,0/0,0,0,0,,0,0,0,,1,0,0,2,,0,0,0,,1
Curtis Samuel*,,Phi,L 23-28,,0/0,0,0,0,,1,8,0,,0,0,0,0,,0,0,0,,0.8
Bernard Reedy,,@NYJ,W 24-17,,0/0,0,0,0,,1,4,0,,0,0,0,0,,0,0,0,,0.4
Steve Smith Sr.,,Chi,L 24-27,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Andre Johnson,,Ind,W 36-22,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jerricho Cotchery,,Phi,L 23-28,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
