PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Jaguars ,,@Cle,W 19-7,,1,2,3,5,0,0,7,,27
Chargers ,,Buf,W 54-24,,2,5,1,1,0,0,24,,24
Eagles ,,@Dal,W 37-9,,1,3,1,4,0,0,9,,23
Ravens ,,@GB,W 23-0,,0,3,2,6,0,0,0,,23
Steelers ,,Ten,W 40-17,,0,4,0,5,0,1,17,,16
Buccaneers ,,@Mia,W 30-20,,1,3,2,1,0,0,20,,14
Falcons ,,@Sea,W 34-31,,1,1,1,3,0,0,31,,11
Bengals ,,@Den,W 20-17,,0,1,1,3,0,1,17,,10
Browns ,,Jax,L 7-19,,0,0,1,2,0,0,13,,9
Vikings ,,LAR,W 24-7,,0,0,1,2,0,0,7,,9
Giants ,,KC,W 12-9,,0,3,0,1,0,0,9,,9
Lions ,,@Chi,W 27-24,,1,0,1,1,0,0,24,,8
Patriots ,,@Oak,W 33-8,,0,1,1,1,0,0,8,,8
Texans ,,Ari,W 31-21,,0,2,0,2,0,0,21,,8
Broncos ,,Cin,L 17-20,,0,0,0,2,0,1,20,,7
Packers ,,Bal,L 0-23,,0,1,0,3,0,0,23,,7
Chiefs ,,@NYG,L 9-12,,0,1,0,0,0,0,12,,5
Bears ,,Det,L 24-27,,0,0,1,3,0,0,21,,4
Seahawks ,,Atl,L 31-34,,0,0,1,1,0,0,28,,4
Cardinals ,,@Hou,L 21-31,,0,1,1,1,0,0,31,,3
Dolphins ,,TB,L 20-30,,0,0,0,1,0,0,24,,1
Titans ,,@Pit,L 17-40,,0,0,0,3,0,0,40,,0
Cowboys ,,Phi,L 9-37,,0,0,0,0,0,0,31,,-2
Raiders ,,NE,L 8-33,,0,0,0,1,0,0,33,,-3
Redskins ,,@NO,L 31-34,,0,1,0,2,0,0,34,,-3
Saints ,,Wsh,W 34-31,,0,0,0,2,0,0,31,,-4
Bills ,,@LAC,L 24-54,,0,0,0,1,0,0,42,,-5
Rams ,,@Min,L 7-24,,0,0,0,0,0,0,24,,-5
Colts ,,** BYE **,,--,--,--,--,--,--,--,,--
Jets ,,** BYE **,,--,--,--,--,--,--,--,,--
49ers ,,** BYE **,,--,--,--,--,--,--,--,,--
Panthers ,,** BYE **,,--,--,--,--,--,--,--,,--
