PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Eagles ,,Oak,W 19-10,,1,2,3,1,0,0,10,,22
Cardinals ,,NYG,W 23-0,,1,2,1,2,0,0,0,,21
Seahawks ,,@Dal,W 21-12,,1,2,1,4,0,0,12,,21
Steelers ,,@Hou,W 34-6,,0,1,1,7,0,0,6,,17
Panthers ,,TB,W 22-19,,1,0,3,6,0,0,19,,17
Chargers ,,@NYJ,W 14-7,,0,1,2,3,0,0,7,,14
Bears ,,Cle,W 20-3,,0,2,1,1,0,0,3,,13
Redskins ,,Den,W 27-11,,0,1,2,4,0,0,11,,13
Vikings ,,@GB,W 16-0,,0,2,0,1,0,0,0,,12
Saints ,,Atl,W 23-13,,0,1,1,5,0,0,13,,12
Raiders ,,@Phi,L 10-19,,0,1,1,2,0,0,13,,11
Browns ,,@Chi,L 3-20,,0,0,0,5,0,1,20,,9
Patriots ,,Buf,W 37-16,,0,0,0,6,0,0,10,,9
Giants ,,@Ari,L 0-23,,0,2,0,2,0,0,17,,9
Buccaneers ,,@Car,L 19-22,,0,1,0,2,0,1,22,,8
Bengals ,,Det,W 26-17,,0,1,0,2,0,0,17,,7
Cowboys ,,Sea,L 12-21,,0,0,0,3,0,0,15,,7
Chiefs ,,Mia,W 29-13,,0,0,2,0,0,0,13,,7
49ers ,,Jax,W 44-33,,1,3,0,1,0,0,33,,7
Ravens ,,Ind,W 23-16,,0,0,0,2,0,1,16,,7
Packers ,,Min,L 0-16,,0,0,0,3,0,0,16,,6
Titans ,,LAR,L 23-27,,1,0,1,1,0,0,27,,6
Bills ,,@NE,L 16-37,,1,1,0,2,0,0,37,,4
Lions ,,@Cin,L 17-26,,0,1,0,3,0,0,26,,4
Falcons ,,@NO,L 13-23,,0,1,0,1,0,0,23,,3
Broncos ,,@Wsh,L 11-27,,0,1,1,0,0,0,27,,3
Colts ,,@Bal,L 16-23,,0,0,0,1,0,1,23,,3
Rams ,,@Ten,W 27-23,,0,1,0,1,0,0,17,,3
Jaguars ,,@SF,L 33-44,,0,1,0,1,0,1,38,,3
Jets ,,LAC,L 7-14,,0,0,0,0,0,0,14,,0
Texans ,,Pit,L 6-34,,0,0,0,0,0,0,34,,-1
Dolphins ,,@KC,L 13-29,,0,0,0,1,0,0,29,,-3
