PLAYER,,OPP,STATUS ET,,C/A,YDS,TD,INT,,RUSH,YDS,TD,,REC,YDS,TD,TAR,,2PC,FUML,TD,,PTS
Deshaun Watson*,,Ten,W 57-14,,25/34,283,4,1,,4,24,1,,0,0,0,0,,0,0,0,,33.7
Cam Newton,,@NE,W 33-30,,22/29,316,3,1,,8,44,1,,0,0,0,0,,0,0,0,,33
Andy Dalton,,@Cle,W 31-7,,25/30,286,4,0,,4,29,0,,0,0,0,0,,0,1,0,,28.3
Eli Manning,,@TB,L 23-25,,30/49,288,2,0,,3,22,1,,0,0,0,0,,0,0,0,,27.7
Russell Wilson,,Ind,W 46-18,,21/26,295,2,2,,4,38,1,,0,0,0,0,,1,0,0,,27.6
Alex Smith,,Wsh,W 29-20,,27/37,293,1,0,,7,56,1,,0,0,0,0,,0,0,0,,27.3
Jameis Winston,,NYG,W 25-23,,22/38,332,3,0,,4,12,0,,0,0,0,0,,0,0,0,,26.5
Aaron Rodgers*,,Chi,W 35-14,,18/26,179,4,0,,1,-1,0,,0,0,0,0,,0,0,0,,23.1
Dak Prescott,,LAR,L 30-35,,20/36,252,3,1,,3,25,0,,0,0,0,0,,0,0,0,,22.6
Kirk Cousins,,@KC,L 20-29,,14/24,220,2,0,,7,38,0,,0,0,0,0,,0,0,0,,20.6
Tom Brady,,Car,L 30-33,,32/45,307,2,0,,1,2,0,,0,0,0,0,,0,0,0,,20.5
Philip Rivers,,Phi,L 24-26,,22/38,347,2,0,,0,0,0,,0,0,0,0,,0,1,0,,19.9
Drew Brees,,@Mia,W 20-0,,29/41,268,2,0,,4,3,0,,0,0,0,0,,0,0,0,,19
Jared Goff,,@Dal,W 35-30,,21/36,255,2,0,,1,-1,0,,0,0,0,0,,0,0,0,,18.1
Carson Palmer,,SF,W 18-15,,33/51,357,1,1,,2,1,0,,0,0,0,0,,0,0,0,,16.4
Marcus Mariota,,@Hou,L 14-57,,6/10,96,0,2,,4,39,2,,0,0,0,0,,0,0,0,,15.7
Carson Wentz*,,@LAC,W 26-24,,17/31,242,1,0,,6,14,0,,0,0,0,0,,0,0,0,,15.1
Tyrod Taylor,,@Atl,W 23-17,,12/20,182,1,0,,7,12,0,,0,0,0,0,,0,0,0,,12.5
Blake Bortles,,@NYJ,L 20-23,,15/35,140,1,1,,4,38,0,,0,0,0,0,,0,0,0,,11.4
Trevor Siemian*,,Oak,W 16-10,,16/26,179,1,0,,4,1,0,,0,0,0,0,,0,0,0,,11.3
Ben Roethlisberger,,@Bal,W 26-9,,18/30,216,1,1,,1,-1,0,,0,0,0,0,,0,0,0,,10.5
Matthew Stafford,,@Min,W 14-7,,19/31,209,0,0,,3,-3,0,,0,0,0,0,,1,0,0,,10.1
Derek Carr,,@Den,L 10-16,,10/18,143,1,0,,0,0,0,,0,0,0,0,,0,0,0,,9.7
Jacoby Brissett,,@Sea,L 18-46,,16/29,157,1,1,,3,33,0,,0,0,0,0,,0,1,0,,9.6
Joe Flacco,,Pit,L 9-26,,31/49,235,1,2,,0,0,0,,0,0,0,0,,0,0,0,,9.4
Case Keenum,,Det,L 7-14,,16/30,219,0,0,,0,0,0,,0,0,0,0,,0,0,0,,8.8
Matt Ryan,,Buf,L 17-23,,24/42,242,1,2,,1,8,0,,0,0,0,0,,0,1,0,,8.5
Brian Hoyer,,Car,L 30-33,,24/49,234,0,1,,1,3,0,,0,0,0,0,,0,0,0,,7.7
Jay Cutler,,NO,L 0-20,,20/28,164,0,1,,1,5,0,,0,0,0,0,,0,0,0,,5.1
Josh McCown*,,Jax,W 23-20,,22/31,224,0,1,,1,0,0,,0,0,0,0,,0,1,0,,5
Mike Glennon,,@GB,L 14-35,,21/33,218,1,2,,1,0,0,,0,0,0,0,,0,2,0,,4.7
DeShone Kizer,,Cin,L 7-31,,16/34,118,0,1,,5,10,0,,0,0,0,0,,0,0,0,,3.7
Kevin Hogan,,Cin,L 7-31,,5/8,65,0,0,,0,0,0,,0,0,0,0,,0,0,0,,2.6
EJ Manuel,,@Den,L 10-16,,11/17,106,0,1,,0,0,0,,0,0,0,0,,0,0,0,,2.2
Mike Vick,,@Bal,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Shaun Hill,,Det,L 7-14,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tony Romo,,LAR,L 30-35,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Schaub,,Buf,L 17-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Luke McCown,,LAR,L 30-35,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Dan Orlovsky,,@Dal,W 35-30,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Derek Anderson,,@NE,W 33-30,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ryan Fitzpatrick,,NYG,W 25-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Kellen Clemens,,Phi,L 24-26,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Tarvaris Jackson,,Ind,W 46-18,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Charlie Whitehurst,,Cin,L 7-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Bruce Gradkowski,,@Bal,W 26-9,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Drew Stanton,,SF,W 18-15,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Moore*,,NO,L 0-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Chad Henne,,@NYJ,L 20-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Josh Johnson,,Ten,W 57-14,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Matt Flynn,,@Mia,W 20-0,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Chase Daniel,,@Mia,W 20-0,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Josh Freeman,,@Sea,L 18-46,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Mark Sanchez,,@GB,L 14-35,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Sam Bradford*,,Det,L 7-14,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jimmy Clausen,,Pit,L 9-26,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Colt McCoy,,@KC,L 20-29,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Dan LeFevour,,NYG,W 25-23,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Joe Webb,,@Atl,W 23-17,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Thaddeus Lewis,,Pit,L 9-26,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Christian Ponder,,@Ari,L 15-18,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Blaine Gabbert,,SF,W 18-15,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Colin Kaepernick,,@Ari,L 15-18,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ryan Mallett,,Pit,L 9-26,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
T.J. Yates,,Ten,W 57-14,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Jerrod Johnson,,LAR,L 30-35,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Scott Tolzien,,@Sea,L 18-46,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Andrew Luck*,,@Sea,L 18-46,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Robert Griffin III,,Cin,L 7-31,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Ryan Tannehill*,,NO,L 0-20,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Nick Foles,,@LAC,W 26-24,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Brandon Weeden*,,@Hou,L 14-57,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
Brock Osweiler,,Oak,W 16-10,,0/0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0
