PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Ravens ,,@Cle,W 27-10,,1,2,2,2,0,0,10,,21
Rams ,,@Sea,W 42-7,,0,0,2,7,1,0,7,,19
Vikings ,,Cin,W 34-7,,1,2,0,3,0,0,7,,19
Chiefs ,,LAC,W 30-13,,0,3,1,2,0,0,13,,13
Redskins ,,Ari,W 20-15,,0,1,1,5,0,0,15,,12
Jaguars ,,Hou,W 45-7,,0,1,0,4,0,0,7,,12
Lions ,,Chi,W 20-10,,0,3,0,2,0,0,10,,11
Bills ,,Mia,W 24-16,,0,3,0,3,0,0,16,,10
Panthers ,,GB,W 31-24,,0,3,1,3,0,0,24,,10
Bears ,,@Det,L 10-20,,0,0,1,4,0,0,20,,8
Saints ,,NYJ,W 31-19,,0,2,0,1,0,0,19,,7
Broncos ,,@Ind,W 25-13,,0,0,0,1,0,0,13,,6
Raiders ,,Dal,L 17-20,,0,2,0,2,0,0,20,,6
Cardinals ,,@Wsh,L 15-20,,0,0,1,1,0,0,20,,5
Falcons ,,@TB,W 24-21,,0,0,1,2,0,0,21,,3
Bengals ,,@Min,L 7-34,,0,1,0,2,0,0,28,,3
Cowboys ,,@Oak,W 20-17,,0,0,0,0,0,0,17,,3
Steelers ,,NE,L 24-27,,0,1,0,2,0,0,27,,3
49ers ,,Ten,W 25-23,,0,0,1,1,0,0,23,,3
Dolphins ,,@Buf,L 16-24,,0,0,0,2,0,0,24,,2
Jets ,,@NO,L 19-31,,0,1,2,0,0,0,31,,2
Eagles ,,@NYG,W 34-29,,0,1,0,1,0,3,29,,2
Patriots ,,@Pit,W 27-24,,0,1,0,2,0,0,24,,1
Browns ,,Bal,L 10-27,,0,0,0,1,0,0,21,,0
Titans ,,@SF,L 23-25,,0,0,0,3,0,0,25,,0
Giants ,,Phi,L 29-34,,0,0,0,1,0,0,34,,0
Seahawks ,,LAR,L 7-42,,0,1,0,2,0,0,40,,0
Buccaneers ,,Atl,L 21-24,,0,0,0,1,0,1,24,,0
Packers ,,@Car,L 24-31,,0,0,0,1,0,0,31,,-1
Colts ,,Den,L 13-25,,0,1,0,2,0,0,25,,-1
Chargers ,,@KC,L 13-30,,0,0,0,1,0,0,30,,-1
Texans ,,@Jax,L 7-45,,0,0,0,1,0,0,45,,-7
