PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Jaguars ,,@Pit,W 30-9,,2,5,0,2,0,0,9,,26
Dolphins ,,Ten,W 16-10,,1,0,2,6,0,0,10,,22
Ravens ,,@Oak,W 30-17,,1,0,1,3,0,0,17,,14
Seahawks ,,@LAR,W 16-10,,0,2,2,2,0,0,10,,12
Bengals ,,Buf,W 20-16,,0,1,0,6,0,0,16,,11
Titans ,,@Mia,L 10-16,,0,1,1,1,0,0,10,,11
Rams ,,Sea,L 10-16,,0,2,0,3,0,0,16,,10
Panthers ,,@Det,W 27-24,,0,0,1,6,0,0,24,,10
Packers ,,@Dal,W 35-31,,1,1,2,1,0,0,31,,9
Chiefs ,,@Hou,W 42-34,,1,0,1,3,0,0,34,,9
Chargers ,,@NYG,W 27-22,,0,1,1,5,0,0,20,,9
Browns ,,NYJ,L 14-17,,0,1,0,3,0,0,17,,8
Vikings ,,@Chi,W 20-17,,0,1,1,1,0,0,15,,8
Eagles ,,Ari,W 34-7,,0,0,0,2,0,1,7,,7
Bills ,,@Cin,L 16-20,,0,2,1,1,0,0,20,,6
Bears ,,Min,L 17-20,,0,0,0,4,1,0,20,,6
Cowboys ,,GB,L 31-35,,0,0,1,4,0,0,29,,5
Jets ,,@Cle,W 17-14,,0,2,1,1,0,0,14,,5
Steelers ,,Jax,L 9-30,,0,1,0,2,0,0,18,,4
Buccaneers ,,NE,L 14-19,,0,1,1,3,0,0,19,,4
Giants ,,LAC,L 22-27,,0,1,0,0,1,0,27,,3
49ers ,,@Ind,L 23-26,,0,1,0,4,0,0,26,,3
Lions ,,Car,L 24-27,,0,0,0,3,0,0,27,,2
Patriots ,,@TB,W 19-14,,0,0,0,2,0,0,14,,0
Colts ,,SF,W 26-23,,0,0,0,2,0,0,23,,-1
Raiders ,,Bal,L 17-30,,0,0,0,0,0,0,24,,-1
Cardinals ,,@Phi,L 7-34,,0,1,0,1,0,0,34,,-1
Texans ,,KC,L 34-42,,0,0,0,1,0,0,42,,-7
Falcons ,,** BYE **,,--,--,--,--,--,--,--,,--
Broncos ,,** BYE **,,--,--,--,--,--,--,--,,--
Saints ,,** BYE **,,--,--,--,--,--,--,--,,--
Redskins ,,** BYE **,,--,--,--,--,--,--,--,,--
