PLAYER,,OPP,STATUS ET,,TD,INT,FR,SCK,SFTY,BLK,PA,,PTS
Bears ,,Car,W 17-3,,2,2,1,5,0,0,3,,29
Chargers ,,Den,W 21-0,,1,1,2,5,0,0,0,,24
Jaguars ,,@Ind,W 27-0,,0,0,0,10,0,0,0,,17
Cowboys ,,@SF,W 40-10,,0,0,3,5,0,0,10,,16
Rams ,,Ari,W 33-0,,0,2,0,3,0,0,0,,15
Titans ,,@Cle,W 12-9,,0,3,0,2,0,0,9,,13
Panthers ,,@Chi,L 3-17,,0,0,0,4,0,1,5,,13
Steelers ,,Cin,W 29-14,,0,2,0,4,0,0,14,,12
Browns ,,Ten,L 9-12,,0,0,1,2,0,0,12,,9
Seahawks ,,@NYG,W 24-7,,0,0,1,1,0,0,7,,9
Dolphins ,,NYJ,W 31-28,,0,1,1,3,0,0,28,,8
Vikings ,,Bal,W 24-16,,0,0,0,5,0,0,16,,8
Patriots ,,Atl,W 23-7,,0,0,0,1,0,1,7,,6
Saints ,,@GB,W 26-17,,0,1,0,1,0,0,17,,6
Eagles ,,Wsh,W 34-24,,0,1,0,4,0,0,24,,6
Broncos ,,@LAC,L 0-21,,0,0,0,3,0,0,21,,5
Jets ,,@Mia,L 28-31,,0,2,0,3,0,0,31,,5
Bills ,,TB,W 30-27,,0,1,2,1,0,0,27,,4
Redskins ,,@Phi,L 24-34,,0,1,0,3,0,0,34,,3
Packers ,,NO,L 17-26,,0,2,0,1,0,1,26,,2
Ravens ,,@Min,L 16-24,,0,1,0,0,0,0,24,,1
Giants ,,Sea,L 7-24,,0,0,1,1,0,0,24,,0
Falcons ,,@NE,L 7-23,,0,0,0,2,0,0,23,,-1
Colts ,,Jax,L 0-27,,0,0,2,1,0,0,27,,-1
Cardinals ,,@LAR,L 0-33,,0,1,0,1,0,0,33,,-1
Buccaneers ,,@Buf,L 27-30,,0,0,1,1,0,0,30,,-1
Raiders ,,KC,W 31-30,,0,0,0,1,0,0,30,,-3
Bengals ,,@Pit,L 14-29,,0,0,0,0,0,0,29,,-4
Chiefs ,,@Oak,L 30-31,,0,0,0,0,0,1,31,,-5
49ers ,,Dal,L 10-40,,0,0,0,0,0,0,40,,-9
Lions ,,** BYE **,,--,--,--,--,--,--,--,,--
Texans ,,** BYE **,,--,--,--,--,--,--,--,,--
