PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Stephen Gostkowski,,@Oak,W 33-8,,1/1,1/1,2/2,4/4,3/3,,20
Chris Boswell,,Ten,W 40-17,,2/2,1/1,1/1,4/4,4/4,,19
Nick Novak*,,Buf,W 54-24,,4/4,0/1,0/0,4/5,6/6,,17
Wil Lutz,,Wsh,W 34-31,,2/2,1/1,1/1,4/4,2/2,,17
Matt Bryant,,@Sea,W 34-31,,1/1,1/1,0/0,2/2,4/4,,11
Mike Nugent,,Det,L 24-27,,1/1,2/2,0/0,3/3,0/0,,11
Matt Prater,,@Chi,W 27-24,,1/1,0/0,1/1,2/2,3/3,,11
Blair Walsh,,Atl,L 31-34,,2/2,1/1,0/1,3/4,2/2,,11
Justin Tucker,,@GB,W 23-0,,3/3,0/0,0/0,3/3,2/2,,11
Patrick Murray,,@Mia,W 30-20,,3/3,0/1,0/0,3/4,3/3,,11
Harrison Butker,,@NYG,L 9-12,,3/3,0/0,0/0,3/3,0/0,,9
Stephen Hauschka,,@LAC,L 24-54,,0/0,0/0,1/1,1/1,3/3,,8
Cody Parkey,,TB,L 20-30,,2/2,0/0,0/0,2/2,2/2,,8
Ka'imi Fairbairn,,Ari,W 31-21,,1/1,0/0,0/0,1/1,4/4,,7
Nick Rose,,Buf,W 54-24,,1/1,0/0,0/0,1/1,4/4,,7
Josh Lambo,,@Cle,W 19-7,,2/2,0/1,0/0,2/3,1/1,,6
Aldrick Rosas,,KC,W 12-9,,2/2,0/0,0/0,2/2,0/1,,6
Connor Barth,,Det,L 24-27,,1/1,0/1,0/0,1/2,3/3,,5
Ryan Succop,,@Pit,L 17-40,,0/0,1/2,0/0,1/2,2/2,,5
Brandon McManus,,Cin,L 17-20,,0/0,1/1,0/1,1/2,2/2,,5
Kai Forbath,,LAR,W 24-7,,1/2,0/1,0/0,1/3,3/3,,4
Phil Dawson,,@Hou,L 21-31,,0/0,0/0,0/0,0/0,3/3,,3
Randy Bullock,,@Den,W 20-17,,0/0,0/0,0/0,0/0,2/3,,2
Greg Zuerlein*,,@Min,L 7-24,,0/0,0/0,0/0,0/0,1/1,,1
Zane Gonzalez,,Jax,L 7-19,,0/0,0/0,0/0,0/0,1/1,,1
Sebastian Janikowski*,,NE,L 8-33,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,@Sea,W 34-31,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,Jax,L 7-19,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,KC,W 12-9,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,Wsh,W 34-31,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,Ten,W 40-17,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,@Mia,W 30-20,,0/0,0/0,0/0,0/0,0/0,,0
Mason Crosby,,Bal,L 0-23,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,Ten,W 40-17,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@LAC,L 24-54,,0/0,0/0,0/0,0/0,0/0,,0
Dan Bailey,,Phi,L 9-37,,0/0,0/0,0/0,0/0,0/0,,0
Giorgio Tavecchio,,NE,L 8-33,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,@Mia,W 30-20,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,@Dal,W 37-9,,0/0,0/0,0/0,0/0,0/0,,0
Dustin Hopkins,,@NO,L 31-34,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,@Mia,W 30-20,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,Buf,W 54-24,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,Det,L 24-27,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@Chi,W 27-24,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@Pit,L 17-40,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,Atl,L 31-34,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,TB,L 20-30,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,Det,L 24-27,,0/0,0/0,0/0,0/0,0/0,,0
Jake Elliott,,@Dal,W 37-9,,0/1,0/0,0/0,0/1,1/1,,0
Younghoe Koo,,Buf,W 54-24,,0/0,0/0,0/0,0/0,0/0,,0
Adam Vinatieri,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Robbie Gould,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Graham Gano,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Chandler Catanzaro,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Kyle Brindza,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,@Min,L 7-24,,--/--,--/--,--/--,--/--,--/--,,--
