PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Greg Zuerlein*,,@NYG,W 51-17,,1/1,2/2,0/0,3/3,6/6,,17
Brandon McManus,,@Phi,L 23-51,,1/1,0/0,2/2,3/3,2/2,,15
Josh Lambo,,Cin,W 23-7,,2/2,0/0,1/1,3/3,2/2,,13
Matt Prater,,@GB,W 30-17,,2/2,1/1,0/1,3/4,3/3,,12
Giorgio Tavecchio,,@Mia,W 27-24,,1/1,0/0,1/1,2/2,3/3,,11
Chandler Catanzaro,,Buf,W 34-21,,1/1,1/1,0/0,2/2,4/4,,11
Adam Vinatieri,,@Hou,W 20-14,,1/1,0/0,1/1,2/2,2/2,,10
Jake Elliott,,Den,W 51-23,,0/0,1/1,0/0,1/1,6/7,,10
Graham Gano,,Atl,W 20-17,,1/1,1/1,0/0,2/2,2/2,,9
Justin Tucker,,@Ten,L 20-23,,1/1,1/1,0/0,2/2,2/2,,9
Phil Dawson,,@SF,W 20-10,,2/3,0/0,0/0,2/3,2/2,,7
Matt Bryant,,@Car,L 17-20,,0/0,0/0,1/1,1/1,2/2,,7
Ryan Succop,,Bal,W 23-20,,0/0,1/1,0/0,1/1,2/3,,6
Wil Lutz,,TB,W 30-10,,0/0,1/2,0/0,1/2,3/4,,6
Aldrick Rosas,,LAR,L 17-51,,0/0,0/1,1/1,1/2,2/2,,6
Robbie Gould,,Ari,L 10-20,,0/0,1/1,0/0,1/1,1/1,,5
Cody Parkey,,Oak,L 24-27,,0/0,1/1,0/0,1/1,1/2,,5
Patrick Murray,,@NO,L 10-30,,0/0,0/0,1/2,1/2,1/1,,5
Harrison Butker,,@Dal,L 17-28,,1/1,0/0,0/0,1/1,2/2,,5
Nick Rose,,** BYE **,,1/1,0/0,0/0,1/1,2/2,,5
Mike Nugent,,** BYE **,,0/0,0/0,0/0,0/0,4/4,,4
Mason Crosby,,Det,L 17-30,,1/2,0/0,0/0,1/2,2/2,,4
Stephen Hauschka,,@NYJ,L 21-34,,0/0,0/0,0/0,0/0,3/3,,3
Ka'imi Fairbairn,,Ind,L 14-20,,0/1,0/0,0/0,0/1,2/2,,1
Sebastian Janikowski*,,@Mia,W 27-24,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,@Car,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,LAR,L 17-51,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,TB,W 30-10,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,@NO,L 10-30,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,@NYJ,L 21-34,,0/0,0/0,0/0,0/0,0/0,,0
Dan Bailey,,KC,W 28-17,,0/0,0/0,0/0,0/0,0/0,,0
Randy Bullock,,@Jax,L 7-23,,0/0,0/0,0/0,0/0,0/0,,0
Brandon Bogotay,,@NO,L 10-30,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,Den,W 51-23,,0/0,0/0,0/0,0/0,0/0,,0
Dustin Hopkins,,@Sea,W 17-14,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,@NO,L 10-30,,0/0,0/0,0/0,0/0,0/0,,0
Travis Coons,,** BYE **,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,** BYE **,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@GB,W 30-17,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,Bal,W 23-20,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,Wsh,L 14-17,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,Buf,W 34-21,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,Oak,L 24-27,,0/0,0/0,0/0,0/0,0/0,,0
Blair Walsh,,Wsh,L 14-17,,0/1,0/2,0/0,0/3,0/0,,-3
Billy Cundiff,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Nick Novak*,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Shaun Suisham,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Stephen Gostkowski,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Garrett Hartley,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Connor Barth,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Kai Forbath,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Chris Boswell,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Roberto Aguayo,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Zane Gonzalez,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Younghoe Koo,,** BYE **,,--/--,--/--,--/--,--/--,--/--,,--
Sam Ficken,,@NYG,W 51-17,,--/--,--/--,--/--,--/--,--/--,,--
