Chg,"Player
Sort First: 



		Last:",Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts
,Graham Gano,CAR,@CHI,3,0,2,0,11.0
,Wil Lutz,NO,@GB,3,0,2,0,11.0
,Justin Tucker,BAL,@MIN,3,0,2,0,11.0
,Harrison Butker,KC,@OAK,2,0,3,0,9.0
,Jake Elliott,PHI,WAS,2,0,3,0,9.0
,Stephen Gostkowski,NE,ATL,2,0,3,0,9.0
,Cody Parkey,MIA,NYJ,2,0,3,0,9.0
,Ryan Succop,TEN,@CLE,2,0,3,0,9.0
,Blair Walsh,SEA,@NYG,2,0,3,0,9.0
,Connor Barth,CHI,CAR,2,0,2,0,8.0
,Matt Bryant,ATL,@NE,2,0,2,0,8.0
,Randy Bullock,CIN,@PIT,2,0,2,0,8.0
,Mason Crosby,GB,NO,2,0,2,0,8.0
,Phil Dawson,ARI,@LAR,2,0,2,0,8.0
,Robbie Gould,SF,DAL,2,0,2,0,8.0
,Brandon McManus,DEN,@LAC,2,0,2,0,8.0
,Patrick Murray,TB,@BUF,2,0,2,0,8.0
,Nick Rose,WAS,@PHI,2,0,2,0,8.0
,Giorgio Tavecchio,OAK,KC,2,0,2,0,8.0
,Dan Bailey,DAL,@SF,1,0,4,0,7.0
,Chris Boswell,PIT,CIN,1,0,3,0,6.0
,Chandler Catanzaro,NYJ,@MIA,1,0,3,0,6.0
,Kai Forbath,MIN,BAL,1,0,3,0,6.0
,Steve Hauschka,BUF,TB,1,0,3,0,6.0
,Josh Lambo,JAC,@IND,1,0,3,0,6.0
,Nick Novak,LAC,DEN,1,0,3,0,6.0
,Adam Vinatieri,IND,JAC,1,0,3,0,6.0
,Greg Zuerlein,LAR,ARI,1,0,3,0,6.0
,Aldrick Rosas,NYG,SEA,1,0,2,0,5.0
,Zane Gonzalez,CLE,TEN,0,0,3,0,3.0
