Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,@HOU,28,125,1,6,45,0,23.0
,Kenyan Drake,MIA,@KC,20,85,1,5,40,0,18.5
,Ezekiel Elliott,DAL,SEA,23,105,1,3,20,0,18.5
,Kareem Hunt,KC,MIA,23,95,1,4,30,0,18.5
,Melvin Gordon,LAC,@NYJ,19,85,0,6,35,1,18.0
,LeSean McCoy,BUF,@NE,21,95,1,3,25,0,18.0
,Todd Gurley,LAR,@TEN,18,80,1,5,35,0,17.5
,Alvin Kamara,NO,ATL,12,60,0,6,50,1,17.0
,Alex Collins,BAL,IND,20,80,1,3,25,0,16.5
,Leonard Fournette,JAC,@SF,21,85,1,2,20,0,16.5
,Dion Lewis,NE,BUF,19,75,1,3,25,0,16.0
,Jamaal Williams,GB,MIN,18,75,1,3,25,0,16.0
,Latavius Murray,MIN,@GB,20,80,1,2,15,0,15.5
,C.J. Anderson,DEN,@WAS,19,75,1,2,15,0,15.0
,Jordan Howard,CHI,CLE,21,85,1,1,5,0,15.0
,Mark Ingram,NO,ATL,16,65,1,4,25,0,15.0
,Carlos Hyde,SF,JAC,16,65,1,2,20,0,14.5
,Jay Ajayi,PHI,OAK,18,70,1,1,10,0,14.0
,Marshawn Lynch,OAK,@PHI,15,60,1,2,15,0,13.5
,Bilal Powell,NYJ,LAC,11,45,1,2,20,0,12.5
,Devonta Freeman,ATL,@NO,20,80,0,3,25,0,10.5
,Jonathan Stewart,CAR,TB,10,40,1,1,5,0,10.5
,Kapri Bibbs,WAS,DEN,14,55,0,4,30,0,8.5
,Christian McCaffrey,CAR,TB,12,35,0,7,50,0,8.5
,Mike Davis,SEA,@DAL,13,60,0,3,20,0,8.0
,Frank Gore,IND,@BAL,16,55,0,2,20,0,7.5
,Joe Mixon,CIN,DET,14,55,0,2,20,0,7.5
,Kerwynn Williams,ARI,NYG,16,55,0,2,20,0,7.5
,Isaiah Crowell,CLE,@CHI,13,50,0,2,20,0,7.0
,Jerick McKinnon,MIN,@GB,7,35,0,4,35,0,7.0
,Lamar Miller,HOU,PIT,14,55,0,2,15,0,7.0
,Peyton Barber,TB,@CAR,12,45,0,2,20,0,6.5
,Wayne Gallman,NYG,@ARI,11,45,0,2,20,0,6.5
,DeMarco Murray,TEN,LAR,12,50,0,2,15,0,6.5
,Duke Johnson,CLE,@CHI,5,20,0,5,40,0,6.0
,Theo Riddick,DET,@CIN,8,30,0,4,30,0,6.0
,Devontae Booker,DEN,@WAS,8,30,0,2,20,0,5.0
,Tevin Coleman,ATL,@NO,7,30,0,2,20,0,5.0
,Mike Gillislee,NE,BUF,8,30,0,2,20,0,5.0
,J.D. McKissic,SEA,@DAL,6,25,0,3,25,0,5.0
,Alfred Blue,HOU,PIT,7,30,0,2,15,0,4.5
,Matt Breida,SF,JAC,8,30,0,2,15,0,4.5
,Orleans Darkwa,NYG,@ARI,7,30,0,2,15,0,4.5
,Matt Forte,NYJ,LAC,8,30,0,2,15,0,4.5
,Aaron Jones,GB,MIN,10,35,0,1,10,0,4.5
,Javorius Allen,BAL,IND,8,30,0,1,10,0,4.0
,Tarik Cohen,CHI,CLE,4,15,0,3,25,0,4.0
,Samaje Perine,WAS,DEN,8,30,0,1,10,0,4.0
,LeGarrette Blount,PHI,OAK,9,35,0,0,0,0,3.5
,Tion Green,DET,@CIN,9,35,0,0,0,0,3.5
