Chg,"Player
Sort First: 



		Last:",Team,Opp,Comp,Att,Yard,TD,INT,Att,Yard,TD,FFPts
,Tom Brady,NE,@DEN,21,32,265,3,0,0,0,0,25.3
,Russell Wilson,SEA,@ARI,23,36,275,2,0,7,35,0,25.3
,Cam Newton,CAR,MIA,19,30,230,2,1,9,50,0,24.5
,Dak Prescott,DAL,@ATL,22,36,250,2,0,4,30,0,23.5
,Kirk Cousins,WAS,MIN,22,36,270,2,1,3,15,0,23.0
,Ryan Fitzpatrick,TB,NYJ,22,36,275,2,2,2,10,0,22.8
,Josh McCown,NYJ,@TB,23,37,275,2,1,2,10,0,22.8
,Jared Goff,LAR,HOU,25,38,265,2,1,3,10,0,22.3
,Matt Ryan,ATL,DAL,25,37,275,2,0,1,5,0,22.3
,Marcus Mariota,TEN,CIN,19,32,240,2,1,4,20,0,22.0
,Matthew Stafford,DET,CLE,23,36,270,2,0,1,5,0,22.0
,Drew Brees,NO,@BUF,25,39,270,2,0,0,0,0,21.5
,Case Keenum,MIN,@WAS,21,36,250,2,1,1,5,0,21.0
,Ben Roethlisberger,PIT,@IND,23,38,260,2,1,0,0,0,21.0
,Eli Manning,NYG,@SF,19,32,250,2,1,0,0,0,20.5
,Tyrod Taylor,BUF,NO,17,29,230,1,0,7,35,0,19.0
,Blake Bortles,JAC,LAC,19,30,230,1,1,5,20,0,17.5
,Andy Dalton,CIN,@TEN,22,35,250,1,1,2,10,0,17.5
,Brett Hundley,GB,@CHI,19,33,215,1,1,5,25,0,17.3
,C.J. Beathard,SF,NYG,18,29,215,1,1,3,20,0,16.8
,Jacoby Brissett,IND,PIT,18,30,215,1,1,5,20,0,16.8
,Jay Cutler,MIA,@CAR,20,34,255,1,1,0,0,0,16.8
,Tom Savage,HOU,@LAR,19,33,230,1,1,1,5,0,16.0
,Brock Osweiler,DEN,NE,19,32,230,1,1,0,0,0,15.5
,Philip Rivers,LAC,@JAC,19,30,230,1,2,0,0,0,15.5
,Mitchell Trubisky,CHI,GB,14,24,175,1,1,8,25,0,15.3
,Drew Stanton,ARI,SEA,17,26,200,1,1,1,5,0,14.5
,DeShone Kizer,CLE,@DET,17,30,180,0,0,5,25,0,11.5
