Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Todd Gurley,LAR,ATL,19,85,1,6,45,1,25.0
,Leonard Fournette,JAC,BUF,28,110,1,3,25,0,19.5
,Kareem Hunt,KC,TEN,23,95,1,4,30,0,18.5
,Devonta Freeman,ATL,@LAR,20,80,1,4,30,0,17.0
,Alvin Kamara,NO,CAR,12,60,0,6,50,1,17.0
,Derrick Henry,TEN,@KC,19,70,1,2,15,0,14.5
,Mark Ingram,NO,CAR,16,65,1,3,20,0,14.5
,Christian McCaffrey,CAR,@NO,12,35,0,6,45,0,8.0
,Marcus Murphy,BUF,@JAC,8,35,0,2,20,0,5.5
,Tevin Coleman,ATL,@LAR,6,25,0,2,20,0,4.5
,Jonathan Stewart,CAR,@NO,9,35,0,1,10,0,4.5
,T.J. Yeldon,JAC,BUF,5,20,0,3,20,0,4.0
,Mike Tolbert,BUF,@JAC,7,20,0,1,10,0,3.0
,Charcandrick West,KC,TEN,3,10,0,1,5,0,1.5
,Malcolm Brown,LAR,ATL,3,10,0,0,0,0,1.0
,David Fluellen,TEN,@KC,3,10,0,0,0,0,1.0
,Chris Ivory,JAC,BUF,3,10,0,0,0,0,1.0
,LeSean McCoy,BUF,@JAC,2,10,0,0,0,0,1.0
