Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Le'Veon Bell,PIT,@CHI,25,100,1,2,25,0,18.5
,Jay Ajayi,MIA,@NYJ,26,105,1,1,10,0,17.5
,Ezekiel Elliott,DAL,@ARI,23,95,1,3,20,0,17.5
,C.J. Anderson,DEN,@BUF,21,85,1,3,25,0,17.0
,LeSean McCoy,BUF,DEN,19,80,1,4,30,0,17.0
,Carlos Hyde,SF,LAR,20,80,1,3,25,0,16.5
,Leonard Fournette,JAC,BAL,19,80,1,2,20,0,16.0
,Melvin Gordon,LAC,KC,18,70,1,5,30,0,16.0
,Kareem Hunt,KC,@LAC,17,75,1,4,25,0,16.0
,Todd Gurley,LAR,@SF,18,65,1,4,30,0,15.5
,Ty Montgomery,GB,CIN,14,50,0,6,45,1,15.5
,Dalvin Cook,MIN,TB,18,70,1,3,20,0,15.0
,Devonta Freeman,ATL,@DET,19,75,1,2,15,0,15.0
,Jacquizz Rodgers,TB,@MIN,18,70,1,1,10,0,14.0
,Javorius Allen,BAL,@JAC,13,50,1,3,25,0,13.5
,Marshawn Lynch,OAK,@WAS,15,65,1,1,10,0,13.5
,Mike Gillislee,NE,HOU,15,60,1,1,10,0,13.0
,Frank Gore,IND,CLE,14,55,1,2,15,0,13.0
,Jonathan Stewart,CAR,NO,15,60,1,1,10,0,13.0
,Isaiah Crowell,CLE,@IND,14,55,1,1,10,0,12.5
,Derrick Henry,TEN,SEA,15,60,1,1,5,0,12.5
,Tevin Coleman,ATL,@DET,8,30,0,3,25,1,11.5
,Mark Ingram,NO,@CAR,16,55,0,4,30,0,8.5
,Lamar Miller,HOU,@NE,16,65,0,2,20,0,8.5
,Ameer Abdullah,DET,ATL,13,50,0,4,30,0,8.0
,Christian McCaffrey,CAR,NO,10,35,0,5,40,0,7.5
,Tarik Cohen,CHI,PIT,6,25,0,6,45,0,7.0
,Matt Forte,NYJ,MIA,10,40,0,4,30,0,7.0
,Joe Mixon,CIN,@GB,13,50,0,2,20,0,7.0
,Giovani Bernard,CIN,@GB,7,30,0,4,35,0,6.5
,Chris Carson,SEA,@TEN,14,55,0,1,10,0,6.5
,Jordan Howard,CHI,PIT,14,55,0,1,10,0,6.5
,Bilal Powell,NYJ,MIA,10,40,0,2,20,0,6.0
,Chris Thompson,WAS,OAK,6,25,0,4,35,0,6.0
,Samaje Perine,WAS,OAK,14,55,0,0,0,0,5.5
,Theo Riddick,DET,ATL,4,15,0,6,40,0,5.5
,Darren Sproles,PHI,NYG,8,30,0,3,25,0,5.5
,James White,NE,HOU,3,15,0,6,40,0,5.5
,Jamaal Charles,DEN,@BUF,10,40,0,1,10,0,5.0
,Duke Johnson,CLE,@IND,4,15,0,4,35,0,5.0
,Alvin Kamara,NO,@CAR,4,15,0,4,35,0,5.0
,DeMarco Murray,TEN,SEA,9,40,0,1,10,0,5.0
,Shane Vereen,NYG,@PHI,5,20,0,4,30,0,5.0
,Terrance West,BAL,@JAC,10,40,0,1,10,0,5.0
,Chris Ivory,JAC,BAL,6,25,0,2,20,0,4.5
,Chris Johnson,ARI,DAL,9,40,0,1,5,0,4.5
,LeGarrette Blount,PHI,NYG,10,40,0,0,0,0,4.0
,Jerick McKinnon,MIN,TB,4,15,0,2,20,0,3.5
,Thomas Rawls,SEA,@TEN,6,25,0,2,10,0,3.5
,Charles Sims,TB,@MIN,4,15,0,2,20,0,3.5
