Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Travis Kelce,KC,OAK,6,80,1,14.0
,Evan Engram,NYG,DAL,6,70,1,13.0
,Delanie Walker,TEN,@ARI,6,65,1,12.5
,Jack Doyle,IND,@BUF,7,60,1,12.0
,Hunter Henry,LAC,WAS,5,60,1,12.0
,Stephen Anderson,HOU,SF,5,55,1,11.5
,Greg Olsen,CAR,MIN,5,55,1,11.5
,Jason Witten,DAL,@NYG,6,55,1,11.5
,Trey Burton,PHI,@LAR,4,50,1,11.0
,Jimmy Graham,SEA,@JAC,5,50,1,11.0
,Kyle Rudolph,MIN,@CAR,4,40,1,10.0
,Cameron Brate,TB,DET,3,30,1,9.0
,George Kittle,SF,@HOU,2,25,1,8.5
,Vernon Davis,WAS,@LAC,5,60,0,6.0
,Jared Cook,OAK,@KC,4,50,0,5.0
,Ricky Seals-Jones,ARI,TEN,4,40,0,4.0
,Austin Seferian-Jenkins,NYJ,@DEN,5,40,0,4.0
,Tyler Kroft,CIN,CHI,3,35,0,3.5
,Charles Clay,BUF,IND,3,30,0,3.0
,Austin Hooper,ATL,NO,3,30,0,3.0
,David Njoku,CLE,GB,2,30,0,3.0
,Julius Thomas,MIA,NE,3,30,0,3.0
,Ben Watson,BAL,@PIT,3,30,0,3.0
,Brent Celek,PHI,@LAR,2,25,0,2.5
,Eric Ebron,DET,@TB,2,25,0,2.5
,Jesse James,PIT,BAL,2,25,0,2.5
,Adam Shaheen,CHI,@CIN,2,25,0,2.5
,Dwayne Allen,NE,@MIA,2,20,0,2.0
,Virgil Green,DEN,NYJ,2,20,0,2.0
,Tyler Higbee,LAR,PHI,2,20,0,2.0
,Josh Hill,NO,@ATL,2,20,0,2.0
,O.J. Howard,TB,DET,2,20,0,2.0
,Marcedes Lewis,JAC,SEA,2,20,0,2.0
,Richard Rodgers,GB,@CLE,2,20,0,2.0
,Garrett Celek,SF,@HOU,1,15,0,1.5
,Seth Devalve,CLE,GB,1,15,0,1.5
,Ed Dickson,CAR,MIN,1,15,0,1.5
,Gerald Everett,LAR,PHI,1,15,0,1.5
,Antonio Gates,LAC,WAS,1,15,0,1.5
,Zach Ertz,PHI,@LAR,1,10,0,1.0
,Darren Fells,DET,@TB,1,10,0,1.0
,Jermaine Gresham,ARI,TEN,1,10,0,1.0
,Lance Kendricks,GB,@CLE,1,10,0,1.0
,Dion Sims,CHI,@CIN,1,10,0,1.0
