Chg,"Player
Sort First: 



		Last:",Team,Opp,Att,Yard,TD,Rec,Yard,TD,FFPts
,Todd Gurley,LAR,HOU,25,110,1,5,35,0,20.5
,Le'Veon Bell,PIT,@IND,25,110,1,3,30,0,20.0
,Leonard Fournette,JAC,LAC,24,105,1,2,20,0,18.5
,Jordan Howard,CHI,GB,27,110,1,1,10,0,18.0
,LeSean McCoy,BUF,NO,23,90,1,3,25,0,17.5
,Melvin Gordon,LAC,@JAC,21,85,1,4,25,0,17.0
,Joe Mixon,CIN,@TEN,18,70,1,4,30,0,16.0
,Orleans Darkwa,NYG,@SF,19,80,1,2,15,0,15.5
,Carlos Hyde,SF,NYG,14,55,1,5,40,0,15.5
,Mark Ingram,NO,@BUF,16,70,1,3,20,0,15.0
,Christian McCaffrey,CAR,MIA,15,45,0,6,45,1,15.0
,Alvin Kamara,NO,@BUF,12,40,0,6,45,1,14.5
,Alfred Morris,DAL,@ATL,20,80,1,0,0,0,14.0
,Bilal Powell,NYJ,@TB,19,80,0,3,25,0,10.5
,Lamar Miller,HOU,@LAR,16,65,0,4,30,0,9.5
,Jerick McKinnon,MIN,@WAS,15,55,0,4,30,0,8.5
,Adrian Peterson,ARI,SEA,19,80,0,1,5,0,8.5
,Isaiah Crowell,CLE,@DET,14,55,0,3,25,0,8.0
,Devonta Freeman,ATL,DAL,14,60,0,2,20,0,8.0
,Kenyan Drake,MIA,@CAR,13,50,0,3,25,0,7.5
,Doug Martin,TB,NYJ,14,60,0,2,15,0,7.5
,DeMarco Murray,TEN,CIN,11,50,0,3,25,0,7.5
,Chris Thompson,WAS,MIN,8,30,0,6,45,0,7.5
,Frank Gore,IND,PIT,16,55,0,2,15,0,7.0
,Ameer Abdullah,DET,CLE,14,55,0,1,10,0,6.5
,C.J. Anderson,DEN,NE,13,50,0,1,10,0,6.0
,Tevin Coleman,ATL,DAL,8,30,0,4,30,0,6.0
,Duke Johnson,CLE,@DET,9,35,0,3,25,0,6.0
,Damien Williams,MIA,@CAR,10,40,0,2,20,0,6.0
,Aaron Jones,GB,@CHI,13,45,0,1,10,0,5.5
,Ty Montgomery,GB,@CHI,7,25,0,4,30,0,5.5
,Thomas Rawls,SEA,@ARI,11,45,0,2,10,0,5.5
,Rod Smith,DAL,@ATL,8,35,0,2,20,0,5.5
,James White,NE,@DEN,2,10,0,6,45,0,5.5
,Derrick Henry,TEN,CIN,11,45,0,1,5,0,5.0
,Latavius Murray,MIN,@WAS,10,40,0,1,10,0,5.0
,Giovani Bernard,CIN,@TEN,6,25,0,2,20,0,4.5
,Rex Burkhead,NE,@DEN,6,25,0,3,20,0,4.5
,Wayne Gallman,NYG,@SF,9,35,0,1,10,0,4.5
,Chris Ivory,JAC,LAC,5,20,0,3,25,0,4.5
,Marlon Mack,IND,PIT,7,25,0,2,20,0,4.5
,Devontae Booker,DEN,NE,5,20,0,2,20,0,4.0
,Andre Ellington,ARI,SEA,3,10,0,4,30,0,4.0
,Theo Riddick,DET,CLE,4,15,0,4,25,0,4.0
,Tarik Cohen,CHI,GB,4,15,0,2,20,0,3.5
,Dion Lewis,NE,@DEN,9,35,0,0,0,0,3.5
,Elijah McGuire,NYJ,@TB,8,30,0,1,5,0,3.5
,C.J. Prosise,SEA,@ARI,6,25,0,1,10,0,3.5
,Jamaal Charles,DEN,NE,5,20,0,1,10,0,3.0
,D'Onta Foreman,HOU,@LAR,6,25,0,1,5,0,3.0
,Rob Kelley,WAS,MIN,8,30,0,0,0,0,3.0
,Jonathan Stewart,CAR,MIA,8,30,0,0,0,0,3.0
,Matt Breida,SF,NYG,4,15,0,1,10,0,2.5
,Austin Ekeler,LAC,@JAC,3,10,0,1,10,0,2.0
,Branden Oliver,LAC,@JAC,3,10,0,1,10,0,2.0
,Mike Tolbert,BUF,NO,3,10,0,1,10,0,2.0
,Justin Davis,LAR,HOU,3,10,0,1,5,0,1.5
,Lance Dunbar,LAR,HOU,3,10,0,1,5,0,1.5
,Eddie Lacy,SEA,@ARI,2,10,0,1,5,0,1.5
,Charles Sims,TB,NYJ,1,5,0,1,10,0,1.5
,Mike Gillislee,NE,@DEN,3,10,0,0,0,0,1.0
,Darren McFadden,DAL,@ATL,2,10,0,0,0,0,1.0
,T.J. Yeldon,JAC,LAC,3,10,0,0,0,0,1.0
,Jacquizz Rodgers,TB,NYJ,1,5,0,0,0,0,0.5
