Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Julio Jones,ATL,@DET,8,105,1,16.5
,Antonio Brown,PIT,@CHI,7,100,1,16.0
,A.J. Green,CIN,@GB,7,100,1,16.0
,Keenan Allen,LAC,KC,9,95,1,15.5
,Doug Baldwin,SEA,@TEN,6,80,1,15.0
,Mike Evans,TB,@MIN,6,90,1,15.0
,Michael Crabtree,OAK,@WAS,6,85,1,14.5
,Tyreek Hill,KC,@LAC,6,75,1,14.5
,Jordy Nelson,GB,CIN,6,85,1,14.5
,Michael Thomas,NO,@CAR,6,85,1,14.5
,Odell Beckham Jr.,NYG,@PHI,6,80,1,14.0
,Kelvin Benjamin,CAR,NO,6,80,1,14.0
,Brandin Cooks,NE,HOU,6,80,1,14.0
,Amari Cooper,OAK,@WAS,6,80,1,14.0
,DeAndre Hopkins,HOU,@NE,6,80,1,14.0
,DeVante Parker,MIA,@NYJ,6,80,1,14.0
,Jarvis Landry,MIA,@NYJ,7,75,1,13.5
,J.J. Nelson,ARI,DAL,5,70,1,13.5
,Golden Tate,DET,ATL,7,75,1,13.5
,Demaryius Thomas,DEN,@BUF,6,75,1,13.5
,Stefon Diggs,MIN,TB,6,70,1,13.0
,Terrelle Pryor,WAS,OAK,5,70,1,13.0
,Emmanuel Sanders,DEN,@BUF,5,70,1,13.0
,Dez Bryant,DAL,@ARI,5,65,1,12.5
,Martavis Bryant,PIT,@CHI,4,65,1,12.5
,Pierre Garcon,SF,LAR,5,65,1,12.5
,DeSean Jackson,TB,@MIN,5,65,1,12.5
,Devin Funchess,CAR,NO,4,60,1,12.0
,Ted Ginn Jr.,NO,@CAR,3,50,1,12.0
,Rashard Higgins,CLE,@IND,5,60,1,12.0
,Jermaine Kearse,NYJ,MIA,4,60,1,12.0
,Sammy Watkins,LAR,@SF,4,60,1,12.0
,Eric Decker,TEN,SEA,5,55,1,11.5
,Jaron Brown,ARI,DAL,5,70,0,7.0
,Larry Fitzgerald,ARI,DAL,6,70,0,7.0
,Alshon Jeffery,PHI,NYG,7,70,0,7.0
,Marqise Lee,JAC,BAL,5,65,0,6.5
,Jeremy Maclin,BAL,@JAC,6,65,0,6.5
,Davante Adams,GB,CIN,4,60,0,6.0
,Jamison Crowder,WAS,OAK,5,60,0,6.0
,T.Y. Hilton,IND,CLE,4,60,0,6.0
,Allen Hurns,JAC,BAL,4,60,0,6.0
,Rishard Matthews,TEN,SEA,4,60,0,6.0
,Kendall Wright,CHI,PIT,5,60,0,6.0
,Cooper Kupp,LAR,@SF,5,55,0,5.5
,Mohamed Sanu,ATL,@DET,4,55,0,5.5
,Danny Amendola,NE,HOU,5,50,0,5.0
,Robby Anderson,NYJ,MIA,3,50,0,5.0
,Cole Beasley,DAL,@ARI,5,50,0,5.0
,Kenny Golladay,DET,ATL,3,50,0,5.0
,Brandon LaFell,CIN,@GB,3,50,0,5.0
,Tyler Lockett,SEA,@TEN,4,50,0,5.0
,Jordan Matthews,BUF,DEN,4,50,0,5.0
,Donte Moncrief,IND,CLE,3,50,0,5.0
,Adam Thielen,MIN,TB,3,50,0,5.0
,Tyrell Williams,LAC,KC,4,50,0,5.0
,Torrey Smith,PHI,NYG,3,45,0,4.5
,Kenny Stills,MIA,@NYJ,4,45,0,4.5
,Nelson Agholor,PHI,NYG,3,40,0,4.0
,Brandon Coleman,NO,@CAR,3,40,0,4.0
,Chris Conley,KC,@LAC,3,40,0,4.0
,Marquise Goodwin,SF,LAR,3,40,0,4.0
,Chris Hogan,NE,HOU,3,40,0,4.0
,Paul Richardson,SEA,@TEN,3,40,0,4.0
,Eli Rogers,PIT,@CHI,3,40,0,4.0
,Sterling Shepard,NYG,@PHI,3,40,0,4.0
,Terrance Williams,DAL,@ARI,3,40,0,4.0
,Geronimo Allison,GB,CIN,2,35,0,3.5
,Taylor Gabriel,ATL,@DET,3,35,0,3.5
,Marvin Jones,DET,ATL,2,35,0,3.5
,Zay Jones,BUF,DEN,3,35,0,3.5
,Deonte Thompson,CHI,PIT,2,35,0,3.5
,Robert Woods,LAR,@SF,2,35,0,3.5
,Josh Bellamy,CHI,PIT,2,30,0,3.0
,Travis Benjamin,LAC,KC,2,30,0,3.0
,Kenny Britt,CLE,@IND,2,30,0,3.0
,Bennie Fowler,DEN,@BUF,2,30,0,3.0
,Adam Humphries,TB,@MIN,3,30,0,3.0
,Brandon Marshall,NYG,@PHI,2,30,0,3.0
,Braxton Miller,HOU,@NE,2,30,0,3.0
,Breshad Perriman,BAL,@JAC,2,30,0,3.0
,Seth Roberts,OAK,@WAS,2,30,0,3.0
,Kamar Aiken,IND,CLE,2,25,0,2.5
,Andre Holmes,BUF,DEN,2,25,0,2.5
,Jeremy Kerley,NYJ,MIA,2,25,0,2.5
,Laquon Treadwell,MIN,TB,2,25,0,2.5
,Mike Wallace,BAL,@JAC,2,25,0,2.5
,Albert Wilson,KC,@LAC,2,25,0,2.5
,Tavon Austin,LAR,@SF,1,20,0,2.0
,Tyler Boyd,CIN,@GB,1,20,0,2.0
,Ricardo Louis,CLE,@IND,1,20,0,2.0
,Taywan Taylor,TEN,SEA,1,20,0,2.0
,Trent Taylor,SF,LAR,2,20,0,2.0
,Markus Wheaton,CHI,PIT,1,20,0,2.0
,Michael Campanaro,BAL,@JAC,1,10,0,1.5
,Sammie Coates,CLE,@IND,1,15,0,1.5
,Russell Shepard,CAR,NO,1,15,0,1.5
,Brice Butler,DAL,@ARI,1,10,0,1.0
,Phillip Dorsett,NE,HOU,1,10,0,1.0
,Aldrick Robinson,SF,LAR,1,10,0,1.0
