Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Antonio Brown,PIT,@CLE,8,110,1,17.0
,A.J. Green,CIN,BAL,7,105,1,16.5
,Julio Jones,ATL,@CHI,8,105,1,16.5
,Amari Cooper,OAK,@TEN,8,100,1,16.0
,Michael Thomas,NO,@MIN,7,95,1,15.5
,Doug Baldwin,SEA,@GB,7,90,1,15.0
,Brandin Cooks,NE,KC,6,90,1,15.0
,Stefon Diggs,MIN,NO,7,85,1,14.5
,DeAndre Hopkins,HOU,JAC,6,85,1,14.5
,Emmanuel Sanders,DEN,LAC,6,85,1,14.5
,Kelvin Benjamin,CAR,@SF,6,80,1,14.0
,Michael Crabtree,OAK,@TEN,6,80,1,14.0
,Larry Fitzgerald,ARI,@DET,7,80,1,14.0
,Pierre Garcon,SF,CAR,6,80,1,14.0
,Golden Tate,DET,ARI,7,80,1,14.0
,Demaryius Thomas,DEN,LAC,6,80,1,14.0
,Dez Bryant,DAL,NYG,6,75,1,13.5
,Allen Robinson,JAC,@HOU,5,75,1,13.5
,Martavis Bryant,PIT,@CLE,5,70,1,13.0
,Jamison Crowder,WAS,PHI,6,70,1,13.0
,Rishard Matthews,TEN,OAK,5,70,1,13.0
,John Brown,ARI,@DET,5,65,1,12.5
,Ted Ginn Jr.,NO,@MIN,4,65,1,12.5
,Marquise Goodwin,SF,CAR,4,65,1,12.5
,Brandon Marshall,NYG,@DAL,4,65,1,12.5
,Jordy Nelson,GB,SEA,5,65,1,12.5
,Sammy Watkins,LAR,IND,4,65,1,12.5
,Kendall Wright,CHI,ATL,5,60,1,12.0
,Chris Hogan,NE,KC,5,55,1,11.5
,Mike Wallace,BAL,@CIN,4,55,1,11.5
,Cole Beasley,DAL,NYG,5,50,1,11.0
,Kenny Britt,CLE,PIT,4,50,1,11.0
,Davante Adams,GB,SEA,5,80,0,8.0
,Keenan Allen,LAC,@DEN,7,75,0,7.5
,Odell Beckham Jr.,NYG,@DAL,5,75,0,7.5
,Tyreek Hill,KC,@NE,6,75,0,7.5
,T.Y. Hilton,IND,@LAR,5,70,0,7.0
,Alshon Jeffery,PHI,@WAS,6,65,0,6.5
,Kevin White,CHI,ATL,4,65,0,6.5
,Robby Anderson,NYJ,@BUF,4,60,0,6.0
,Zay Jones,BUF,NYJ,4,55,0,5.5
,Jordan Matthews,BUF,NYJ,4,55,0,5.5
,Terrelle Pryor,WAS,PHI,4,55,0,5.5
,Paul Richardson,SEA,@GB,4,55,0,5.5
,Adam Thielen,MIN,NO,4,55,0,5.5
,Jeremy Maclin,BAL,@CIN,4,50,0,5.0
,Travis Benjamin,LAC,@DEN,3,45,0,4.5
,Eric Decker,TEN,OAK,3,45,0,4.5
,Cooper Kupp,LAR,IND,4,45,0,4.5
,Donte Moncrief,IND,@LAR,3,45,0,4.5
,Mohamed Sanu,ATL,@CHI,3,45,0,4.5
,Nelson Agholor,PHI,@WAS,3,40,0,4.0
,Corey Coleman,CLE,PIT,3,40,0,4.0
,Chris Conley,KC,@NE,3,40,0,4.0
,Devin Funchess,CAR,@SF,3,40,0,4.0
,Marvin Jones,DET,ARI,3,40,0,4.0
,Brandon LaFell,CIN,BAL,3,40,0,4.0
,Sterling Shepard,NYG,@DAL,3,40,0,4.0
,Tyrell Williams,LAC,@DEN,3,40,0,4.0
,Danny Amendola,NE,KC,3,35,0,3.5
,Randall Cobb,GB,SEA,3,35,0,3.5
,Brandon Coleman,NO,@MIN,2,35,0,3.5
,Marqise Lee,JAC,@HOU,3,35,0,3.5
,Eli Rogers,PIT,@CLE,3,35,0,3.5
,Torrey Smith,PHI,@WAS,2,35,0,3.5
,Terrance Williams,DAL,NYG,2,35,0,3.5
,Robert Woods,LAR,IND,2,35,0,3.5
,Kamar Aiken,IND,@LAR,2,30,0,3.0
,Taylor Gabriel,ATL,@CHI,3,30,0,3.0
,Kenny Golladay,DET,ARI,2,30,0,3.0
,Andre Holmes,BUF,NYJ,3,30,0,3.0
,Tyler Lockett,SEA,@GB,2,30,0,3.0
,Breshad Perriman,BAL,@CIN,2,30,0,3.0
,Seth Roberts,OAK,@TEN,2,30,0,3.0
,Laquon Treadwell,MIN,NO,2,30,0,3.0
,Tyler Boyd,CIN,BAL,2,25,0,2.5
,Corey Davis,TEN,OAK,2,25,0,2.5
,Allen Hurns,JAC,@HOU,2,25,0,2.5
,Braxton Miller,HOU,JAC,2,25,0,2.5
,J.J. Nelson,ARI,@DET,2,25,0,2.5
,Taywan Taylor,TEN,OAK,2,25,0,2.5
,Markus Wheaton,CHI,ATL,2,25,0,2.5
,Albert Wilson,KC,@NE,2,25,0,2.5
,Tavon Austin,LAR,IND,1,20,0,2.0
,Jermaine Kearse,NYJ,@BUF,1,20,0,2.0
,Ricardo Louis,CLE,PIT,1,20,0,2.0
,ArDarius Stewart,NYJ,@BUF,1,20,0,2.0
,Trent Taylor,SF,CAR,2,20,0,2.0
,Jaron Brown,ARI,@DET,1,15,0,1.5
,Josh Doctson,WAS,PHI,1,10,0,1.0
,Jeremy Kerley,NYJ,@BUF,1,10,0,1.0
,Aldrick Robinson,SF,CAR,1,10,0,1.0
